i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
208,11.0,0.251528,0.644086,0.378537,3.343673,0.239395,AUT,0.0,0.004302,0.070207,0.001067,neutron,pi-,solid
209,11.0,0.287752,0.642489,0.377881,3.813750,0.229026,AUT,0.0,0.005964,0.070207,0.001090,neutron,pi-,solid
210,11.0,0.263771,0.645362,0.378390,3.512274,0.566683,AUT,0.0,0.008133,0.070207,0.001074,neutron,pi-,solid
211,11.0,0.272808,0.594820,0.425916,3.342738,0.127832,AUT,0.0,0.004025,0.070207,0.001060,neutron,pi-,solid
212,11.0,0.325721,0.547956,0.433941,3.680964,0.124771,AUT,0.0,0.010318,0.070207,0.001082,neutron,pi-,solid
213,11.0,0.257486,0.616992,0.424376,3.275424,0.294420,AUT,0.0,0.004742,0.070207,0.001053,neutron,pi-,solid
214,11.0,0.298801,0.584479,0.428728,3.597361,0.291378,AUT,0.0,0.008276,0.070207,0.001073,neutron,pi-,solid
215,11.0,0.267151,0.611587,0.425723,3.366005,0.542946,AUT,0.0,0.012052,0.070207,0.001058,neutron,pi-,solid
216,11.0,0.319948,0.556017,0.432788,3.667637,0.545171,AUT,0.0,0.027329,0.070207,0.001080,neutron,pi-,solid
217,11.0,0.281294,0.570861,0.473839,3.301796,0.127766,AUT,0.0,0.003934,0.070207,0.001045,neutron,pi-,solid
218,11.0,0.341629,0.510220,0.477475,3.593656,0.123589,AUT,0.0,0.006218,0.070207,0.001067,neutron,pi-,solid
219,11.0,0.264063,0.606093,0.473729,3.297674,0.296754,AUT,0.0,0.004610,0.070207,0.001038,neutron,pi-,solid
220,11.0,0.322014,0.530743,0.476547,3.514611,0.290597,AUT,0.0,0.006722,0.070207,0.001060,neutron,pi-,solid
221,11.0,0.286485,0.577294,0.475003,3.385750,0.486882,AUT,0.0,0.013253,0.070207,0.001047,neutron,pi-,solid
222,11.0,0.377061,0.491045,0.482110,3.819955,0.487441,AUT,0.0,0.050198,0.070207,0.001076,neutron,pi-,solid
223,11.0,0.289164,0.573505,0.475378,3.392830,0.745710,AUT,0.0,0.007663,0.070207,0.001048,neutron,pi-,solid
224,11.0,0.296230,0.547512,0.523717,3.323532,0.127276,AUT,0.0,0.003872,0.070207,0.001028,neutron,pi-,solid
225,11.0,0.373234,0.474493,0.525797,3.650705,0.126170,AUT,0.0,0.008026,0.070207,0.001048,neutron,pi-,solid
226,11.0,0.273884,0.589302,0.523757,3.320091,0.296602,AUT,0.0,0.004579,0.070207,0.001021,neutron,pi-,solid
227,11.0,0.349162,0.487629,0.525605,3.501530,0.292063,AUT,0.0,0.004960,0.070207,0.001042,neutron,pi-,solid
228,11.0,0.298619,0.556896,0.524530,3.386601,0.487882,AUT,0.0,0.009391,0.070207,0.001028,neutron,pi-,solid
229,11.0,0.406221,0.453640,0.528631,3.801817,0.483164,AUT,0.0,0.039218,0.070207,0.001054,neutron,pi-,solid
230,11.0,0.294470,0.563268,0.524211,3.383877,0.736505,AUT,0.0,0.010455,0.070207,0.001027,neutron,pi-,solid
231,11.0,0.271638,0.588664,0.573551,3.291462,0.238257,AUT,0.0,0.003969,0.070207,0.000995,neutron,pi-,solid
232,11.0,0.329758,0.499247,0.573662,3.389064,0.222733,AUT,0.0,0.004035,0.070207,0.001009,neutron,pi-,solid
233,11.0,0.392674,0.445721,0.574323,3.607876,0.244151,AUT,0.0,0.006087,0.070207,0.001019,neutron,pi-,solid
234,11.0,0.286926,0.570775,0.574047,3.349833,0.550288,AUT,0.0,0.009198,0.070207,0.000999,neutron,pi-,solid
235,11.0,0.371936,0.464680,0.572683,3.563160,0.504316,AUT,0.0,0.015703,0.070207,0.001017,neutron,pi-,solid
236,11.0,0.283492,0.568528,0.623541,3.309496,0.236847,AUT,0.0,0.003834,0.070207,0.000969,neutron,pi-,solid
237,11.0,0.359572,0.470186,0.622796,3.480213,0.231323,AUT,0.0,0.004413,0.070207,0.000979,neutron,pi-,solid
