i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
49,11.0,0.211658,0.426332,0.576722,1.860049,0.127915,AUT,0.0,0.024301,0.070207,0.006561,proton,pi+,solid
50,11.0,0.104086,0.592215,0.573681,1.258522,0.307862,AUT,0.0,0.007577,0.070207,0.007115,proton,pi+,solid
51,11.0,0.155868,0.507062,0.574509,1.620411,0.297398,AUT,0.0,0.007595,0.070207,0.006825,proton,pi+,solid
52,11.0,0.212308,0.426912,0.576979,1.868224,0.292483,AUT,0.0,0.017852,0.070207,0.006558,proton,pi+,solid
53,11.0,0.094753,0.648206,0.573953,1.254712,0.499087,AUT,0.0,0.007361,0.070207,0.007169,proton,pi+,solid
54,11.0,0.150006,0.537542,0.574744,1.640519,0.490147,AUT,0.0,0.007929,0.070207,0.006855,proton,pi+,solid
55,11.0,0.100625,0.661315,0.574400,1.349145,0.690373,AUT,0.0,0.006363,0.070207,0.007133,proton,pi+,solid
56,11.0,0.164886,0.510626,0.575181,1.721170,0.686135,AUT,0.0,0.016407,0.070207,0.006777,proton,pi+,solid
57,11.0,0.105486,0.669251,0.574828,1.408639,0.939079,AUT,0.0,0.005787,0.070207,0.007103,proton,pi+,solid
58,11.0,0.104814,0.576266,0.623722,1.233953,0.262801,AUT,0.0,0.006868,0.070207,0.007094,proton,pi+,solid
59,11.0,0.145150,0.502700,0.624160,1.502830,0.240496,AUT,0.0,0.007248,0.070207,0.006860,proton,pi+,solid
60,11.0,0.194197,0.436143,0.624954,1.736798,0.230072,AUT,0.0,0.008358,0.070207,0.006616,proton,pi+,solid
61,11.0,0.101630,0.624811,0.623928,1.294298,0.499078,AUT,0.0,0.007540,0.070207,0.007111,proton,pi+,solid
62,11.0,0.162505,0.504504,0.624559,1.667243,0.489180,AUT,0.0,0.009909,0.070207,0.006768,proton,pi+,solid
63,11.0,0.109133,0.634626,0.624256,1.392342,0.690555,AUT,0.0,0.006702,0.070207,0.007064,proton,pi+,solid
