i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
48,11.0,0.091297,0.741177,0.378627,1.374326,0.862045,AUT,0.0,0.002917,0.070207,0.001128,neutron,pi+,solid
49,11.0,0.111674,0.595651,0.425272,1.372207,0.156832,AUT,0.0,0.002736,0.070207,0.001166,neutron,pi+,solid
50,11.0,0.151513,0.575685,0.428174,1.796512,0.139348,AUT,0.0,0.002976,0.070207,0.001241,neutron,pi+,solid
51,11.0,0.075198,0.712972,0.422227,1.103497,0.335089,AUT,0.0,0.002526,0.070207,0.001106,neutron,pi+,solid
52,11.0,0.086227,0.660756,0.422909,1.175793,0.320389,AUT,0.0,0.002197,0.070207,0.001123,neutron,pi+,solid
53,11.0,0.093999,0.646927,0.423497,1.255140,0.316984,AUT,0.0,0.002198,0.070207,0.001136,neutron,pi+,solid
54,11.0,0.101237,0.639016,0.424392,1.335281,0.314765,AUT,0.0,0.002188,0.070207,0.001148,neutron,pi+,solid
55,11.0,0.108661,0.633351,0.424829,1.420520,0.312698,AUT,0.0,0.002201,0.070207,0.001161,neutron,pi+,solid
56,11.0,0.116452,0.631256,0.425062,1.517383,0.310671,AUT,0.0,0.002287,0.070207,0.001174,neutron,pi+,solid
57,11.0,0.124950,0.627373,0.425188,1.618049,0.309065,AUT,0.0,0.002284,0.070207,0.001190,neutron,pi+,solid
58,11.0,0.134997,0.613888,0.425504,1.710264,0.306914,AUT,0.0,0.002332,0.070207,0.001209,neutron,pi+,solid
59,11.0,0.149198,0.588189,0.426402,1.810407,0.302465,AUT,0.0,0.002466,0.070207,0.001237,neutron,pi+,solid
60,11.0,0.167365,0.553609,0.431235,1.911189,0.294222,AUT,0.0,0.005168,0.070207,0.001273,neutron,pi+,solid
61,11.0,0.065542,0.797037,0.422995,1.076157,0.505841,AUT,0.0,0.002087,0.070207,0.001091,neutron,pi+,solid
62,11.0,0.074561,0.738323,0.423468,1.135877,0.500539,AUT,0.0,0.002131,0.070207,0.001105,neutron,pi+,solid
63,11.0,0.080911,0.706578,0.423684,1.179819,0.496791,AUT,0.0,0.002187,0.070207,0.001115,neutron,pi+,solid
64,11.0,0.086790,0.687817,0.423743,1.232125,0.494063,AUT,0.0,0.002204,0.070207,0.001124,neutron,pi+,solid
65,11.0,0.092681,0.677891,0.424149,1.296798,0.492705,AUT,0.0,0.002363,0.070207,0.001134,neutron,pi+,solid
66,11.0,0.098701,0.669981,0.424415,1.364923,0.491399,AUT,0.0,0.002431,0.070207,0.001144,neutron,pi+,solid
67,11.0,0.105525,0.663794,0.424881,1.445847,0.490998,AUT,0.0,0.002484,0.070207,0.001155,neutron,pi+,solid
68,11.0,0.113378,0.658154,0.425079,1.540233,0.489607,AUT,0.0,0.002627,0.070207,0.001169,neutron,pi+,solid
69,11.0,0.122683,0.652289,0.425196,1.651731,0.488776,AUT,0.0,0.002789,0.070207,0.001186,neutron,pi+,solid
70,11.0,0.135095,0.629063,0.425763,1.753132,0.485850,AUT,0.0,0.003472,0.070207,0.001210,neutron,pi+,solid
71,11.0,0.154865,0.580885,0.428036,1.853502,0.485732,AUT,0.0,0.010626,0.070207,0.001248,neutron,pi+,solid
72,11.0,0.065860,0.800867,0.423991,1.086268,0.689312,AUT,0.0,0.002136,0.070207,0.001091,neutron,pi+,solid
73,11.0,0.077618,0.739280,0.424535,1.183637,0.684516,AUT,0.0,0.002279,0.070207,0.001110,neutron,pi+,solid
74,11.0,0.088295,0.702789,0.424618,1.280403,0.683513,AUT,0.0,0.002365,0.070207,0.001127,neutron,pi+,solid
75,11.0,0.100658,0.679890,0.425235,1.412137,0.683551,AUT,0.0,0.002483,0.070207,0.001147,neutron,pi+,solid
76,11.0,0.117778,0.659052,0.425635,1.601365,0.684064,AUT,0.0,0.002685,0.070207,0.001177,neutron,pi+,solid
77,11.0,0.144078,0.603699,0.426997,1.789121,0.686681,AUT,0.0,0.003592,0.070207,0.001227,neutron,pi+,solid
78,11.0,0.082221,0.741152,0.426426,1.243158,0.868787,AUT,0.0,0.002132,0.070207,0.001117,neutron,pi+,solid
79,11.0,0.129296,0.637676,0.427687,1.691300,0.869215,AUT,0.0,0.004611,0.070207,0.001199,neutron,pi+,solid
80,11.0,0.117923,0.561721,0.474024,1.363414,0.149245,AUT,0.0,0.002398,0.070207,0.001181,neutron,pi+,solid
