i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
49,11.0,0.107074,0.601027,0.423956,1.326946,0.302300,AUT,0.0,0.008708,0.070207,0.007139,proton,pi+,solid
50,11.0,0.128221,0.562481,0.424091,1.487212,0.297739,AUT,0.0,0.008163,0.070207,0.007023,proton,pi+,solid
51,11.0,0.151996,0.511170,0.424234,1.600627,0.293547,AUT,0.0,0.007155,0.070207,0.006898,proton,pi+,solid
52,11.0,0.191630,0.423977,0.424382,1.666103,0.288025,AUT,0.0,0.005813,0.070207,0.006711,proton,pi+,solid
53,11.0,0.253364,0.341325,0.424479,1.779821,0.288517,AUT,0.0,0.012334,0.070207,0.006473,proton,pi+,solid
54,11.0,0.078877,0.722785,0.423874,1.169567,0.496367,AUT,0.0,0.006423,0.070207,0.007297,proton,pi+,solid
55,11.0,0.104585,0.643788,0.424068,1.387455,0.493200,AUT,0.0,0.006176,0.070207,0.007152,proton,pi+,solid
56,11.0,0.132887,0.576762,0.424346,1.576940,0.489289,AUT,0.0,0.005947,0.070207,0.006997,proton,pi+,solid
57,11.0,0.188955,0.437790,0.424270,1.668711,0.487714,AUT,0.0,0.006156,0.070207,0.006727,proton,pi+,solid
58,11.0,0.087431,0.718510,0.424640,1.282346,0.685490,AUT,0.0,0.005068,0.070207,0.007248,proton,pi+,solid
59,11.0,0.151607,0.528056,0.424440,1.597047,0.683753,AUT,0.0,0.004983,0.070207,0.006904,proton,pi+,solid
60,11.0,0.111019,0.651675,0.426230,1.419856,0.885383,AUT,0.0,0.007772,0.070207,0.007116,proton,pi+,solid
61,11.0,0.113768,0.550711,0.473618,1.278362,0.130403,AUT,0.0,0.006658,0.070207,0.007090,proton,pi+,solid
62,11.0,0.166599,0.464449,0.473955,1.587490,0.127700,AUT,0.0,0.007869,0.070207,0.006811,proton,pi+,solid
63,11.0,0.232725,0.369944,0.473877,1.763861,0.127986,AUT,0.0,0.015030,0.070207,0.006529,proton,pi+,solid
64,11.0,0.090140,0.642301,0.473594,1.186049,0.309584,AUT,0.0,0.007735,0.070207,0.007223,proton,pi+,solid
65,11.0,0.119353,0.569099,0.474084,1.400054,0.300827,AUT,0.0,0.008590,0.070207,0.007058,proton,pi+,solid
66,11.0,0.147233,0.517398,0.474142,1.568873,0.295453,AUT,0.0,0.007480,0.070207,0.006906,proton,pi+,solid
67,11.0,0.192523,0.422307,0.474245,1.663300,0.290236,AUT,0.0,0.006169,0.070207,0.006690,proton,pi+,solid
68,11.0,0.260350,0.335610,0.474370,1.799834,0.291540,AUT,0.0,0.015202,0.070207,0.006431,proton,pi+,solid
69,11.0,0.083633,0.695723,0.473993,1.192131,0.497473,AUT,0.0,0.006982,0.070207,0.007260,proton,pi+,solid
70,11.0,0.116110,0.611273,0.474196,1.460830,0.492690,AUT,0.0,0.006608,0.070207,0.007074,proton,pi+,solid
71,11.0,0.167502,0.485123,0.474496,1.642053,0.487216,AUT,0.0,0.006238,0.070207,0.006807,proton,pi+,solid
72,11.0,0.264044,0.333361,0.474086,1.814251,0.475476,AUT,0.0,0.027903,0.070207,0.006418,proton,pi+,solid
73,11.0,0.090397,0.703352,0.474354,1.296034,0.688900,AUT,0.0,0.005165,0.070207,0.007220,proton,pi+,solid
74,11.0,0.153833,0.521767,0.474276,1.611949,0.685935,AUT,0.0,0.005659,0.070207,0.006876,proton,pi+,solid
75,11.0,0.110170,0.654005,0.475571,1.417961,0.904623,AUT,0.0,0.006482,0.070207,0.007107,proton,pi+,solid
76,11.0,0.123617,0.528686,0.523732,1.331330,0.130426,AUT,0.0,0.006579,0.070207,0.007021,proton,pi+,solid
77,11.0,0.196818,0.418711,0.523933,1.672415,0.128597,AUT,0.0,0.009062,0.070207,0.006657,proton,pi+,solid
78,11.0,0.096420,0.616839,0.523641,1.216815,0.308763,AUT,0.0,0.007738,0.070207,0.007175,proton,pi+,solid
79,11.0,0.133199,0.537897,0.523997,1.475213,0.299718,AUT,0.0,0.007925,0.070207,0.006966,proton,pi+,solid
80,11.0,0.177350,0.449979,0.524244,1.634745,0.292894,AUT,0.0,0.006717,0.070207,0.006740,proton,pi+,solid
81,11.0,0.242906,0.351318,0.524403,1.753149,0.292054,AUT,0.0,0.011604,0.070207,0.006472,proton,pi+,solid
