# Q2	x	y	z	pT	obs	target	hadron	value	error
3.3500E+00	4.8500E-02	2.8000E-01	3.4700E-01	1.5000E-01	AUTcollins	proton	pi-	-1.3223E-02	8.0000E-03
3.2900E+00	4.7400E-02	2.9000E-01	3.4400E-01	2.5000E-01	AUTcollins	proton	pi-	-2.0505E-02	6.6000E-03
3.2600E+00	4.6200E-02	2.9000E-01	3.4200E-01	3.5000E-01	AUTcollins	proton	pi-	-2.6069E-02	6.2000E-03
3.3300E+00	4.6100E-02	3.0000E-01	3.4000E-01	4.5000E-01	AUTcollins	proton	pi-	-3.0618E-02	6.7000E-03
3.4200E+00	4.6000E-02	3.1000E-01	3.4200E-01	5.5000E-01	AUTcollins	proton	pi-	-3.3103E-02	7.5000E-03
3.5000E+00	4.5700E-02	3.2000E-01	3.5100E-01	6.7000E-01	AUTcollins	proton	pi-	-3.3247E-02	7.5000E-03
3.6100E+00	4.5400E-02	3.3000E-01	3.6600E-01	8.2000E-01	AUTcollins	proton	pi-	-3.0770E-02	1.0200E-02
3.7800E+00	4.4700E-02	3.4000E-01	3.8600E-01	1.0400E+00	AUTcollins	proton	pi-	-2.4330E-02	1.0800E-02
4.2600E+00	4.3500E-02	3.9000E-01	4.0000E-01	1.5600E+00	AUTcollins	proton	pi-	-8.8441E-03	2.3300E-02
