Nu	Nd	a	b	c	kt2	chi2
0.39848676452603615	-0.4502473392800395	0.9918167459382302	2.9396661636414274	-0.0024680995168147174	0.24869542364336664	2679.012712431184
0.4013232479731479	-0.4494775116878798	1.0120188034082351	3.0777445977231497	0.0022788733915259773	0.25052772090374353	2750.204295400542
0.40365909111587167	-0.45046559749475706	0.9824903266660503	2.8999339854411263	0.0027974208206750775	0.2535877034991412	2643.6345063201243
0.7198918644924153	-0.7996266098376195	1.1130111886272647	2.9176092136044454	-0.684995769636106	0.24917587833189023	2662.412771467698
0.40354344429338174	-0.4506545189577291	1.0183405904414793	3.012627821992971	0.008538740449203757	0.2513907560871798	2708.25983717908
0.7699595260856112	-0.8652592248409483	1.1171392456215317	2.7933025923558197	-0.7396147681397228	0.2491133306640664	2787.7288291721316
0.40067171462817597	-0.4482009671419251	1.0147997995050373	3.0836522582522434	-0.0006843144257444918	0.24869879117956029	2954.0531669596744
0.40058467326217234	-0.45221254240701864	0.9862201882662326	2.895513851463133	0.003156890703241702	0.2504526151686653	2694.227995737361
0.8258324946417965	-0.9334685077972122	1.1450266398837776	2.8212780302323353	-0.7929277312315951	0.24966572161509373	2805.6765266626853
0.4007450763625379	-0.44812286718169964	1.0030260875251453	3.0365660864641786	-0.0024389398586240458	0.2503655677196813	2875.2433761615143
0.3995043288617202	-0.4523165789984762	0.9914148209736896	2.9435369770683435	0.002645469467452584	0.2507292305075141	2879.914290680944
0.3979456768947346	-0.4536171045566327	0.983075804574936	2.9304099092729383	0.002057919276359202	0.25157566071931337	2711.4305680185466
0.7211937050516075	-0.8037854211726714	1.1095861138142074	2.862880857563157	-0.6852012062016837	0.24683563237778494	2710.845874143067
0.39910504448604656	-0.45231397247656946	1.0066552420899344	3.022143732248704	0.004329755253869178	0.25264570314747536	2763.6319341755266
0.4013249704642198	-0.4492873902260869	1.0074271859819528	3.051851115665498	0.0012048365578331847	0.24953367070400076	2930.494844655451
0.399261311384111	-0.45003535573316705	0.9887506051710983	2.927669509735064	-0.0023864463967581163	0.24733717828512236	2852.3373502359063
0.4030874972426656	-0.4484166904540983	0.969898854716864	2.8958456218527724	-0.003801622051808298	0.2512310185232793	2771.830502074379
0.7529961483301264	-0.8409082616003317	1.1111359898863984	2.8521657390643034	-0.7300129281500072	0.2467613288739331	2778.5457263244202
0.40059230441377897	-0.44882660454231005	1.0008717862196703	3.0280723538111305	-0.0016506189864757075	0.2481077061222059	2814.7433087066192
0.6266995342675987	-0.7080389117171427	1.0675582275382303	2.8369328996085126	-0.5628197309286295	0.250045868504779	2710.675050905916
0.4007972415300469	-0.451137052655117	0.9981974731518326	2.9842882452885133	0.003042906516363543	0.25359180135679527	2790.6516568010484
0.397468046509079	-0.45163062561846956	1.0104045862491733	3.0617909038410227	0.001571256428694789	0.2500879895038125	2697.834870308009
0.4023499139041054	-0.4481730494756258	1.0112784182727788	3.0479832618150144	0.0009174734228716638	0.2486873974080142	2617.8670679545558
0.3997180017048315	-0.4511887280781042	1.0152165444399632	3.051662158147621	0.004338981502616568	0.24882127881358634	2715.6480990009
0.4015170024686265	-0.45027920873923094	0.9905530503648624	2.912482017595757	0.0011754368762919999	0.24880250746620214	2901.203554377824
0.40078627892999896	-0.449859121368342	0.9869030999746033	2.9721280752579635	-0.0013757185425422637	0.2507300826568476	2704.1616643893767
0.40028622363822003	-0.45080636707421745	0.9954323641954295	2.971259047105236	0.001237343068589468	0.25292484774799767	2601.0703213504785
0.2615511688516069	-0.2933566880733832	0.9296691435431558	2.993606095810297	0.8410447309247174	0.2522025814051036	2666.271873102486
0.4018591462038114	-0.4478714849441443	1.0046048624595758	3.03855251422217	-0.0012281429598614358	0.24983927637033337	2682.2133296584884
0.2593167757742778	-0.2918847186129616	0.9467909802891031	3.1059600637008953	0.8492114550377033	0.2514478294921047	2834.0662239279523
0.26673728674548525	-0.3020055886282963	0.9395395873780183	3.022947292416592	0.7793543460208698	0.25160254901177076	2813.1223320100025
0.40084225693510117	-0.4502102288350017	1.0018904791953767	3.009198810031339	0.001737479090746216	0.2507714895185541	2863.9257985954446
0.40037513209592324	-0.45110445268085037	0.9827047560384511	2.909489882423912	0.0002620844267517173	0.25165766786405225	2683.1600639892567
0.40258233429210954	-0.4496888489224601	1.0074851961323166	3.020107710954379	0.003699361881696071	0.25185149743265617	2777.5155967469545
0.26764946684361673	-0.2992572692353225	0.9545123879312682	3.080473830310623	0.7960974242468984	0.24975975734288883	2614.5337198972
0.7568077603879854	-0.8467372597686633	1.1193942444051619	2.8177390405349634	-0.7254016429982174	0.25047312330224847	2752.588682742651
0.26436908916518104	-0.2976742681358498	0.9426413247293416	3.076354914339619	0.8056090561389191	0.2503652828352829	2752.711929449263
0.4004106262706293	-0.45075082816645606	0.9874882883532116	2.9365526766221315	0.0002614706561829805	0.25078598199780605	2814.9668200442266
0.24897263558966018	-0.283087714116606	0.9219048983251289	2.9452297249292534	0.937395976451028	0.2507229931434373	2854.7291306874727
0.40044517161413173	-0.4528320243587688	1.0066775809055555	3.000527126303612	0.007209813915670512	0.2533385471834373	2875.473519325677
0.9100262328670485	-1.0214575944928674	1.1441436775910752	2.6758775653390785	-0.8580267285131119	0.24942268326495154	2845.619484717095
0.753521278963733	-0.8621495284761329	1.1183194475649372	2.8031074642378657	-0.7236130463458115	0.25305308554018546	2797.337208674792
0.3990949599971137	-0.4502992809058138	0.9998098971603585	2.9811022943545256	-0.0003869743506255235	0.24886889186907662	2655.1487480105734
0.25970927499169727	-0.2884264088188319	0.9321006798037864	3.0196499803985644	0.8647951653465962	0.25221493758566493	2734.194090955042
0.40072434878175184	-0.451138830499868	1.0217728716543677	3.085119289635349	0.006311944509977353	0.25384799664068947	2843.1428702884177
0.4012859689773002	-0.4502277137343066	1.0079568726667953	3.0097463237281508	0.0032895025530782942	0.2547449086661303	2657.7915259349647
0.3999899241614914	-0.450589883322205	0.9962409668733249	2.970298158443441	0.0005004121815748871	0.251719927068853	2690.944766307057
0.6871644865102978	-0.770482970113286	1.1022257767509795	2.8879567071075707	-0.6428760177323094	0.24971223933160136	2715.4315402227785
0.3988909993209553	-0.4526515648925912	0.9845350134366877	2.9023191756231514	0.001658114004859514	0.24947344111707345	2878.6022602356757
0.24323740426405896	-0.2765949911503296	0.9267195162260986	3.036596334938649	0.9886764919941106	0.24943495535382443	2704.63358747083
