Nu	Nd	a	b	c	kt2	chi2
0.27646980325012666	-0.3097646832063396	0.9413659377976641	2.989931083583084	0.7133319810079383	0.25114383853405325	2711.5896314531083
0.3986730161645029	-0.450573504883942	0.9969494774034856	2.989984678923056	-0.00036102564405734116	0.24961222024002286	2655.689493247644
0.39997910072448517	-0.4515637802405132	0.9975729610097663	2.98194659143129	0.003220849504452277	0.2532187907716302	2691.801071941639
0.40253572624335604	-0.4488130506957996	0.9817587883827659	2.9013448475162336	-0.0032932721109711813	0.24934884597532797	2832.6457303758334
0.3981997753035104	-0.4510705251419888	0.9997711316017717	2.9818532140014358	0.0007983804085454338	0.24854621945173896	2634.4593944836342
0.7564095326022179	-0.8466221380282257	1.126725391557788	2.847267655788846	-0.7166587685705436	0.2517404697365176	2746.019812201641
0.4004021146107016	-0.45158431730994725	0.9986283333304002	2.9731083085483907	0.003908505747556491	0.2511354924912902	2798.7318708856305
0.4005663509117038	-0.4499232296931544	1.0034237987571348	3.007396869179406	0.0010337004830651018	0.2491225766830505	2625.5406983563225
0.40013911387483897	-0.44985505129780207	1.0066280151821918	3.0349753589558564	0.000931812611808691	0.2510308240792575	2774.901608615901
0.4004224543530213	-0.4486050542877916	0.9979963419935771	3.0263123359798656	-0.003166915314269903	0.24992375760208588	2669.6311360861528
0.39754596685000104	-0.45248612509251146	1.0009439184102344	2.983116705881768	0.0034087708934765373	0.2532387462494404	2739.3807192338973
0.706756877424121	-0.789331932272492	1.1130337717351877	2.919338052013704	-0.6687019879022121	0.2496885934153491	2750.3012898572188
0.39760509183339676	-0.4504116502813612	1.0021099209310762	3.0141871793733843	-0.0010905038275981496	0.2485815389793472	2657.453543062577
0.40025774631209315	-0.45046485252365637	0.9932224198967575	2.967839782466628	0.0003419753867790326	0.2505509805345804	2773.577175375889
0.4003920535943446	-0.4499596868979367	1.01477873347507	3.0554816309376047	0.002835238381271643	0.2508773322148232	2797.8354871980378
0.7202076494843844	-0.814828773404842	1.084895092381606	2.753341944048853	-0.6916509389687105	0.2496945239715789	2862.9283500156816
