# Q2	x	y	z	pT	obs	target	hadron	value	error
1.2810E+00	3.6000E-02	7.0700E-01	3.3600E-01	4.8900E-01	AUTcollins	proton	pi+	2.1131E-02	8.8566E-03
1.6310E+00	5.6000E-02	5.6900E-01	3.5600E-01	4.0900E-01	AUTcollins	proton	pi+	2.5157E-02	7.3007E-03
2.0170E+00	7.6000E-02	5.1300E-01	3.6700E-01	3.7200E-01	AUTcollins	proton	pi+	2.7942E-02	8.1609E-03
2.4670E+00	9.8000E-02	4.8400E-01	3.7600E-01	3.5600E-01	AUTcollins	proton	pi+	3.0580E-02	7.7389E-03
3.2030E+00	1.3300E-01	4.6400E-01	3.7900E-01	3.4400E-01	AUTcollins	proton	pi+	3.2732E-02	8.0449E-03
4.3210E+00	1.8600E-01	4.4900E-01	3.7900E-01	3.3900E-01	AUTcollins	proton	pi+	3.2958E-02	1.0720E-02
6.1790E+00	2.7500E-01	4.3400E-01	3.7500E-01	3.4400E-01	AUTcollins	proton	pi+	2.8236E-02	1.5024E-02
