# Q2	x	y	z	pT	obs	target	hadron	value	error
1.2780E+00	3.5000E-02	7.0800E-01	3.3000E-01	4.8400E-01	AUTcollins	proton	pi-	5.3039E-05	1.0347E-02
1.6290E+00	5.5000E-02	5.7000E-01	3.5000E-01	4.0300E-01	AUTcollins	proton	pi-	2.6229E-03	8.8566E-03
2.0110E+00	7.6000E-02	5.1200E-01	3.6000E-01	3.6700E-01	AUTcollins	proton	pi-	5.1627E-03	9.5273E-03
2.4510E+00	9.8000E-02	4.8100E-01	3.6700E-01	3.5200E-01	AUTcollins	proton	pi-	7.7011E-03	8.7664E-03
3.1920E+00	1.3300E-01	4.6200E-01	3.6900E-01	3.4400E-01	AUTcollins	proton	pi-	1.1133E-02	8.2861E-03
4.2910E+00	1.8600E-01	4.4700E-01	3.6700E-01	3.4000E-01	AUTcollins	proton	pi-	1.4349E-02	1.0918E-02
6.1250E+00	2.7500E-01	4.3000E-01	3.6300E-01	3.5400E-01	AUTcollins	proton	pi-	1.5424E-02	1.5412E-02
