kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
0.000000E+00	-1.042511E+00	1.131631E+00	-1.658029E-01	3.822294E-01	-8.767083E-01	7.494019E-01	5.810136E-02	2.439124E-02	2.742601E-02	1.079531E-02	7.258034E-02	2.105251E-02
1.000000E-02	-1.042268E+00	1.131368E+00	-1.657644E-01	3.821405E-01	-8.808876E-01	7.529747E-01	5.808731E-02	2.438358E-02	2.741959E-02	1.079228E-02	7.269615E-02	2.137921E-02
2.000000E-02	-1.041542E+00	1.130579E+00	-1.656488E-01	3.818741E-01	-8.802975E-01	7.524702E-01	5.804518E-02	2.436065E-02	2.740033E-02	1.078321E-02	7.264614E-02	2.136496E-02
3.000000E-02	-1.040332E+00	1.129266E+00	-1.654564E-01	3.814305E-01	-8.792771E-01	7.515979E-01	5.797503E-02	2.432246E-02	2.736826E-02	1.076811E-02	7.256056E-02	2.133555E-02
4.000000E-02	-1.038640E+00	1.127430E+00	-1.651873E-01	3.808103E-01	-8.778495E-01	7.503776E-01	5.787697E-02	2.426910E-02	2.732343E-02	1.074701E-02	7.244087E-02	2.129430E-02
5.000000E-02	-1.036470E+00	1.125073E+00	-1.648420E-01	3.800144E-01	-8.760169E-01	7.488110E-01	5.775114E-02	2.420065E-02	2.726589E-02	1.071993E-02	7.228724E-02	2.124130E-02
6.000000E-02	-1.033823E+00	1.122200E+00	-1.644210E-01	3.790438E-01	-8.737817E-01	7.469003E-01	5.759773E-02	2.411725E-02	2.719573E-02	1.068693E-02	7.209988E-02	2.117663E-02
7.000000E-02	-1.030703E+00	1.118814E+00	-1.639248E-01	3.779000E-01	-8.711472E-01	7.446482E-01	5.741697E-02	2.401904E-02	2.711305E-02	1.064807E-02	7.187907E-02	2.110040E-02
8.000000E-02	-1.027115E+00	1.114919E+00	-1.633542E-01	3.765845E-01	-8.681169E-01	7.420578E-01	5.720911E-02	2.390620E-02	2.701796E-02	1.060340E-02	7.162513E-02	2.101275E-02
9.000000E-02	-1.023064E+00	1.110522E+00	-1.627098E-01	3.750992E-01	-8.646951E-01	7.391327E-01	5.697446E-02	2.377894E-02	2.691060E-02	1.055301E-02	7.133840E-02	2.091382E-02
1.000000E-01	-1.018556E+00	1.105627E+00	-1.619927E-01	3.734460E-01	-8.608864E-01	7.358769E-01	5.671338E-02	2.363747E-02	2.679112E-02	1.049697E-02	7.101930E-02	2.080377E-02
1.100000E-01	-1.013595E+00	1.100243E+00	-1.612038E-01	3.716273E-01	-8.566961E-01	7.322949E-01	5.642624E-02	2.348206E-02	2.665967E-02	1.043539E-02	7.066828E-02	2.068280E-02
1.200000E-01	-1.008190E+00	1.094376E+00	-1.603441E-01	3.696456E-01	-8.521299E-01	7.283916E-01	5.611345E-02	2.331298E-02	2.651645E-02	1.036837E-02	7.028583E-02	2.055110E-02
1.300000E-01	-1.002348E+00	1.088034E+00	-1.594149E-01	3.675035E-01	-8.471941E-01	7.241723E-01	5.577547E-02	2.313052E-02	2.636165E-02	1.029601E-02	6.987248E-02	2.040889E-02
1.400000E-01	-9.960767E-01	1.081226E+00	-1.584173E-01	3.652040E-01	-8.418954E-01	7.196427E-01	5.541280E-02	2.293502E-02	2.619549E-02	1.021843E-02	6.942882E-02	2.025640E-02
1.500000E-01	-9.893843E-01	1.073961E+00	-1.573529E-01	3.627502E-01	-8.362409E-01	7.148091E-01	5.502594E-02	2.272681E-02	2.601818E-02	1.013577E-02	6.895546E-02	2.009390E-02
1.600000E-01	-9.822800E-01	1.066249E+00	-1.562229E-01	3.601453E-01	-8.302383E-01	7.096779E-01	5.461546E-02	2.250626E-02	2.582998E-02	1.004817E-02	6.845305E-02	1.992163E-02
1.700000E-01	-9.747735E-01	1.058101E+00	-1.550290E-01	3.573930E-01	-8.238958E-01	7.042561E-01	5.418193E-02	2.227376E-02	2.563114E-02	9.955748E-03	6.792229E-02	1.973989E-02
1.800000E-01	-9.668747E-01	1.049526E+00	-1.537726E-01	3.544969E-01	-8.172216E-01	6.985508E-01	5.372597E-02	2.202969E-02	2.542192E-02	9.858673E-03	6.736391E-02	1.954896E-02
1.900000E-01	-9.585942E-01	1.040538E+00	-1.524556E-01	3.514607E-01	-8.102247E-01	6.925696E-01	5.324822E-02	2.177449E-02	2.520261E-02	9.757096E-03	6.677866E-02	1.934915E-02
2.000000E-01	-9.499428E-01	1.031146E+00	-1.510795E-01	3.482887E-01	-8.029144E-01	6.863205E-01	5.274934E-02	2.150858E-02	2.497350E-02	9.651179E-03	6.616733E-02	1.914078E-02
2.100000E-01	-9.409319E-01	1.021365E+00	-1.496463E-01	3.449848E-01	-7.953002E-01	6.798117E-01	5.223003E-02	2.123242E-02	2.473490E-02	9.541091E-03	6.553075E-02	1.892419E-02
2.200000E-01	-9.315733E-01	1.011206E+00	-1.481578E-01	3.415534E-01	-7.873920E-01	6.730515E-01	5.169101E-02	2.094647E-02	2.448711E-02	9.427004E-03	6.486977E-02	1.869970E-02
2.300000E-01	-9.218791E-01	1.000683E+00	-1.466159E-01	3.379989E-01	-7.792002E-01	6.660489E-01	5.113301E-02	2.065121E-02	2.423046E-02	9.309096E-03	6.418526E-02	1.846768E-02
2.400000E-01	-9.118617E-01	9.898084E-01	-1.450226E-01	3.343260E-01	-7.707351E-01	6.588127E-01	5.055678E-02	2.034713E-02	2.396528E-02	9.187551E-03	6.347812E-02	1.822847E-02
