idx	Nuv	auv	buv	Ndv	adv	bdv	Nub	Ndb	M1
1345	1.6042E-01	8.3400E-01	7.1263E+00	-4.4448E-01	3.0232E+00	2.5000E+01	7.9947E-02	-1.3189E-01	9.3091E-01
1346	2.6280E-01	5.3763E-01	3.6419E+00	-6.8065E-01	2.8206E+00	1.9822E+01	1.4006E-01	-2.5404E-01	3.0000E+00
1347	1.9136E-01	4.7067E-01	2.2497E+00	-4.6411E-01	1.5563E+00	7.2216E+00	4.8146E-02	-1.0981E-01	1.5153E+00
1348	1.7666E-01	3.6609E-01	3.5751E+00	-3.9345E-01	1.7836E+00	1.4736E+01	9.9048E-02	-1.6193E-01	8.2452E-01
1349	1.7873E-01	6.5938E-01	6.6598E+00	-4.5477E-01	2.8156E+00	2.0930E+01	8.6714E-02	-1.6343E-01	1.4566E+00
1350	1.8742E-01	1.1189E+00	8.2993E+00	-4.6140E-01	2.7163E+00	1.9273E+01	7.7695E-02	-1.3142E-01	1.5443E+00
1351	3.0401E-01	9.2538E-01	5.2972E+00	-8.7032E-01	1.8429E+00	7.9090E+00	1.1756E-01	-1.9937E-01	3.0000E+00
1352	1.7096E-01	1.0495E+00	7.7080E+00	-4.2848E-01	2.8354E+00	1.9596E+01	6.2742E-02	-9.9908E-02	1.1934E+00
1353	1.9412E-01	4.2993E-01	3.7361E+00	-5.4258E-01	2.1337E+00	1.2801E+01	7.5627E-02	-1.7293E-01	2.0382E+00
1354	1.7691E-01	1.1739E-11	7.6693E-01	-3.6750E-01	1.1165E+00	4.7006E+00	3.8856E-02	-1.3039E-01	1.3892E+00
1355	1.9621E-01	9.5193E-01	6.0179E+00	-5.0210E-01	2.3189E+00	1.3598E+01	3.3683E-02	-8.6827E-02	1.2453E+00
1356	2.6760E-01	8.2715E-02	4.2920E-05	-5.2131E-01	1.1525E+00	4.9508E+00	4.5696E-02	-1.4032E-01	2.1803E+00
1357	2.8340E-01	9.9978E-01	8.1079E+00	-5.8431E-01	2.1770E+00	1.4138E+01	4.4093E-02	-1.5139E-01	3.0000E+00
1358	2.2341E-01	1.7327E+00	1.0711E+01	-5.4002E-01	2.9467E+00	1.6230E+01	5.8199E-02	-1.1598E-01	1.7648E+00
1359	1.7119E-01	5.3754E-01	4.5405E+00	-4.5345E-01	2.4520E+00	1.3740E+01	6.3816E-02	-1.5672E-01	1.0865E+00
1360	2.7182E-01	7.8935E-01	5.4059E+00	-8.3561E-01	2.2735E+00	1.0887E+01	4.9081E-02	-1.4652E-01	3.0000E+00
1361	2.3503E-01	8.3822E-14	3.5854E+00	-2.9676E-01	1.9217E+00	2.4691E+01	4.5550E-02	-1.0933E-01	1.2967E+00
1362	2.0841E-01	5.2685E-01	6.0743E+00	-5.1721E-01	2.9393E+00	2.3532E+01	9.6001E-02	-1.8717E-01	7.4993E-01
1363	1.7289E-01	4.9828E-01	4.6508E+00	-3.9537E-01	1.3453E+00	7.8018E+00	3.9834E-02	-9.4281E-02	1.2701E+00
1364	2.4706E-01	1.8324E+00	1.2596E+01	-5.3160E-01	3.4580E+00	2.4947E+01	4.8375E-02	-1.0412E-01	2.1444E+00
1365	1.6104E-01	7.1390E-01	4.8605E+00	-4.3378E-01	2.5750E+00	1.7785E+01	7.8977E-02	-1.2937E-01	1.2127E+00
1366	1.8003E-01	8.6392E-12	5.0295E-01	-3.5809E-01	9.8248E-01	4.1046E+00	3.1344E-02	-1.1590E-01	1.3806E+00
1367	1.7292E-01	1.4538E+00	9.6959E+00	-4.6588E-01	3.6952E+00	2.5000E+01	9.1710E-02	-1.4910E-01	9.6676E-01
1368	1.8755E-01	5.4479E-01	5.1305E+00	-4.1599E-01	2.4310E+00	1.7548E+01	5.7639E-02	-1.2774E-01	9.0414E-01
1369	1.7159E-01	4.9467E-01	3.6793E+00	-4.9015E-01	1.7609E+00	8.8571E+00	5.2962E-02	-1.1933E-01	1.2701E+00
1370	1.7716E-01	2.3476E-03	5.4198E-01	-3.8362E-01	1.9984E+00	1.1085E+01	4.7581E-02	-1.5344E-01	1.3287E+00
