kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
0.000000E+00	-8.193766E-01	1.189955E+00	-5.598251E-02	1.495174E-01	-7.633947E-01	1.040439E+00	2.354751E-01	3.664424E-01	2.422723E-02	5.461918E-02	2.158391E-01	3.189766E-01
1.000000E-02	-8.191756E-01	1.189663E+00	-5.596863E-02	1.494804E-01	-7.670240E-01	1.045385E+00	2.353765E-01	3.662963E-01	2.421868E-02	5.459849E-02	2.157823E-01	3.188931E-01
2.000000E-02	-8.185731E-01	1.188787E+00	-5.592701E-02	1.493696E-01	-7.664812E-01	1.044644E+00	2.350810E-01	3.658585E-01	2.419305E-02	5.453644E-02	2.155109E-01	3.185153E-01
3.000000E-02	-8.175699E-01	1.187328E+00	-5.585771E-02	1.491851E-01	-7.655446E-01	1.043366E+00	2.345891E-01	3.651298E-01	2.415039E-02	5.443318E-02	2.150586E-01	3.178858E-01
4.000000E-02	-8.161675E-01	1.185288E+00	-5.576083E-02	1.489271E-01	-7.642344E-01	1.041578E+00	2.339022E-01	3.641119E-01	2.409080E-02	5.428894E-02	2.144268E-01	3.170065E-01
5.000000E-02	-8.143681E-01	1.182672E+00	-5.563654E-02	1.485961E-01	-7.625527E-01	1.039283E+00	2.330216E-01	3.628071E-01	2.401440E-02	5.410402E-02	2.136170E-01	3.158793E-01
6.000000E-02	-8.121743E-01	1.179481E+00	-5.548501E-02	1.481926E-01	-7.605021E-01	1.036485E+00	2.319494E-01	3.612184E-01	2.392136E-02	5.387885E-02	2.126309E-01	3.145068E-01
7.000000E-02	-8.095896E-01	1.175722E+00	-5.530648E-02	1.477171E-01	-7.580856E-01	1.033188E+00	2.306881E-01	3.593492E-01	2.381188E-02	5.361390E-02	2.114709E-01	3.128920E-01
8.000000E-02	-8.066177E-01	1.171400E+00	-5.510121E-02	1.471705E-01	-7.553069E-01	1.029396E+00	2.292404E-01	3.572037E-01	2.368619E-02	5.330976E-02	2.101396E-01	3.110386E-01
9.000000E-02	-8.032632E-01	1.166522E+00	-5.486953E-02	1.465535E-01	-7.521702E-01	1.025115E+00	2.276097E-01	3.547868E-01	2.354456E-02	5.296708E-02	2.086399E-01	3.089507E-01
1.000000E-01	-7.995310E-01	1.161094E+00	-5.461178E-02	1.458671E-01	-7.486801E-01	1.020353E+00	2.257996E-01	3.521036E-01	2.338730E-02	5.258662E-02	2.069753E-01	3.066328E-01
1.100000E-01	-7.954268E-01	1.155126E+00	-5.432835E-02	1.451123E-01	-7.448418E-01	1.015115E+00	2.238141E-01	3.491603E-01	2.321473E-02	5.216918E-02	2.051495E-01	3.040902E-01
1.200000E-01	-7.909566E-01	1.148625E+00	-5.401967E-02	1.442902E-01	-7.406611E-01	1.009410E+00	2.216577E-01	3.459631E-01	2.302721E-02	5.171567E-02	2.031665E-01	3.013283E-01
1.300000E-01	-7.861270E-01	1.141601E+00	-5.368620E-02	1.434021E-01	-7.361441E-01	1.003246E+00	2.193351E-01	3.425191E-01	2.282515E-02	5.122704E-02	2.010308E-01	2.983533E-01
1.400000E-01	-7.809451E-01	1.134066E+00	-5.332842E-02	1.424492E-01	-7.312974E-01	9.966328E-01	2.168514E-01	3.388358E-01	2.260896E-02	5.070435E-02	1.987471E-01	2.951715E-01
1.500000E-01	-7.754186E-01	1.126029E+00	-5.294689E-02	1.414330E-01	-7.261282E-01	9.895791E-01	2.142121E-01	3.349210E-01	2.237909E-02	5.014869E-02	1.963203E-01	2.917899E-01
1.600000E-01	-7.695555E-01	1.117503E+00	-5.254215E-02	1.403550E-01	-7.206440E-01	9.820957E-01	2.114229E-01	3.307832E-01	2.213601E-02	4.956123E-02	1.937557E-01	2.882158E-01
1.700000E-01	-7.633643E-01	1.108500E+00	-5.211480E-02	1.392168E-01	-7.148527E-01	9.741933E-01	2.084898E-01	3.264312E-01	2.188021E-02	4.894318E-02	1.910590E-01	2.844566E-01
1.800000E-01	-7.568539E-01	1.099032E+00	-5.166547E-02	1.380199E-01	-7.087627E-01	9.658833E-01	2.054190E-01	3.218742E-01	2.161222E-02	4.829583E-02	1.882358E-01	2.805204E-01
1.900000E-01	-7.500337E-01	1.089115E+00	-5.119480E-02	1.367662E-01	-7.023827E-01	9.571777E-01	2.022172E-01	3.171216E-01	2.133258E-02	4.762049E-02	1.852922E-01	2.764155E-01
2.000000E-01	-7.429134E-01	1.078760E+00	-5.070347E-02	1.354574E-01	-6.957218E-01	9.480888E-01	1.988909E-01	3.121834E-01	2.104183E-02	4.691854E-02	1.822344E-01	2.721502E-01
2.100000E-01	-7.355029E-01	1.067984E+00	-5.019219E-02	1.340955E-01	-6.887893E-01	9.386295E-01	1.954472E-01	3.070696E-01	2.074055E-02	4.619138E-02	1.790688E-01	2.677335E-01
2.200000E-01	-7.278127E-01	1.056802E+00	-4.966167E-02	1.326822E-01	-6.815950E-01	9.288130E-01	1.918930E-01	3.017908E-01	2.042933E-02	4.544047E-02	1.758018E-01	2.631744E-01
2.300000E-01	-7.198535E-01	1.045228E+00	-4.911265E-02	1.312196E-01	-6.741488E-01	9.186529E-01	1.882358E-01	2.963574E-01	2.010877E-02	4.466728E-02	1.724403E-01	2.584819E-01
2.400000E-01	-7.116362E-01	1.033280E+00	-4.854592E-02	1.297097E-01	-6.664610E-01	9.081633E-01	1.844827E-01	2.907804E-01	1.977948E-02	4.387331E-02	1.689909E-01	2.536656E-01
2.500000E-01	-7.031720E-01	1.020972E+00	-4.796224E-02	1.281547E-01	-6.585421E-01	8.973585E-01	1.806413E-01	2.850707E-01	1.944208E-02	4.306009E-02	1.654606E-01	2.487348E-01
2.600000E-01	-6.944725E-01	1.008323E+00	-4.736241E-02	1.265565E-01	-6.504028E-01	8.862530E-01	1.767192E-01	2.792393E-01	1.909719E-02	4.222917E-02	1.618562E-01	2.436991E-01
2.700000E-01	-6.855491E-01	9.953479E-01	-4.674724E-02	1.249174E-01	-6.420539E-01	8.748618E-01	1.727239E-01	2.732975E-01	1.874544E-02	4.138209E-02	1.581850E-01	2.385683E-01
2.800000E-01	-6.764138E-01	9.820652E-01	-4.611756E-02	1.232396E-01	-6.335065E-01	8.631999E-01	1.686630E-01	2.672565E-01	1.838748E-02	4.052042E-02	1.544537E-01	2.333521E-01
