idx	Nuv	auv	buv	Ndv	adv	bdv	Nub	Ndb	M1
4070	1.7841E-01	7.4349E-01	4.9190E+00	-4.1253E-01	2.3368E+00	1.5769E+01	6.8321E-02	-1.2759E-01	1.2872E+00
4071	1.7828E-01	1.5138E+00	1.1905E+01	-4.1828E-01	2.4584E+00	1.6763E+01	6.9913E-02	-1.2460E-01	1.3660E+00
4072	1.7331E-01	5.2463E-01	4.4301E+00	-4.1129E-01	2.4411E+00	1.6531E+01	5.4470E-02	-1.2982E-01	1.2924E+00
4073	1.8197E-01	8.2050E-01	5.8121E+00	-4.1820E-01	2.3813E+00	1.5891E+01	6.1915E-02	-1.2856E-01	1.3414E+00
4074	1.7655E-01	7.0887E-01	6.6316E+00	-4.1384E-01	2.4026E+00	1.6517E+01	4.9594E-02	-1.2306E-01	1.2925E+00
4075	1.8173E-01	5.8094E-01	5.2202E+00	-4.1022E-01	2.2971E+00	1.5549E+01	6.0957E-02	-1.2839E-01	1.2761E+00
4076	1.9075E-01	7.6121E-01	5.6796E+00	-4.2202E-01	2.4322E+00	1.6162E+01	4.2107E-02	-1.2623E-01	1.3116E+00
4077	1.5981E-01	6.7356E-01	4.7821E+00	-4.1507E-01	2.4009E+00	1.6143E+01	7.3938E-02	-1.2802E-01	1.2832E+00
4078	1.6467E-01	7.3262E-01	5.9864E+00	-4.0994E-01	2.3079E+00	1.5443E+01	7.2557E-02	-1.3067E-01	1.2722E+00
4079	1.7207E-01	5.3633E-01	5.2870E+00	-4.0687E-01	2.3117E+00	1.5914E+01	6.7986E-02	-1.3077E-01	1.3504E+00
4080	1.6804E-01	5.9335E-01	5.9332E+00	-4.1286E-01	2.4123E+00	1.6499E+01	6.1879E-02	-1.2764E-01	1.3475E+00
4081	1.6417E-01	9.7049E-01	7.3643E+00	-4.1291E-01	2.2830E+00	1.5471E+01	8.7353E-02	-1.2838E-01	1.2983E+00
4082	1.6408E-01	7.4125E-01	5.6596E+00	-4.1533E-01	2.4301E+00	1.6218E+01	6.2877E-02	-1.2617E-01	1.3226E+00
4083	1.7845E-01	7.9256E-01	7.2972E+00	-4.1182E-01	2.3513E+00	1.5860E+01	6.1024E-02	-1.2566E-01	1.3208E+00
4084	1.8661E-01	9.1622E-01	6.8933E+00	-4.2357E-01	2.4130E+00	1.6134E+01	5.4717E-02	-1.2532E-01	1.3020E+00
