kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
0.000000E+00	-4.553108E+00	7.408867E+00	-3.261212E+00	7.370336E+00	-1.291896E+00	3.191272E-02	2.027200E+00	2.693376E+00	1.411336E+00	2.692407E+00	1.136788E+00	6.960966E-02
1.000000E-02	-4.551974E+00	7.407035E+00	-3.260403E+00	7.368514E+00	-1.298030E+00	3.868134E-02	2.026478E+00	2.692353E+00	1.410838E+00	2.691387E+00	1.136479E+00	6.927594E-02
2.000000E-02	-4.548575E+00	7.401544E+00	-3.257978E+00	7.363050E+00	-1.297086E+00	3.868739E-02	2.024316E+00	2.689286E+00	1.409345E+00	2.688328E+00	1.135498E+00	6.922513E-02
3.000000E-02	-4.542915E+00	7.392401E+00	-3.253941E+00	7.353953E+00	-1.295459E+00	3.864115E-02	2.020716E+00	2.684181E+00	1.406860E+00	2.683238E+00	1.133864E+00	6.914037E-02
4.000000E-02	-4.535003E+00	7.379620E+00	-3.248298E+00	7.341237E+00	-1.293182E+00	3.857624E-02	2.015687E+00	2.677050E+00	1.403388E+00	2.676128E+00	1.131581E+00	6.902190E-02
5.000000E-02	-4.524852E+00	7.363221E+00	-3.241057E+00	7.324920E+00	-1.290260E+00	3.849293E-02	2.009240E+00	2.667908E+00	1.398938E+00	2.667013E+00	1.128653E+00	6.886988E-02
6.000000E-02	-4.512477E+00	7.343228E+00	-3.232230E+00	7.305029E+00	-1.286698E+00	3.839132E-02	2.001388E+00	2.656776E+00	1.393518E+00	2.655913E+00	1.125086E+00	6.868456E-02
7.000000E-02	-4.497896E+00	7.319673E+00	-3.221830E+00	7.281593E+00	-1.282500E+00	3.827159E-02	1.992147E+00	2.643678E+00	1.387140E+00	2.642852E+00	1.120885E+00	6.846621E-02
8.000000E-02	-4.481133E+00	7.292590E+00	-3.209873E+00	7.254648E+00	-1.277673E+00	3.813389E-02	1.981539E+00	2.628642E+00	1.379818E+00	2.627860E+00	1.116059E+00	6.821516E-02
9.000000E-02	-4.462213E+00	7.262022E+00	-3.196376E+00	7.224234E+00	-1.272225E+00	3.797845E-02	1.969584E+00	2.611701E+00	1.371568E+00	2.610968E+00	1.110616E+00	6.793180E-02
1.000000E-01	-4.441164E+00	7.228013E+00	-3.181361E+00	7.190397E+00	-1.266164E+00	3.780547E-02	1.956308E+00	2.592892E+00	1.362406E+00	2.592213E+00	1.104566E+00	6.761655E-02
1.100000E-01	-4.418019E+00	7.190615E+00	-3.164850E+00	7.153189E+00	-1.259500E+00	3.761522E-02	1.941739E+00	2.572256E+00	1.352353E+00	2.571636E+00	1.097920E+00	6.726988E-02
1.200000E-01	-4.392812E+00	7.149885E+00	-3.146868E+00	7.112665E+00	-1.252241E+00	3.740797E-02	1.925906E+00	2.549836E+00	1.341430E+00	2.549280E+00	1.090690E+00	6.689232E-02
