kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
5.500000E-01	-2.037951E-01	2.169541E-01	-6.322883E-03	1.996117E-02	-1.984908E-01	1.980088E-01	3.222204E-02	6.787295E-02	2.016832E-03	4.753796E-03	3.144895E-02	6.778912E-02
5.600000E-01	-1.984737E-01	2.113407E-01	-6.154969E-03	1.943246E-02	-1.933112E-01	1.928982E-01	3.080921E-02	6.597578E-02	1.943291E-03	4.551548E-03	3.010061E-02	6.596012E-02
5.700000E-01	-1.932029E-01	2.057791E-01	-5.988736E-03	1.890900E-02	-1.881807E-01	1.878346E-01	2.944397E-02	6.411485E-02	1.871441E-03	4.354446E-03	2.879798E-02	6.416226E-02
5.800000E-01	-1.879863E-01	2.002731E-01	-5.824296E-03	1.839114E-02	-1.831029E-01	1.828212E-01	2.812726E-02	6.229086E-02	1.801317E-03	4.162605E-03	2.754194E-02	6.239627E-02
5.900000E-01	-1.828272E-01	1.948265E-01	-5.661757E-03	1.787923E-02	-1.780810E-01	1.778614E-01	2.685992E-02	6.050436E-02	1.732951E-03	3.976122E-03	2.633323E-02	6.066278E-02
6.000000E-01	-1.777290E-01	1.894425E-01	-5.501218E-03	1.737357E-02	-1.731182E-01	1.729582E-01	2.564261E-02	5.875581E-02	1.666370E-03	3.795084E-03	2.517243E-02	5.896229E-02
6.100000E-01	-1.726946E-01	1.841245E-01	-5.342775E-03	1.687448E-02	-1.682175E-01	1.681148E-01	2.447588E-02	5.704554E-02	1.601595E-03	3.619562E-03	2.406000E-02	5.729523E-02
6.200000E-01	-1.677270E-01	1.788754E-01	-5.186517E-03	1.638222E-02	-1.633816E-01	1.633337E-01	2.336013E-02	5.537376E-02	1.538645E-03	3.449614E-03	2.299626E-02	5.566192E-02
6.300000E-01	-1.628287E-01	1.736981E-01	-5.032525E-03	1.589706E-02	-1.586131E-01	1.586177E-01	2.229561E-02	5.374060E-02	1.477529E-03	3.285283E-03	2.198137E-02	5.406260E-02
6.400000E-01	-1.580023E-01	1.685952E-01	-4.880877E-03	1.541924E-02	-1.539145E-01	1.539691E-01	2.128243E-02	5.214607E-02	1.418257E-03	3.126604E-03	2.101533E-02	5.249741E-02
6.500000E-01	-1.532501E-01	1.635693E-01	-4.731644E-03	1.494899E-02	-1.492880E-01	1.493901E-01	2.032051E-02	5.059008E-02	1.360830E-03	2.973594E-03	2.009800E-02	5.096642E-02
6.600000E-01	-1.485742E-01	1.586225E-01	-4.584890E-03	1.448651E-02	-1.447357E-01	1.448830E-01	1.940963E-02	4.907246E-02	1.305248E-03	2.826263E-03	1.922905E-02	4.946962E-02
6.700000E-01	-1.439765E-01	1.537571E-01	-4.440675E-03	1.403199E-02	-1.402595E-01	1.404495E-01	1.854939E-02	4.759297E-02	1.251504E-03	2.684608E-03	1.840800E-02	4.800691E-02
6.800000E-01	-1.394588E-01	1.489748E-01	-4.299053E-03	1.358560E-02	-1.358611E-01	1.360915E-01	1.773920E-02	4.615126E-02	1.199590E-03	2.548613E-03	1.763417E-02	4.657816E-02
6.900000E-01	-1.350227E-01	1.442775E-01	-4.160070E-03	1.314749E-02	-1.315420E-01	1.318105E-01	1.697828E-02	4.474694E-02	1.149491E-03	2.418254E-03	1.690670E-02	4.518315E-02
