kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
6.600000E-01	-1.510077E-01	1.657235E-01	-4.576059E-03	1.446404E-02	-1.471903E-01	1.520432E-01	1.135028E-02	2.502609E-03	7.524050E-04	3.391313E-04	1.135233E-02	2.585850E-03
6.700000E-01	-1.464113E-01	1.606785E-01	-4.436742E-03	1.402371E-02	-1.427105E-01	1.474150E-01	1.101053E-02	2.407946E-03	7.294009E-04	3.273354E-04	1.101253E-02	2.492966E-03
6.800000E-01	-1.418889E-01	1.557146E-01	-4.299667E-03	1.359046E-02	-1.383028E-01	1.428612E-01	1.067623E-02	2.316097E-03	7.067722E-04	3.158158E-04	1.067816E-02	2.402625E-03
6.900000E-01	-1.374423E-01	1.508339E-01	-4.164891E-03	1.316448E-02	-1.339689E-01	1.383838E-01	1.034751E-02	2.227068E-03	6.845281E-04	3.045748E-04	1.034936E-02	2.314834E-03
7.000000E-01	-1.330731E-01	1.460384E-01	-4.032465E-03	1.274592E-02	-1.297105E-01	1.339844E-01	1.002448E-02	2.140860E-03	6.626769E-04	2.936143E-04	1.002625E-02	2.229596E-03
7.100000E-01	-1.287830E-01	1.413295E-01	-3.902435E-03	1.233493E-02	-1.255292E-01	1.296645E-01	9.707249E-03	2.057468E-03	6.412260E-04	2.829354E-04	9.708928E-03	2.146910E-03
7.200000E-01	-1.245733E-01	1.367090E-01	-3.774842E-03	1.193165E-02	-1.214261E-01	1.254257E-01	9.395924E-03	1.976880E-03	6.201822E-04	2.725388E-04	9.397505E-03	2.066766E-03
7.300000E-01	-1.204453E-01	1.321781E-01	-3.649725E-03	1.153620E-02	-1.174027E-01	1.212690E-01	9.090586E-03	1.899080E-03	5.995513E-04	2.624246E-04	9.092064E-03	1.989152E-03
7.400000E-01	-1.163999E-01	1.277379E-01	-3.527114E-03	1.114866E-02	-1.134598E-01	1.171956E-01	8.791311E-03	1.824044E-03	5.793385E-04	2.525925E-04	8.792679E-03	1.914050E-03
7.500000E-01	-1.124381E-01	1.233896E-01	-3.407039E-03	1.076914E-02	-1.095983E-01	1.132064E-01	8.498161E-03	1.751742E-03	5.595481E-04	2.430413E-04	8.499416E-03	1.841435E-03
7.600000E-01	-1.085607E-01	1.191338E-01	-3.289522E-03	1.039770E-02	-1.058191E-01	1.093022E-01	8.211192E-03	1.682141E-03	5.401839E-04	2.337699E-04	8.212329E-03	1.771280E-03
7.700000E-01	-1.047683E-01	1.149715E-01	-3.174582E-03	1.003441E-02	-1.021228E-01	1.054836E-01	7.930445E-03	1.615202E-03	5.212487E-04	2.247763E-04	7.931460E-03	1.703553E-03
