Ebeam;x;y;z;Q2;pT;obs;value;stat;syst1;syst2;target;hadron
160;0.041;0.29;0.35;3.05;0.154;AUT;0.0057652;0.0111756;0;0;deuteron;pi-
160;0.04;0.3;0.35;3;0.252;AUT;-0.0098255;0.009216;0;0;deuteron;pi-
160;0.039;0.31;0.35;3.01;0.349;AUT;-0.0145794;0.0088764;0;0;deuteron;pi-
160;0.039;0.32;0.35;3.08;0.448;AUT;-0.0183327;0.0095441;0;0;deuteron;pi-
160;0.038;0.33;0.35;3.15;0.547;AUT;-0.0020555;0.0108597;0;0;deuteron;pi-
160;0.038;0.34;0.36;3.23;0.668;AUT;-0.0184293;0.0109471;0;0;deuteron;pi-
160;0.037;0.35;0.38;3.29;0.816;AUT;-0.002706;0.0149344;0;0;deuteron;pi-
160;0.036;0.38;0.4;3.42;1.042;AUT;-0.0096832;0.0158503;0;0;deuteron;pi-
160;0.035;0.43;0.42;3.83;1.554;AUT;-0.0284856;0.0349449;0;0;deuteron;pi-
160;0.006453;0.65;0.29;1.24;0.54;AUT;0.0032257;0.0159211;0;0;deuteron;pi-
160;0.01057;0.47;0.32;1.46;0.52;AUT;-0.0027362;0.0104198;0;0;deuteron;pi-
160;0.01641;0.35;0.35;1.68;0.49;AUT;-0.022511;0.0088069;0;0;deuteron;pi-
160;0.02552;0.27;0.37;2.02;0.46;AUT;-0.0076737;0.0078828;0;0;deuteron;pi-
160;0.03964;0.24;0.38;2.82;0.45;AUT;-0.0054915;0.0089399;0;0;deuteron;pi-
160;0.06247;0.25;0.38;4.59;0.45;AUT;-0.0096824;0.0112891;0;0;deuteron;pi-
160;0.1004;0.25;0.36;7.42;0.46;AUT;-0.0166246;0.0152746;0;0;deuteron;pi-
160;0.1607;0.25;0.36;11.9;0.47;AUT;-0.0025896;0.0232154;0;0;deuteron;pi-
160;0.2781;0.28;0.35;23.9;0.51;AUT;-0.0339252;0.0411253;0;0;deuteron;pi-
160;0.036;0.37;0.2236;3.31;0.44;AUT;-0.0137383;0.0071471;0;0;deuteron;pi-
160;0.038;0.35;0.2736;3.25;0.46;AUT;-0.0123013;0.0084168;0;0;deuteron;pi-
160;0.039;0.33;0.3236;3.19;0.48;AUT;-0.0042981;0.0099817;0;0;deuteron;pi-
160;0.04;0.31;0.3736;3.13;0.5;AUT;0.0074862;0.0118346;0;0;deuteron;pi-
160;0.041;0.28;0.4446;3.02;0.52;AUT;-0.0242551;0.0109489;0;0;deuteron;pi-
160;0.042;0.25;0.5643;2.81;0.54;AUT;0.0023554;0.0129656;0;0;deuteron;pi-
160;0.042;0.22;0.7171;2.51;0.52;AUT;-0.0343834;0.0190077;0;0;deuteron;pi-
160;0.041;0.19;0.8794;2.21;0.43;AUT;0.0287259;0.0246575;0;0;deuteron;pi-
