i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,27.6,0.106,0.462,0.337,2.454,0.11,AUT,0.0078,0.0082,0,0.0052,proton,pi-,hermes
1,27.6,0.102,0.493,0.346,2.445,0.211,AUT,0.0122,0.0088,0,0.0041,proton,pi-,hermes
2,27.6,0.096,0.525,0.35,2.393,0.29,AUT,0.0069,0.0086,0,0.0032,proton,pi-,hermes
3,27.6,0.089,0.556,0.348,2.314,0.369,AUT,-0.0064,0.0087,0,0.0023,proton,pi-,hermes
4,27.6,0.083,0.586,0.349,2.269,0.488,AUT,0.0044,0.0067,0,0.0009,proton,pi-,hermes
5,27.6,0.079,0.619,0.371,2.265,0.67,AUT,0.0026,0.0086,0,0.0012,proton,pi-,hermes
6,27.6,0.072,0.658,0.433,2.224,0.951,AUT,0.0292,0.014,0,0.0042,proton,pi-,hermes
7,27.6,0.035,0.708,0.33,1.278,0.484,AUT,0.0104,0.0095,0,0.0041,proton,pi-,hermes
8,27.6,0.055,0.57,0.35,1.629,0.403,AUT,0.0169,0.008,0,0.0038,proton,pi-,hermes
9,27.6,0.076,0.512,0.36,2.011,0.367,AUT,-0.0157,0.0089,0,0.0034,proton,pi-,hermes
10,27.6,0.098,0.481,0.367,2.451,0.352,AUT,0.0103,0.0082,0,0.0031,proton,pi-,hermes
11,27.6,0.133,0.462,0.369,3.192,0.344,AUT,-0.0053,0.0079,0,0.0025,proton,pi-,hermes
12,27.6,0.186,0.447,0.367,4.291,0.34,AUT,0.0204,0.0108,0,0.0016,proton,pi-,hermes
13,27.6,0.275,0.43,0.363,6.125,0.354,AUT,-0.0192,0.0154,0,0.0006,proton,pi-,hermes
14,27.6,0.084,0.596,0.233,2.373,0.352,AUT,0.0088,0.0057,0,0.003,proton,pi-,hermes
15,27.6,0.091,0.553,0.303,2.356,0.385,AUT,0.0072,0.0065,0,0.005,proton,pi-,hermes
16,27.6,0.094,0.53,0.373,2.338,0.411,AUT,0.0205,0.0079,0,0.007,proton,pi-,hermes
17,27.6,0.096,0.515,0.447,2.332,0.43,AUT,0.0007,0.0091,0,0.009,proton,pi-,hermes
18,27.6,0.097,0.504,0.523,2.315,0.444,AUT,-0.0007,0.0118,0,0.0112,proton,pi-,hermes
19,27.6,0.096,0.494,0.593,2.263,0.447,AUT,0.0117,0.0141,0,0.0131,proton,pi-,hermes
20,27.6,0.098,0.475,0.663,2.247,0.435,AUT,-0.0099,0.0167,0,0.0151,proton,pi-,hermes
