Ebeam;x;y;z;Q2;pT;obs;value;stat;syst1;syst2;target;hadron
27.6;0.111;0.47;0.367;2.655;0.111;AUT;0.0337;0.0182;0;0.0324;proton;k+
27.6;0.107;0.496;0.376;2.619;0.211;AUT;0.0646;0.0201;0;0.0267;proton;k+
27.6;0.103;0.525;0.38;2.597;0.29;AUT;0.0433;0.0205;0;0.0221;proton;k+
27.6;0.096;0.55;0.387;2.52;0.369;AUT;0.0773;0.0207;0;0.0176;proton;k+
27.6;0.089;0.576;0.393;2.44;0.489;AUT;0.0922;0.0157;0;0.0107;proton;k+
27.6;0.081;0.611;0.418;2.339;0.673;AUT;0.0904;0.0181;0;0.0011;proton;k+
27.6;0.072;0.661;0.471;2.253;0.972;AUT;0.0757;0.0259;0;0.0153;proton;k+
27.6;0.036;0.709;0.364;1.285;0.53;AUT;0.0407;0.0243;0;0.0153;proton;k+
27.6;0.056;0.574;0.386;1.646;0.439;AUT;0.0581;0.0193;0;0.015;proton;k+
27.6;0.076;0.524;0.398;2.061;0.399;AUT;0.082;0.0212;0;0.0146;proton;k+
27.6;0.099;0.495;0.406;2.523;0.375;AUT;0.1053;0.0188;0;0.0143;proton;k+
27.6;0.134;0.477;0.412;3.3;0.363;AUT;0.0767;0.0173;0;0.0138;proton;k+
27.6;0.186;0.464;0.413;4.461;0.355;AUT;0.0758;0.0216;0;0.013;proton;k+
27.6;0.274;0.45;0.416;6.374;0.355;AUT;0.0645;0.0276;0;0.0117;proton;k+
27.6;0.083;0.606;0.236;2.429;0.354;AUT;0.0235;0.0165;0;0.0063;proton;k+
27.6;0.092;0.568;0.305;2.474;0.385;AUT;0.0454;0.0161;0;0.0076;proton;k+
27.6;0.097;0.545;0.374;2.528;0.415;AUT;0.0773;0.0166;0;0.0088;proton;k+
27.6;0.099;0.531;0.448;2.521;0.443;AUT;0.0727;0.0178;0;0.0101;proton;k+
27.6;0.102;0.515;0.524;2.511;0.47;AUT;0.1358;0.0215;0;0.0115;proton;k+
27.6;0.103;0.515;0.593;2.552;0.497;AUT;0.0829;0.0255;0;0.0127;proton;k+
27.6;0.106;0.495;0.663;2.562;0.512;AUT;0.1335;0.0296;0;0.014;proton;k+
