Ebeam,x,y,z,Q2,pT,obs,value,stat,syst1,syst2,target,hadron
27.6,0.102,0.478,0.342,2.467,0.111,AUT,0.0117,0.0289,0,0.0106,proton,k-
27.6,0.098,0.516,0.348,2.452,0.21,AUT,0.0607,0.0316,0,0.0084,proton,k-
27.6,0.094,0.545,0.351,2.457,0.29,AUT,0.019,0.0322,0,0.0066,proton,k-
27.6,0.086,0.576,0.354,2.361,0.37,AUT,0.0417,0.0317,0,0.0049,proton,k-
27.6,0.081,0.604,0.352,2.293,0.489,AUT,0.0139,0.0234,0,0.0024,proton,k-
27.6,0.076,0.636,0.372,2.275,0.673,AUT,0.0149,0.0269,0,0.002,proton,k-
27.6,0.07,0.678,0.429,2.24,0.955,AUT,0.0433,0.039,0,0.0077,proton,k-
27.6,0.035,0.715,0.339,1.289,0.507,AUT,0.0053,0.0298,0,0.0189,proton,k-
27.6,0.055,0.582,0.358,1.666,0.421,AUT,0.0519,0.0263,0,0.0141,proton,k-
27.6,0.076,0.532,0.363,2.088,0.381,AUT,0.0316,0.0307,0,0.0092,proton,k-
27.6,0.098,0.508,0.37,2.585,0.366,AUT,0.0294,0.029,0,0.004,proton,k-
27.6,0.133,0.489,0.37,3.375,0.363,AUT,0.0246,0.0281,0,0.0048,proton,k-
27.6,0.186,0.474,0.369,4.551,0.351,AUT,0.0067,0.0367,0,0.0171,proton,k-
27.6,0.275,0.444,0.37,6.301,0.364,AUT,0.0086,0.0524,0,0.0378,proton,k-
27.6,0.081,0.617,0.234,2.393,0.366,AUT,-0.0004,0.0207,0,0.0094,proton,k-
27.6,0.086,0.58,0.303,2.38,0.401,AUT,0.0166,0.0225,0,0.0108,proton,k-
27.6,0.091,0.553,0.373,2.385,0.429,AUT,0.0192,0.0259,0,0.0122,proton,k-
27.6,0.091,0.536,0.448,2.32,0.45,AUT,0.0621,0.0291,0,0.0137,proton,k-
27.6,0.091,0.534,0.523,2.294,0.463,AUT,0.084,0.0388,0,0.0152,proton,k-
27.6,0.092,0.53,0.591,2.325,0.479,AUT,0.0128,0.048,0,0.0166,proton,k-
27.6,0.094,0.513,0.662,2.329,0.493,AUT,0.0817,0.0665,0,0.0181,proton,k-
