i,obs,value,stat,syst1,Q2,x,z,pT,target,hadron
0,M_Hermes,3.889816,0.04910913,0.5273999,1.250269,0.03752505,0.1519976,0.1107234,deuteron,pi-
1,M_Hermes,7.74835,0.06094666,0.4965339,1.250269,0.03752505,0.1538399,0.2216789,deuteron,pi-
2,M_Hermes,8.614843,0.05956393,0.8337088,1.250269,0.03752505,0.1552639,0.3270037,deuteron,pi-
3,M_Hermes,7.040695,0.06003686,0.8840889,1.250269,0.03752505,0.1579656,0.4383999,deuteron,pi-
4,M_Hermes,4.358895,0.05104697,0.5434803,1.250269,0.03752505,0.1600849,0.577428,deuteron,pi-
5,M_Hermes,1.682686,0.05154773,0.1333441,1.250269,0.03752505,0.165578,0.7804701,deuteron,pi-
6,M_Hermes,0.3464875,0.05680621,0.02738106,1.250269,0.03752505,0.170867,1.042909,deuteron,pi-
7,M_Hermes,1.607095,0.04650115,0.3953339,1.250269,0.03752505,0.2294398,0.1046564,deuteron,pi-
8,M_Hermes,3.595631,0.06425711,0.5176352,1.250269,0.03752505,0.2334364,0.213071,deuteron,pi-
9,M_Hermes,4.209695,0.06085733,0.3469731,1.250269,0.03752505,0.2338915,0.3151613,deuteron,pi-
10,M_Hermes,3.815388,0.05256066,0.2744164,1.250269,0.03752505,0.2369812,0.4228169,deuteron,pi-
11,M_Hermes,2.680225,0.03606551,0.1051149,1.250269,0.03752505,0.2389495,0.5544828,deuteron,pi-
12,M_Hermes,1.189203,0.02417618,0.06813854,1.250269,0.03752505,0.2429691,0.7408377,deuteron,pi-
13,M_Hermes,0.2334719,0.01442555,0.01356958,1.250269,0.03752505,0.2567773,1.062438,deuteron,pi-
14,M_Hermes,1.025136,0.03856932,0.2832283,1.250269,0.03752505,0.2779576,0.1028189,deuteron,pi-
15,M_Hermes,2.256821,0.05188435,0.4289485,1.250269,0.03752505,0.2813551,0.2094052,deuteron,pi-
16,M_Hermes,2.766574,0.05440011,0.3513878,1.250269,0.03752505,0.2854558,0.3148921,deuteron,pi-
17,M_Hermes,2.656528,0.04769571,0.2316405,1.250269,0.03752505,0.2867932,0.4183916,deuteron,pi-
18,M_Hermes,2.039496,0.03164275,0.1762882,1.250269,0.03752505,0.2880971,0.5462103,deuteron,pi-
19,M_Hermes,0.9891488,0.0193547,0.08679153,1.250269,0.03752505,0.2927297,0.7302418,deuteron,pi-
20,M_Hermes,0.2338757,0.008750518,0.02067647,1.250269,0.03752505,0.3002335,1.017473,deuteron,pi-
21,M_Hermes,0.5782864,0.02430481,0.02091688,1.250269,0.03752505,0.335001,0.09968262,deuteron,pi-
22,M_Hermes,1.322294,0.0335628,0.297172,1.250269,0.03752505,0.3420836,0.2091559,deuteron,pi-
23,M_Hermes,1.631438,0.03318264,0.2610995,1.250269,0.03752505,0.345346,0.3125743,deuteron,pi-
24,M_Hermes,1.690155,0.03202842,0.2000243,1.250269,0.03752505,0.3481194,0.4149581,deuteron,pi-
25,M_Hermes,1.397402,0.02120535,0.1593483,1.250269,0.03752505,0.3482111,0.542136,deuteron,pi-
26,M_Hermes,0.7250162,0.01259306,0.08317345,1.250269,0.03752505,0.3552817,0.7274046,deuteron,pi-
27,M_Hermes,0.1901313,0.004944713,0.0215846,1.250269,0.03752505,0.3532729,0.9799376,deuteron,pi-
28,M_Hermes,0.3514376,0.01682129,0.01078718,1.250269,0.03752505,0.4229711,0.09769397,deuteron,pi-
29,M_Hermes,0.6365048,0.02074331,0.1482885,1.250269,0.03752505,0.4248118,0.2057207,deuteron,pi-
30,M_Hermes,0.8563856,0.0212999,0.1442266,1.250269,0.03752505,0.427211,0.3059491,deuteron,pi-
31,M_Hermes,0.8651826,0.01970612,0.1062194,1.250269,0.03752505,0.4323345,0.4106602,deuteron,pi-
32,M_Hermes,0.7579377,0.01451115,0.08709656,1.250269,0.03752505,0.4366899,0.5410769,deuteron,pi-
33,M_Hermes,0.4944455,0.009097682,0.05464257,1.250269,0.03752505,0.436964,0.7124313,deuteron,pi-
34,M_Hermes,0.1414455,0.003324349,0.01557598,1.250269,0.03752505,0.4390603,0.9649691,deuteron,pi-
35,M_Hermes,0.1232447,0.008873673,0.0319837,1.250269,0.03752505,0.5359247,0.1027273,deuteron,pi-
36,M_Hermes,0.3064462,0.01239838,0.0572967,1.250269,0.03752505,0.5355355,0.2064245,deuteron,pi-
37,M_Hermes,0.4145124,0.01317584,0.05335861,1.250269,0.03752505,0.5381569,0.3070614,deuteron,pi-
38,M_Hermes,0.5003372,0.01324282,0.04234999,1.250269,0.03752505,0.5390925,0.4061281,deuteron,pi-
39,M_Hermes,0.3903489,0.009078228,0.01870321,1.250269,0.03752505,0.5416997,0.5290748,deuteron,pi-
40,M_Hermes,0.2674588,0.006280114,0.01702528,1.250269,0.03752505,0.5446066,0.7038513,deuteron,pi-
41,M_Hermes,0.09798154,0.002434599,0.006130236,1.250269,0.03752505,0.5453021,0.9576247,deuteron,pi-
42,M_Hermes,0.0622687,0.003663037,0.002313752,1.250269,0.03752505,0.6985163,0.1005371,deuteron,pi-
43,M_Hermes,0.1360194,0.005985859,0.01081429,1.250269,0.03752505,0.6930747,0.2038712,deuteron,pi-
44,M_Hermes,0.1800817,0.006092719,0.02515846,1.250269,0.03752505,0.6970098,0.3017617,deuteron,pi-
45,M_Hermes,0.1820676,0.005711466,0.03047235,1.250269,0.03752505,0.6897106,0.3998223,deuteron,pi-
46,M_Hermes,0.1486403,0.003996683,0.03001376,1.250269,0.03752505,0.6895352,0.5214871,deuteron,pi-
47,M_Hermes,0.09905781,0.00294056,0.0180804,1.250269,0.03752505,0.6860287,0.688781,deuteron,pi-
48,M_Hermes,0.04133888,0.001301389,0.00752942,1.250269,0.03752505,0.6878937,0.9637146,deuteron,pi-
49,M_Hermes,0.01205099,0.000801433,0.000448335,1.250269,0.03752505,0.8952616,0.0895993,deuteron,pi-
50,M_Hermes,0.01836579,0.001223638,0.001449758,1.250269,0.03752505,0.8861309,0.2027233,deuteron,pi-
51,M_Hermes,0.02197301,0.00138943,0.003054188,1.250269,0.03752505,0.8728642,0.2959061,deuteron,pi-
52,M_Hermes,0.01940991,0.001693682,0.003262527,1.250269,0.03752505,0.8771957,0.3962515,deuteron,pi-
53,M_Hermes,0.0116085,0.001063907,0.002345193,1.250269,0.03752505,0.8642742,0.5156239,deuteron,pi-
54,M_Hermes,0.01264121,0.00108369,0.002304574,1.250269,0.03752505,0.8684509,0.6885287,deuteron,pi-
55,M_Hermes,0.004654635,0.000573067,0.000850684,1.250269,0.03752505,0.8595152,0.9640249,deuteron,pi-
56,M_Hermes,3.622606,0.04245205,0.5307686,1.517162,0.06102772,0.1437799,0.1047091,deuteron,pi-
57,M_Hermes,7.446036,0.06476754,0.565065,1.517162,0.06102772,0.146232,0.2107146,deuteron,pi-
58,M_Hermes,8.001632,0.06397011,0.4309329,1.517162,0.06102772,0.1480782,0.3118108,deuteron,pi-
59,M_Hermes,6.329238,0.06266484,0.7404927,1.517162,0.06102772,0.1505657,0.4176236,deuteron,pi-
60,M_Hermes,3.790387,0.05328109,0.4693531,1.517162,0.06102772,0.1522786,0.5501876,deuteron,pi-
61,M_Hermes,1.530243,0.05686156,0.1408588,1.517162,0.06102772,0.1588141,0.7535266,deuteron,pi-
62,M_Hermes,0.2906112,0.05491196,0.02666263,1.517162,0.06102772,0.1683654,1.000536,deuteron,pi-
63,M_Hermes,1.65525,0.02821462,0.4001477,1.517162,0.06102772,0.2248749,0.1009056,deuteron,pi-
64,M_Hermes,3.517414,0.05098177,0.544201,1.517162,0.06102772,0.2257747,0.2052801,deuteron,pi-
65,M_Hermes,3.922698,0.05484278,0.3617622,1.517162,0.06102772,0.2264727,0.3046094,deuteron,pi-
66,M_Hermes,3.628202,0.04926933,0.1809403,1.517162,0.06102772,0.228523,0.4070827,deuteron,pi-
67,M_Hermes,2.331667,0.03332788,0.1327128,1.517162,0.06102772,0.231398,0.5349709,deuteron,pi-
68,M_Hermes,0.937936,0.02361235,0.04301102,1.517162,0.06102772,0.2354505,0.7176625,deuteron,pi-
69,M_Hermes,0.1733317,0.01299324,0.008111654,1.517162,0.06102772,0.2442352,1.008097,deuteron,pi-
70,M_Hermes,1.122831,0.02341693,0.3228125,1.517162,0.06102772,0.2740701,0.101457,deuteron,pi-
71,M_Hermes,2.172378,0.03921053,0.4424117,1.517162,0.06102772,0.2756408,0.203961,deuteron,pi-
72,M_Hermes,2.507808,0.04490143,0.3513057,1.517162,0.06102772,0.2766584,0.30412,deuteron,pi-
73,M_Hermes,2.334497,0.04229407,0.2322913,1.517162,0.06102772,0.2770903,0.4020601,deuteron,pi-
74,M_Hermes,1.722601,0.02751776,0.1698372,1.517162,0.06102772,0.2788727,0.5280376,deuteron,pi-
75,M_Hermes,0.7997166,0.01759542,0.06866541,1.517162,0.06102772,0.2834146,0.7043677,deuteron,pi-
76,M_Hermes,0.1592517,0.007620949,0.01371494,1.517162,0.06102772,0.2866509,0.9684104,deuteron,pi-
77,M_Hermes,0.6215281,0.01297836,0.01454009,1.517162,0.06102772,0.3347103,0.1012641,deuteron,pi-
78,M_Hermes,1.298044,0.02350861,0.3091184,1.517162,0.06102772,0.3360796,0.204552,deuteron,pi-
79,M_Hermes,1.677923,0.02734418,0.2954877,1.517162,0.06102772,0.3361253,0.302741,deuteron,pi-
80,M_Hermes,1.625606,0.0286873,0.2142231,1.517162,0.06102772,0.3382028,0.4037264,deuteron,pi-
81,M_Hermes,1.203904,0.01878561,0.1595208,1.517162,0.06102772,0.3403774,0.527333,deuteron,pi-
82,M_Hermes,0.6316852,0.01137716,0.07379235,1.517162,0.06102772,0.3430873,0.6991284,deuteron,pi-
83,M_Hermes,0.1277916,0.004098498,0.01524815,1.517162,0.06102772,0.3463134,0.9580948,deuteron,pi-
84,M_Hermes,0.3166515,0.007754664,0.008247237,1.517162,0.06102772,0.4191309,0.1023959,deuteron,pi-
85,M_Hermes,0.6940484,0.01424024,0.1719538,1.517162,0.06102772,0.4221143,0.2038299,deuteron,pi-
86,M_Hermes,0.8573023,0.01663989,0.1582264,1.517162,0.06102772,0.4223718,0.3029971,deuteron,pi-
87,M_Hermes,0.9017543,0.01779129,0.1268483,1.517162,0.06102772,0.4230443,0.403085,deuteron,pi-
