Ebeam;x;y;z;Q2;pT;obs;value;stat;syst1;syst2;target;hadron
160;0.032;0.39;0.38;3.27;0.154;AUT;-0.0292114;0.0331074;0;0;deuteron;k-
160;0.032;0.4;0.37;3.27;0.2516;AUT;-0.00626201;0.0276445;0;0;deuteron;k-
160;0.031;0.4;0.37;3.29;0.3501;AUT;-0.0342555;0.0271621;0;0;deuteron;k-
160;0.032;0.4;0.37;3.34;0.4491;AUT;0.0131533;0.02746;0;0;deuteron;k-
160;0.032;0.4;0.38;3.35;0.5485;AUT;0.0286524;0.02938;0;0;deuteron;k-
160;0.031;0.41;0.38;3.3;0.6699;AUT;-0.0301666;0.0269026;0;0;deuteron;k-
160;0.031;0.41;0.39;3.3;0.8183;AUT;-0.0253618;0.0333085;0;0;deuteron;k-
160;0.03;0.42;0.4;3.34;1.052;AUT;-0.0827211;0.0322142;0;0;deuteron;k-
160;0.028;0.47;0.41;3.5;1.57;AUT;-0.134532;0.0577192;0;0;deuteron;k-
160;0.006431;0.66;0.3;1.25;0.57;AUT;-0.0274028;0.031856;0;0;deuteron;k-
160;0.01051;0.48;0.34;1.51;0.56;AUT;-0.0182079;0.0225739;0;0;deuteron;k-
160;0.01621;0.39;0.37;1.87;0.54;AUT;-0.0139588;0.0221894;0;0;deuteron;k-
160;0.0252;0.34;0.41;2.53;0.54;AUT;-0.00812012;0.0231455;0;0;deuteron;k-
160;0.03966;0.33;0.42;3.87;0.53;AUT;-0.102674;0.0282364;0;0;deuteron;k-
160;0.06254;0.33;0.41;6.13;0.53;AUT;0.00792277;0.0356943;0;0;deuteron;k-
160;0.09993;0.32;0.41;9.68;0.53;AUT;0.0183889;0.0463819;0;0;deuteron;k-
160;0.1599;0.33;0.4;15.8;0.54;AUT;-0.000441373;0.0719263;0;0;deuteron;k-
160;0.2852;0.36;0.37;31.4;0.54;AUT;0.0472745;0.128104;0;0;deuteron;k-
160;0.026;0.51;0.2248;3.65;0.51;AUT;-0.00765242;0.0230122;0;0;deuteron;k-
160;0.028;0.46;0.2743;3.51;0.53;AUT;-0.0228838;0.0241556;0;0;deuteron;k-
160;0.03;0.43;0.3242;3.49;0.54;AUT;-0.0233896;0.0256329;0;0;deuteron;k-
160;0.032;0.4;0.3742;3.35;0.56;AUT;-0.0200495;0.0296933;0;0;deuteron;k-
160;0.034;0.35;0.4454;3.13;0.56;AUT;-0.0325986;0.0250558;0;0;deuteron;k-
160;0.037;0.29;0.5641;2.85;0.57;AUT;-0.00372454;0.0290637;0;0;deuteron;k-
160;0.04;0.25;0.7111;2.68;0.6;AUT;-0.134972;0.048686;0;0;deuteron;k-
160;0.039;0.23;0.8679;2.45;0.55;AUT;0.0993351;0.0868479;0;0;deuteron;k-
