i;obs;value;stat;syst1;Q2;x;z;pT;target;hadron
55;M_Hermes;0.008471815;0.000859186;0.00084686;1.250269;0.03752505;0.8590686;0.9588761;deuteron;pi+
56;M_Hermes;3.856427;0.04322701;0.6404616;1.517162;0.06102772;0.1443742;0.104801;deuteron;pi+
57;M_Hermes;7.921337;0.06597386;0.8702843;1.517162;0.06102772;0.1467474;0.2108918;deuteron;pi+
58;M_Hermes;8.465892;0.06568872;0.6636322;1.517162;0.06102772;0.1488969;0.3129125;deuteron;pi+
59;M_Hermes;6.494294;0.06272875;0.4664906;1.517162;0.06102772;0.1517834;0.4190171;deuteron;pi+
60;M_Hermes;3.654731;0.05162258;0.3720247;1.517162;0.06102772;0.1546776;0.5550229;deuteron;pi+
61;M_Hermes;1.348925;0.05072907;0.2445954;1.517162;0.06102772;0.1584326;0.7420438;deuteron;pi+
62;M_Hermes;0.204376;0.04473387;0.03710858;1.517425;0.06102866;0.1667968;0.9803013;deuteron;pi+
63;M_Hermes;1.790476;0.03017169;0.1519995;1.517162;0.06102772;0.2247847;0.1011647;deuteron;pi+
64;M_Hermes;3.816956;0.05355981;0.1499373;1.517162;0.06102772;0.225657;0.2053781;deuteron;pi+
65;M_Hermes;4.502077;0.05968682;0.1648335;1.517162;0.06102772;0.2275699;0.3057087;deuteron;pi+
66;M_Hermes;3.916133;0.05300161;0.1632115;1.517162;0.06102772;0.2285505;0.4073006;deuteron;pi+
67;M_Hermes;2.525937;0.03488023;0.05686017;1.517162;0.06102772;0.231555;0.5321468;deuteron;pi+
68;M_Hermes;0.9496876;0.02365451;0.1125191;1.517162;0.06102772;0.2396768;0.7252111;deuteron;pi+
69;M_Hermes;0.1610185;0.01261873;0.01924098;1.517162;0.06102772;0.2456023;0.9923212;deuteron;pi+
70;M_Hermes;1.211167;0.02380634;0.0507723;1.517162;0.06102772;0.2744569;0.1015526;deuteron;pi+
71;M_Hermes;2.569258;0.04334094;0.1274994;1.517162;0.06102772;0.275274;0.2043681;deuteron;pi+
72;M_Hermes;3.040972;0.05064471;0.240359;1.517162;0.06102772;0.2766259;0.3037406;deuteron;pi+
73;M_Hermes;2.793142;0.04762157;0.2173898;1.517162;0.06102772;0.2781486;0.4054623;deuteron;pi+
74;M_Hermes;1.980457;0.03009169;0.1029512;1.517162;0.06102772;0.2798794;0.5289009;deuteron;pi+
75;M_Hermes;0.8479164;0.01875362;0.05455073;1.517162;0.06102772;0.2832093;0.7020498;deuteron;pi+
76;M_Hermes;0.1579223;0.007608743;0.01053065;1.517162;0.06102772;0.2887856;0.9745581;deuteron;pi+
77;M_Hermes;0.7489332;0.01472713;0.02798647;1.517162;0.06102772;0.3342258;0.1005265;deuteron;pi+
78;M_Hermes;1.572877;0.02583268;0.1335373;1.517162;0.06102772;0.3351675;0.2055726;deuteron;pi+
79;M_Hermes;2.011694;0.03083189;0.2219348;1.517162;0.06102772;0.3372428;0.3031565;deuteron;pi+
80;M_Hermes;1.937504;0.03123994;0.2195089;1.517162;0.06102772;0.3377736;0.4031675;deuteron;pi+
81;M_Hermes;1.459708;0.0208721;0.1285426;1.517162;0.06102772;0.3412579;0.5275154;deuteron;pi+
82;M_Hermes;0.6703344;0.01189583;0.02318246;1.517162;0.06102772;0.3431324;0.7009587;deuteron;pi+
83;M_Hermes;0.1405039;0.004337607;0.004349147;1.517162;0.06102772;0.3487512;0.9538338;deuteron;pi+
84;M_Hermes;0.36855;0.008446439;0.02835986;1.517162;0.06102772;0.4206161;0.1015127;deuteron;pi+
85;M_Hermes;0.797456;0.01538606;0.09962889;1.517162;0.06102772;0.4211613;0.2030567;deuteron;pi+
86;M_Hermes;1.061574;0.0183444;0.1586276;1.517162;0.06102772;0.4213588;0.3033921;deuteron;pi+
87;M_Hermes;1.1139;0.01968067;0.1708314;1.517162;0.06102772;0.4231372;0.4027568;deuteron;pi+
88;M_Hermes;0.9386088;0.01497185;0.1206584;1.517162;0.06102772;0.4246836;0.5248502;deuteron;pi+
89;M_Hermes;0.5470921;0.009365982;0.02164348;1.517162;0.06102772;0.4290816;0.6975879;deuteron;pi+
90;M_Hermes;0.122012;0.003011837;0.005252184;1.517162;0.06102772;0.4302497;0.9421213;deuteron;pi+
91;M_Hermes;0.1767497;0.005126361;0.01864079;1.517162;0.06102772;0.5300833;0.1008112;deuteron;pi+
92;M_Hermes;0.4205672;0.009736028;0.06458331;1.517162;0.06102772;0.5308146;0.2041742;deuteron;pi+
93;M_Hermes;0.5333323;0.01119782;0.08246083;1.517162;0.06102772;0.5343382;0.3025528;deuteron;pi+
94;M_Hermes;0.5712283;0.01206717;0.08927379;1.517162;0.06102772;0.5343987;0.4030503;deuteron;pi+
95;M_Hermes;0.5519982;0.01003782;0.08608202;1.517162;0.06102772;0.5355713;0.523682;deuteron;pi+
96;M_Hermes;0.3385834;0.006861722;0.02385958;1.517162;0.06102772;0.5352676;0.6926013;deuteron;pi+
97;M_Hermes;0.09482215;0.002325979;0.006497836;1.517162;0.06102772;0.5412429;0.9377525;deuteron;pi+
98;M_Hermes;0.07713487;0.002532354;0.007397657;1.517162;0.06102772;0.6933543;0.1011273;deuteron;pi+
99;M_Hermes;0.17234;0.004495534;0.02506099;1.517162;0.06102772;0.6928061;0.2039072;deuteron;pi+
100;M_Hermes;0.2150313;0.005144109;0.03664508;1.517162;0.06102772;0.6913152;0.3021632;deuteron;pi+
101;M_Hermes;0.2749209;0.006018927;0.04765261;1.517162;0.06102772;0.6912073;0.3995505;deuteron;pi+
102;M_Hermes;0.2359009;0.004540857;0.03596384;1.517162;0.06102772;0.687978;0.5218417;deuteron;pi+
103;M_Hermes;0.1714578;0.003745657;0.01150712;1.517162;0.06102772;0.6856649;0.6911347;deuteron;pi+
104;M_Hermes;0.06545432;0.001544108;0.004533184;1.517162;0.06102772;0.6932041;0.9344465;deuteron;pi+
105;M_Hermes;0.03025591;0.000945594;0.002959129;1.517162;0.06102772;0.8946901;0.09820238;deuteron;pi+
106;M_Hermes;0.05459606;0.001599835;0.007907633;1.517162;0.06102772;0.8858265;0.2010015;deuteron;pi+
107;M_Hermes;0.06294597;0.001911628;0.01069355;1.517162;0.06102772;0.8789186;0.2989607;deuteron;pi+
108;M_Hermes;0.04893523;0.001939989;0.008506461;1.517162;0.06102772;0.8793141;0.3984109;deuteron;pi+
109;M_Hermes;0.04203111;0.00138836;0.006401843;1.517162;0.06102772;0.8691197;0.5193108;deuteron;pi+
110;M_Hermes;0.03255646;0.001227264;0.002242107;1.517162;0.06102772;0.8652191;0.6928489;deuteron;pi+
111;M_Hermes;0.01179692;0.000542667;0.000792926;1.517162;0.06102772;0.8556075;0.9371419;deuteron;pi+
112;M_Hermes;3.635825;0.04351733;0.7663461;1.834674;0.09568023;0.1420841;0.1019956;deuteron;pi+
113;M_Hermes;7.353699;0.07489807;1.14207;1.834674;0.09568023;0.1434929;0.2054295;deuteron;pi+
