i;obs;value;stat;syst1;Q2;x;z;pT;target;hadron
0;M_Hermes;4.398481;0.0575923;0.3502936;1.249727;0.03758844;0.1522018;0.1105712;proton;pi+
1;M_Hermes;8.759948;0.07195339;0.3143965;1.249727;0.03758844;0.154622;0.2217933;proton;pi+
2;M_Hermes;9.660459;0.07069932;0.5892676;1.249727;0.03758844;0.1560952;0.327693;proton;pi+
3;M_Hermes;7.843414;0.07098244;0.5820321;1.249727;0.03758844;0.159801;0.4409912;proton;pi+
4;M_Hermes;4.778433;0.05917073;0.3199156;1.249727;0.03758844;0.1624893;0.5817642;proton;pi+
5;M_Hermes;1.816914;0.05938146;0.09732278;1.249727;0.03758844;0.1678483;0.792604;proton;pi+
6;M_Hermes;0.233611;0.05825108;0.01268427;1.249727;0.03758844;0.1928145;1.188888;proton;pi+
7;M_Hermes;2.244343;0.05731148;0.04568058;1.249727;0.03758844;0.2295056;0.1030673;proton;pi+
8;M_Hermes;4.108003;0.07584694;0.2288256;1.249727;0.03758844;0.2340181;0.2126745;proton;pi+
9;M_Hermes;5.008332;0.07431604;0.1559328;1.249727;0.03758844;0.2356541;0.3168787;proton;pi+
10;M_Hermes;4.733753;0.06526297;0.07204921;1.249727;0.03758844;0.2376523;0.4233895;proton;pi+
11;M_Hermes;3.224837;0.04425583;0.0625259;1.249727;0.03758844;0.241739;0.559272;proton;pi+
12;M_Hermes;1.324373;0.02904978;0.05430494;1.249727;0.03758844;0.2479694;0.7537638;proton;pi+
13;M_Hermes;0.2659796;0.01738906;0.01206328;1.249727;0.03758844;0.2632606;1.082;proton;pi+
14;M_Hermes;1.235922;0.04732051;0.04861841;1.249727;0.03758844;0.277677;0.1029642;proton;pi+
15;M_Hermes;2.711537;0.06425884;0.1027097;1.249727;0.03758844;0.2836573;0.2109934;proton;pi+
16;M_Hermes;3.219059;0.06512536;0.1263213;1.249727;0.03758844;0.284629;0.3130165;proton;pi+
17;M_Hermes;3.281044;0.05862157;0.1200799;1.249727;0.03758844;0.2877546;0.4189956;proton;pi+
18;M_Hermes;2.465992;0.03846587;0.06599792;1.249727;0.03758844;0.2907836;0.550485;proton;pi+
19;M_Hermes;1.09478;0.0232244;0.04578264;1.249727;0.03758844;0.2974947;0.7397019;proton;pi+
20;M_Hermes;0.2272818;0.009951389;0.01047607;1.249727;0.03758844;0.3072802;1.037783;proton;pi+
21;M_Hermes;0.7750976;0.03141158;0.05641663;1.249727;0.03758844;0.3362224;0.1042253;proton;pi+
22;M_Hermes;1.650349;0.040979;0.09840671;1.249727;0.03758844;0.3423433;0.2076161;proton;pi+
