Ebeam,x,y,z,Q2,pT,obs,value,stat,syst1,syst2,target,hadron
160,0.0463,0.32,0.36,3.35,0.15,AUT,0.007,0.0063,0,0,proton,h-
160,0.0466,0.31,0.35,3.35,0.25,AUT,0.0029,0.0053,0,0,proton,h-
160,0.0462,0.32,0.35,3.36,0.35,AUT,-0.0116,0.005,0,0,proton,h-
160,0.0468,0.32,0.35,3.47,0.45,AUT,0.0011,0.0053,0,0,proton,h-
160,0.047,0.33,0.35,3.57,0.55,AUT,-0.0076,0.0059,0,0,proton,h-
160,0.0466,0.34,0.36,3.66,0.67,AUT,0.0054,0.0058,0,0,proton,h-
160,0.0459,0.35,0.38,3.78,0.82,AUT,0.0006,0.0076,0,0,proton,h-
160,0.0445,0.37,0.4,3.96,1.05,AUT,0.0028,0.0078,0,0,proton,h-
160,0.0422,0.44,0.42,4.48,1.58,AUT,-0.0005,0.0153,0,0,proton,h-
160,0.0063,0.68,0.37,1.27,0.52,AUT,-0.0037,0.0081,0,0,proton,h-
160,0.0105,0.5,0.36,1.56,0.52,AUT,0.0043,0.0061,0,0,proton,h-
160,0.0164,0.38,0.36,1.85,0.51,AUT,-0.0086,0.0054,0,0,proton,h-
160,0.0257,0.29,0.36,2.19,0.5,AUT,-0.0066,0.0047,0,0,proton,h-
160,0.0398,0.24,0.36,2.85,0.49,AUT,0.0035,0.005,0,0,proton,h-
160,0.0627,0.23,0.36,4.36,0.49,AUT,-0.0003,0.0058,0,0,proton,h-
160,0.1008,0.22,0.35,6.76,0.49,AUT,-0.0024,0.0071,0,0,proton,h-
160,0.1622,0.22,0.35,10.53,0.49,AUT,0.0079,0.0091,0,0,proton,h-
160,0.2875,0.23,0.35,20.38,0.52,AUT,0.0366,0.0119,0,0,proton,h-
160,0.0469,0.34,0.22,3.69,0.46,AUT,0.0063,0.0039,0,0,proton,h-
160,0.0473,0.33,0.27,3.66,0.48,AUT,0.0041,0.0047,0,0,proton,h-
160,0.0473,0.33,0.32,3.61,0.51,AUT,-0.0102,0.0056,0,0,proton,h-
160,0.0471,0.33,0.37,3.56,0.52,AUT,0.0078,0.0066,0,0,proton,h-
160,0.0464,0.33,0.45,3.46,0.55,AUT,-0.0083,0.0059,0,0,proton,h-
160,0.0446,0.33,0.57,3.29,0.57,AUT,-0.0153,0.0068,0,0,proton,h-
160,0.0417,0.32,0.72,3,0.56,AUT,0.0052,0.0098,0,0,proton,h-
160,0.0381,0.31,0.88,2.62,0.45,AUT,-0.0097,0.0128,0,0,proton,h-
