i,obs,value,stat,syst1,Q2,x,z,pT,target,hadron
0,M_Hermes,0.3051428,0.02131771,0.02944266,1.249727,0.03758844,0.1492554,0.1067939,proton,k-
1,M_Hermes,0.6212497,0.02676667,0.03197122,1.249727,0.03758844,0.1511672,0.213508,proton,k-
2,M_Hermes,0.7556105,0.02597213,0.03875802,1.249727,0.03758844,0.1518241,0.3168185,proton,k-
3,M_Hermes,0.6751837,0.02674908,0.02986723,1.249727,0.03758844,0.151976,0.4237499,proton,k-
4,M_Hermes,0.4855115,0.02397416,0.02012344,1.249727,0.03758844,0.1526828,0.5546972,proton,k-
5,M_Hermes,0.1755755,0.0231866,0.005411024,1.249727,0.03758844,0.155791,0.7346679,proton,k-
6,M_Hermes,0.006235925,0.0187349,0.000189979,1.250026,0.03758863,0.1478494,0.8994808,proton,k-
7,M_Hermes,0.1464346,0.01829461,0.005096087,1.249727,0.03758844,0.2296836,0.1042003,proton,k-
8,M_Hermes,0.4157178,0.0279749,0.01530398,1.249727,0.03758844,0.2252717,0.2044803,proton,k-
9,M_Hermes,0.4338104,0.02633766,0.01213569,1.249727,0.03758844,0.2328072,0.3144368,proton,k-
10,M_Hermes,0.4113761,0.02401234,0.008973832,1.249727,0.03758844,0.2333894,0.4157519,proton,k-
11,M_Hermes,0.2917126,0.0152712,0.00850275,1.249727,0.03758844,0.2332827,0.5441331,proton,k-
12,M_Hermes,0.1504128,0.01102287,0.009611508,1.249727,0.03758844,0.236652,0.7277577,proton,k-
13,M_Hermes,0.04087751,0.00847862,0.002569487,1.250026,0.03758863,0.2470212,1.02915,proton,k-
14,M_Hermes,0.1317094,0.01830143,0.04108744,1.249727,0.03758844,0.2783266,0.1053194,proton,k-
15,M_Hermes,0.2525471,0.02096531,0.07898581,1.249727,0.03758844,0.2760336,0.2048223,proton,k-
16,M_Hermes,0.2735238,0.02201517,0.08555072,1.249727,0.03758844,0.2804486,0.3086946,proton,k-
17,M_Hermes,0.2798781,0.01903042,0.08765905,1.249727,0.03758844,0.2769213,0.4040598,proton,k-
18,M_Hermes,0.2165856,0.01352227,0.06794763,1.249727,0.03758844,0.2861604,0.5450003,proton,k-
19,M_Hermes,0.1141884,0.00882281,0.03576004,1.249727,0.03758844,0.2950741,0.7434569,proton,k-
20,M_Hermes,0.03159921,0.003941496,0.00986925,1.249727,0.03758844,0.30285,1.03269,proton,k-
21,M_Hermes,0.09868402,0.01160869,0.03074465,1.249727,0.03758844,0.3341398,0.1031244,proton,k-
22,M_Hermes,0.1855191,0.01516143,0.05808128,1.249727,0.03758844,0.3330176,0.2065466,proton,k-
23,M_Hermes,0.2073325,0.01522277,0.06558066,1.249727,0.03758844,0.33616,0.3011856,proton,k-
24,M_Hermes,0.2285973,0.0155207,0.07229719,1.249727,0.03758844,0.337424,0.4025565,proton,k-
25,M_Hermes,0.1761634,0.009527032,0.05566789,1.249727,0.03758844,0.3482385,0.5371654,proton,k-
26,M_Hermes,0.1067075,0.00590146,0.03374104,1.249727,0.03758844,0.3518247,0.7159694,proton,k-
27,M_Hermes,0.03095355,0.002333155,0.009794288,1.249727,0.03758844,0.3400903,0.9523436,proton,k-
28,M_Hermes,0.02631454,0.004964748,0.008208744,1.249727,0.03758844,0.4197386,0.09975717,proton,k-
29,M_Hermes,0.1032875,0.00943081,0.03233673,1.249727,0.03758844,0.4231497,0.2061193,proton,k-
30,M_Hermes,0.1022641,0.009738658,0.03225842,1.249727,0.03758844,0.4246884,0.3068754,proton,k-
31,M_Hermes,0.1264192,0.01056605,0.03990261,1.249727,0.03758844,0.4282686,0.4066426,proton,k-
32,M_Hermes,0.1000381,0.006856543,0.03159712,1.249727,0.03758844,0.4248708,0.5284098,proton,k-
33,M_Hermes,0.07127161,0.004394883,0.02254255,1.249727,0.03758844,0.4255666,0.6994628,proton,k-
34,M_Hermes,0.02211698,0.001633531,0.006996545,1.249727,0.03758844,0.4393389,0.9771653,proton,k-
35,M_Hermes,0.01971859,0.003796543,0.006152195,1.249727,0.03758844,0.5439937,0.1020402,proton,k-
36,M_Hermes,0.04026968,0.006009596,0.01261574,1.249727,0.03758844,0.5300007,0.2038667,proton,k-
37,M_Hermes,0.0572402,0.005741312,0.01808255,1.249727,0.03758844,0.5381195,0.3049958,proton,k-
38,M_Hermes,0.0712549,0.006405019,0.02222765,1.249727,0.03758844,0.5366275,0.4052781,proton,k-
39,M_Hermes,0.05865516,0.00518994,0.01830415,1.249727,0.03758844,0.5511153,0.5459777,proton,k-
40,M_Hermes,0.04446404,0.003134609,0.01388094,1.249727,0.03758844,0.5371943,0.6996341,proton,k-
41,M_Hermes,0.01521457,0.001199999,0.004748304,1.249727,0.03758844,0.5328842,0.9503407,proton,k-
42,M_Hermes,0.00909298,0.002318662,0.002838869,1.249727,0.03758844,0.6633625,0.09395251,proton,k-
43,M_Hermes,0.01408936,0.002878551,0.004411825,1.249727,0.03758844,0.6630113,0.2084813,proton,k-
44,M_Hermes,0.02762247,0.003607855,0.008732905,1.249727,0.03758844,0.6715729,0.3039108,proton,k-
45,M_Hermes,0.02577624,0.003843759,0.008150444,1.249727,0.03758844,0.6689701,0.3984908,proton,k-
46,M_Hermes,0.03055738,0.002899744,0.009660121,1.249727,0.03758844,0.6739905,0.5247764,proton,k-
47,M_Hermes,0.01593697,0.00176721,0.005037498,1.249727,0.03758844,0.7008511,0.7128583,proton,k-
48,M_Hermes,0.007606474,0.000754712,0.002403903,1.249727,0.03758844,0.6828211,0.946415,proton,k-
49,M_Hermes,0.001412534,0.00074107,0.000446409,1.249758,0.03759089,0.915515,0.097701,proton,k-
50,M_Hermes,0.004342076,0.002542182,0.001448433,1.249727,0.03758844,0.8935554,0.2069148,proton,k-
51,M_Hermes,0.003071787,0.002023655,0.001089362,1.249727,0.03758844,0.8564846,0.2742739,proton,k-
52,M_Hermes,0.002672226,0.001454638,0.000855947,1.249727,0.03758844,0.8301383,0.4115356,proton,k-
53,M_Hermes,0.001170243,0.00079671,0.000484181,1.250026,0.03758863,0.8779089,0.5346736,proton,k-
54,M_Hermes,0.001521717,0.000621504,0.000481272,1.249727,0.03758844,0.8223271,0.7061202,proton,k-
55,M_Hermes,0.000149163,0.000144783,4.78895E-05,1.249727,0.03758844,0.8467871,0.9375979,proton,k-
56,M_Hermes,0.2512684,0.01619252,0.07898001,1.509975,0.06109764,0.1492598,0.102048,proton,k-
57,M_Hermes,0.6049825,0.0259408,0.1899439,1.509975,0.06109764,0.1476224,0.2106246,proton,k-
58,M_Hermes,0.615601,0.02559293,0.1934014,1.509975,0.06109764,0.1467307,0.3114991,proton,k-
59,M_Hermes,0.561417,0.02699149,0.1764117,1.509975,0.06109764,0.1476201,0.4145304,proton,k-
60,M_Hermes,0.3705084,0.02483881,0.1162309,1.509975,0.06109764,0.148119,0.5388836,proton,k-
61,M_Hermes,0.1615406,0.0250885,0.05030893,1.509975,0.06109764,0.1621731,0.7628159,proton,k-
62,M_Hermes,0.04044413,0.02239141,0.01260172,1.509975,0.06109764,0.1479451,0.8703318,proton,k-
63,M_Hermes,0.1689347,0.01246873,0.05287689,1.509975,0.06109764,0.2238843,0.1006681,proton,k-
64,M_Hermes,0.3574788,0.0214472,0.1116515,1.509975,0.06109764,0.2264974,0.2053739,proton,k-
65,M_Hermes,0.3791331,0.02265521,0.1181922,1.509975,0.06109764,0.2254588,0.3010689,proton,k-
66,M_Hermes,0.3107014,0.01847416,0.09695258,1.509975,0.06109764,0.2261709,0.4043359,proton,k-
67,M_Hermes,0.2353407,0.01366009,0.07346815,1.509975,0.06109764,0.2291982,0.5299862,proton,k-
68,M_Hermes,0.1267176,0.01093609,0.03944513,1.509975,0.06109764,0.2338568,0.7072354,proton,k-
69,M_Hermes,0.03358526,0.008095977,0.01044587,1.509975,0.06109764,0.2434709,1.001668,proton,k-
70,M_Hermes,0.1514336,0.0102887,0.04719148,1.509975,0.06109764,0.2742173,0.1007008,proton,k-
71,M_Hermes,0.2444228,0.01703501,0.07633072,1.509975,0.06109764,0.2774191,0.2063821,proton,k-
72,M_Hermes,0.3018973,0.01879318,0.0941417,1.509975,0.06109764,0.274366,0.2993615,proton,k-
73,M_Hermes,0.2056952,0.01517757,0.06404672,1.509975,0.06109764,0.2744387,0.3994266,proton,k-
74,M_Hermes,0.1823928,0.01055753,0.05674601,1.509975,0.06109764,0.2749392,0.5221433,proton,k-
75,M_Hermes,0.1156561,0.007863652,0.0359964,1.509975,0.06109764,0.2805943,0.7038528,proton,k-
76,M_Hermes,0.02241419,0.003543155,0.006974138,1.509975,0.06109764,0.2775784,0.9291415,proton,k-
77,M_Hermes,0.07643803,0.005238801,0.02379061,1.509975,0.06109764,0.337545,0.1003185,proton,k-
78,M_Hermes,0.1506163,0.009260586,0.04699591,1.509975,0.06109764,0.3357696,0.2000436,proton,k-
79,M_Hermes,0.2022803,0.01122041,0.06297645,1.509975,0.06109764,0.3347278,0.3010026,proton,k-
80,M_Hermes,0.1940501,0.01163279,0.06039557,1.509975,0.06109764,0.3348516,0.3984915,proton,k-
81,M_Hermes,0.1412281,0.007458081,0.04396564,1.509975,0.06109764,0.3359282,0.521581,proton,k-
82,M_Hermes,0.08029161,0.004872229,0.02500301,1.509975,0.06109764,0.3396904,0.6927139,proton,k-
83,M_Hermes,0.01918746,0.001848037,0.005969184,1.509975,0.06109764,0.3415696,0.9446373,proton,k-
84,M_Hermes,0.03470099,0.002496069,0.01080438,1.509975,0.06109764,0.4193486,0.1016518,proton,k-
85,M_Hermes,0.08757381,0.005568023,0.02728137,1.509975,0.06109764,0.4187778,0.2009678,proton,k-
86,M_Hermes,0.09550757,0.006464879,0.02972586,1.509975,0.06109764,0.4211061,0.3004836,proton,k-
87,M_Hermes,0.1204665,0.007574584,0.0374592,1.509975,0.06109764,0.4242029,0.4034424,proton,k-
88,M_Hermes,0.1055784,0.00607332,0.03290265,1.509975,0.06109764,0.4226999,0.5228931,proton,k-
89,M_Hermes,0.05424827,0.003425852,0.01692322,1.509975,0.06109764,0.4242229,0.6863593,proton,k-
90,M_Hermes,0.01258222,0.001097363,0.00392511,1.509975,0.06109764,0.4236738,0.9342186,proton,k-
91,M_Hermes,0.01645488,0.001636032,0.005122477,1.509975,0.06109764,0.5265457,0.09995035,proton,k-
92,M_Hermes,0.04098911,0.003189482,0.01278169,1.509975,0.06109764,0.5287194,0.2016547,proton,k-
93,M_Hermes,0.05167713,0.003787463,0.01609464,1.509975,0.06109764,0.5316111,0.2985823,proton,k-
94,M_Hermes,0.05885885,0.004669737,0.01833661,1.509975,0.06109764,0.5353619,0.3999102,proton,k-
95,M_Hermes,0.04931395,0.003482251,0.01536556,1.509975,0.06109764,0.5333962,0.5266847,proton,k-
96,M_Hermes,0.03463922,0.002580961,0.01078822,1.509975,0.06109764,0.5349133,0.694113,proton,k-
97,M_Hermes,0.01084148,0.000846216,0.003377773,1.509975,0.06109764,0.5319129,0.936286,proton,k-
98,M_Hermes,0.003536141,0.000669987,0.001101106,1.509975,0.06109764,0.6777912,0.1078804,proton,k-
99,M_Hermes,0.01173157,0.001589714,0.003656545,1.509975,0.06109764,0.6762935,0.2089239,proton,k-
100,M_Hermes,0.0168766,0.001781561,0.005261714,1.509975,0.06109764,0.6738632,0.302847,proton,k-
101,M_Hermes,0.02312588,0.002342542,0.007213733,1.509975,0.06109764,0.6816761,0.4077247,proton,k-
