40,27.6,0.409042,0.434377,0.408134,9.202431,0.509222,M_Hermes,0.2,0.037692,0.000000,0.021077,deuteron,k-,hermes
41,27.6,0.408812,0.434463,0.430178,9.199082,0.683693,M_Hermes,0.1,0.040235,0.000000,0.009725,deuteron,k-,hermes
42,27.6,0.409067,0.434515,0.548548,9.205912,0.109223,M_Hermes,0.0,0.009956,0.000000,0.001720,deuteron,k-,hermes
43,27.6,0.409067,0.434515,0.518303,9.205912,0.205417,M_Hermes,0.0,0.016702,0.000000,0.002235,deuteron,k-,hermes
44,27.6,0.409042,0.434377,0.536944,9.202431,0.317498,M_Hermes,0.0,0.022018,0.000000,0.006229,deuteron,k-,hermes
45,27.6,0.409067,0.434515,0.540166,9.205912,0.386335,M_Hermes,0.0,0.020805,0.000000,0.002943,deuteron,k-,hermes
46,27.6,0.409067,0.434515,0.529503,9.205912,0.500478,M_Hermes,0.0,0.017108,0.000000,0.003258,deuteron,k-,hermes
47,27.6,0.409042,0.434377,0.515156,9.202431,0.705948,M_Hermes,0.0,0.011650,0.000000,0.002538,deuteron,k-,hermes
48,27.6,0.409067,0.434515,0.544947,9.205912,0.913595,M_Hermes,0.0,0.006170,0.000000,0.000581,deuteron,k-,hermes
49,27.6,0.409393,0.434581,0.652751,9.214643,0.143214,M_Hermes,0.0,0.014112,0.000000,0.002157,deuteron,k-,hermes
50,27.6,0.409042,0.434377,0.670366,9.202431,0.192953,M_Hermes,0.0,0.011281,0.000000,0.002053,deuteron,k-,hermes
51,27.6,0.409393,0.434581,0.694245,9.214643,0.297150,M_Hermes,0.0,0.014842,0.000000,0.001310,deuteron,k-,hermes
52,27.6,0.408812,0.434463,0.671760,9.199082,0.396177,M_Hermes,0.0,0.016722,0.000000,0.002282,deuteron,k-,hermes
53,27.6,0.409067,0.434515,0.676352,9.205912,0.564472,M_Hermes,0.0,0.009405,0.000000,0.001855,deuteron,k-,hermes
54,27.6,0.408812,0.434463,0.651032,9.199082,0.708697,M_Hermes,0.0,0.011387,0.000000,0.002911,deuteron,k-,hermes
