Ebeam,x,y,z,Q2,pT,obs,value,stat,syst1,syst2,target,hadron
160,0.039,0.38,0.39,3.75,0.1543,AUT,0.0132473,0.0265984,0,0,deuteron,k+
160,0.039,0.38,0.39,3.75,0.2519,AUT,0.0133211,0.0225888,0,0,deuteron,k+
160,0.039,0.37,0.39,3.77,0.3503,AUT,-0.0104896,0.0214805,0,0,deuteron,k+
160,0.039,0.37,0.4,3.77,0.4491,AUT,0.0130303,0.0221278,0,0,deuteron,k+
160,0.039,0.37,0.41,3.76,0.5486,AUT,0.0420764,0.0235566,0,0,deuteron,k+
160,0.038,0.37,0.42,3.68,0.6703,AUT,-0.0161553,0.0218149,0,0,deuteron,k+
160,0.038,0.37,0.43,3.71,0.8192,AUT,0.0218091,0.0272697,0,0,deuteron,k+
160,0.037,0.39,0.44,3.75,1.051,AUT,0.00549275,0.0266358,0,0,deuteron,k+
160,0.036,0.44,0.44,4.12,1.57,AUT,0.0133753,0.0503725,0,0,deuteron,k+
160,0.006452,0.65,0.3,1.24,0.57,AUT,-0.0281467,0.0300396,0,0,deuteron,k+
160,0.01054,0.48,0.35,1.49,0.56,AUT,-0.00903218,0.0199115,0,0,deuteron,k+
160,0.01628,0.38,0.39,1.82,0.56,AUT,0.0171304,0.0184351,0,0,deuteron,k+
160,0.02533,0.32,0.44,2.39,0.55,AUT,0.0383079,0.0186406,0,0,deuteron,k+
160,0.0398,0.3,0.46,3.61,0.54,AUT,0.00729183,0.0221126,0,0,deuteron,k+
160,0.06279,0.3,0.45,5.74,0.54,AUT,0.0126253,0.0258059,0,0,deuteron,k+
160,0.1008,0.3,0.45,9.1,0.53,AUT,-0.0221756,0.032549,0,0,deuteron,k+
160,0.1608,0.3,0.45,14.5,0.54,AUT,-0.0014442,0.0464813,0,0,deuteron,k+
160,0.2847,0.33,0.44,28.7,0.56,AUT,0.0158433,0.0761992,0,0,deuteron,k+
160,0.028,0.5,0.2249,3.97,0.52,AUT,0.012419,0.0202671,0,0,deuteron,k+
160,0.032,0.46,0.2747,4,0.52,AUT,-0.0197597,0.0209517,0,0,deuteron,k+
160,0.035,0.42,0.3245,3.92,0.54,AUT,0.00405206,0.0220047,0,0,deuteron,k+
160,0.038,0.38,0.3742,3.87,0.55,AUT,0.0618152,0.0240816,0,0,deuteron,k+
160,0.042,0.33,0.4463,3.74,0.56,AUT,-0.00104812,0.0196406,0,0,deuteron,k+
160,0.046,0.27,0.5659,3.44,0.58,AUT,0.00781193,0.0215926,0,0,deuteron,k+
160,0.051,0.23,0.7142,3.25,0.62,AUT,0.00215258,0.031987,0,0,deuteron,k+
160,0.052,0.2,0.8732,2.93,0.61,AUT,0.0393748,0.0500492,0,0,deuteron,k+
