i,obs,value,stat,syst1,Q2,x,z,pT,target,hadron
0,M_Hermes,0.4605952,0.02500453,0.202601,1.249727,0.03758844,0.1517822,0.1045042,proton,k+
1,M_Hermes,0.9250174,0.03153814,0.2155386,1.249727,0.03758844,0.1510978,0.2130929,proton,k+
2,M_Hermes,1.001128,0.0306892,0.06813981,1.249727,0.03758844,0.1555415,0.3257736,proton,k+
3,M_Hermes,0.8644396,0.03135082,0.1802745,1.249727,0.03758844,0.1548745,0.4361345,proton,k+
4,M_Hermes,0.6087434,0.02743413,0.2204129,1.249727,0.03758844,0.1593262,0.577714,proton,k+
5,M_Hermes,0.3059628,0.02854099,0.1169617,1.249727,0.03758844,0.1570191,0.7425539,proton,k+
6,M_Hermes,0.0542939,0.03362217,0.02075511,1.249727,0.03758844,0.1747199,1.012328,proton,k+
7,M_Hermes,0.3318709,0.02770919,0.06871946,1.249727,0.03758844,0.2283779,0.09910979,proton,k+
8,M_Hermes,0.6468696,0.03627413,0.06620569,1.249727,0.03758844,0.2301947,0.2100173,proton,k+
9,M_Hermes,0.664397,0.0328015,0.2074024,1.249727,0.03758844,0.2309547,0.3074415,proton,k+
10,M_Hermes,0.5507664,0.02635609,0.2711555,1.249727,0.03758844,0.2326686,0.4123093,proton,k+
11,M_Hermes,0.4181532,0.01942655,0.2058351,1.249727,0.03758844,0.2393137,0.553116,proton,k+
12,M_Hermes,0.1975887,0.01279214,0.09718587,1.249727,0.03758844,0.2383969,0.7319698,proton,k+
13,M_Hermes,0.06112868,0.008732074,0.0300803,1.249727,0.03758844,0.2566289,1.05627,proton,k+
14,M_Hermes,0.2005947,0.02195767,0.01722802,1.249727,0.03758844,0.2736701,0.0983582,proton,k+
15,M_Hermes,0.4833919,0.0315171,0.105392,1.249727,0.03758844,0.2798066,0.2039941,proton,k+
16,M_Hermes,0.5719636,0.030905,0.2559078,1.249727,0.03758844,0.282553,0.3071736,proton,k+
17,M_Hermes,0.4854378,0.02666248,0.2174382,1.249727,0.03758844,0.2834857,0.4129904,proton,k+
18,M_Hermes,0.3515523,0.0165577,0.1574309,1.249727,0.03758844,0.2864452,0.5438605,proton,k+
19,M_Hermes,0.2137533,0.01151043,0.09566898,1.249727,0.03758844,0.2859152,0.7129083,proton,k+
20,M_Hermes,0.05024533,0.004877731,0.02247928,1.249727,0.03758844,0.2920116,0.9804633,proton,k+
21,M_Hermes,0.1493616,0.01492291,0.005063339,1.249727,0.03758844,0.3384978,0.1003297,proton,k+
22,M_Hermes,0.3277741,0.02050847,0.09541592,1.249727,0.03758844,0.335436,0.2013487,proton,k+
23,M_Hermes,0.377085,0.02074012,0.1098784,1.249727,0.03758844,0.3432446,0.3082235,proton,k+
24,M_Hermes,0.4180604,0.02141358,0.1219309,1.249727,0.03758844,0.3422826,0.4063505,proton,k+
25,M_Hermes,0.2926854,0.01254007,0.08537295,1.249727,0.03758844,0.3454118,0.5348308,proton,k+
26,M_Hermes,0.180346,0.008073269,0.05268268,1.249727,0.03758844,0.3480892,0.7094505,proton,k+
27,M_Hermes,0.04628267,0.003065362,0.01350932,1.249727,0.03758844,0.3459359,0.9634789,proton,k+
28,M_Hermes,0.0857535,0.00956236,0.001839659,1.249727,0.03758844,0.4192518,0.1006266,proton,k+
29,M_Hermes,0.2042309,0.0146629,0.05675622,1.249727,0.03758844,0.4205637,0.2033805,proton,k+
30,M_Hermes,0.2176635,0.01506596,0.1069413,1.249727,0.03758844,0.421952,0.3017185,proton,k+
31,M_Hermes,0.2176821,0.0136395,0.1070011,1.249727,0.03758844,0.4286016,0.4043233,proton,k+
32,M_Hermes,0.2122136,0.01093587,0.1042605,1.249727,0.03758844,0.4286341,0.5285306,proton,k+
33,M_Hermes,0.1428095,0.006650983,0.07018044,1.249727,0.03758844,0.4351368,0.7042157,proton,k+
34,M_Hermes,0.04149408,0.00249873,0.02039541,1.249727,0.03758844,0.4368278,0.9705127,proton,k+
35,M_Hermes,0.0423201,0.006366178,0.0110184,1.249727,0.03758844,0.5267717,0.1015766,proton,k+
36,M_Hermes,0.08328115,0.009826823,0.002783679,1.249727,0.03758844,0.532855,0.2044313,proton,k+
37,M_Hermes,0.1026317,0.009523787,0.02166869,1.249727,0.03758844,0.5335103,0.3035926,proton,k+
38,M_Hermes,0.1602596,0.01090636,0.05755547,1.249727,0.03758844,0.5398318,0.4064023,proton,k+
39,M_Hermes,0.1546279,0.008502938,0.0756248,1.249727,0.03758844,0.5427859,0.5323874,proton,k+
40,M_Hermes,0.1335311,0.006046011,0.06531003,1.249727,0.03758844,0.536718,0.6963655,proton,k+
41,M_Hermes,0.03941616,0.002129181,0.01928166,1.249727,0.03758844,0.5452103,0.9575511,proton,k+
42,M_Hermes,0.01472409,0.003760935,0.007193228,1.250026,0.03758863,0.6898611,0.1007796,proton,k+
43,M_Hermes,0.042642,0.005653263,0.0208287,1.249727,0.03758844,0.6844813,0.2052433,proton,k+
44,M_Hermes,0.05765424,0.005827882,0.02818454,1.249727,0.03758844,0.684499,0.3051222,proton,k+
45,M_Hermes,0.06470023,0.006297764,0.0291775,1.249727,0.03758844,0.6808373,0.4022008,proton,k+
46,M_Hermes,0.08620588,0.004699682,0.02798824,1.249727,0.03758844,0.6831881,0.5269329,proton,k+
47,M_Hermes,0.06558401,0.003379277,0.01770401,1.249727,0.03758844,0.6857091,0.6954631,proton,k+
48,M_Hermes,0.02864494,0.001468163,0.007727238,1.249727,0.03758844,0.6911086,0.9495529,proton,k+
49,M_Hermes,0.001838076,0.001084561,0.000501849,1.249727,0.03758844,0.8306562,0.09363754,proton,k+
50,M_Hermes,0.006721167,0.001661363,0.001814312,1.249727,0.03758844,0.8692754,0.2014999,proton,k+
51,M_Hermes,0.01481978,0.003002333,0.00400148,1.249727,0.03758844,0.8779524,0.3012863,proton,k+
52,M_Hermes,0.01532826,0.002854117,0.006917639,1.249727,0.03758844,0.8763051,0.4051151,proton,k+
53,M_Hermes,0.01478029,0.001905574,0.00480024,1.249727,0.03758844,0.8697566,0.519637,proton,k+
54,M_Hermes,0.01090534,0.001592041,0.00294375,1.249727,0.03758844,0.854633,0.6881503,proton,k+
55,M_Hermes,0.002738582,0.000480487,0.000738644,1.249727,0.03758844,0.8618727,0.9720637,proton,k+
56,M_Hermes,0.3802501,0.0195267,0.1544707,1.509975,0.06109764,0.1490277,0.1012257,proton,k+
57,M_Hermes,0.8197211,0.03076205,0.09311864,1.509975,0.06109764,0.1507331,0.2117026,proton,k+
58,M_Hermes,0.8378436,0.03173566,0.1131968,1.509975,0.06109764,0.1513554,0.3152297,proton,k+
59,M_Hermes,0.8379629,0.03329491,0.225124,1.509975,0.06109764,0.1471056,0.4129377,proton,k+
60,M_Hermes,0.5255352,0.02817942,0.2242317,1.509975,0.06109764,0.1506873,0.5446668,proton,k+
61,M_Hermes,0.1476487,0.02630454,0.0629768,1.509975,0.06109764,0.1660136,0.7705407,proton,k+
