  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,8.8,0.166152,0.592270,0.326679,1.613716,0.130500,AUT,0.0,0.001982,0.070207,0.001527,neutron,pi-,solid
1,8.8,0.220851,0.479400,0.325303,1.736950,0.114059,AUT,0.0,0.002426,0.070207,0.001590,neutron,pi-,solid
2,8.8,0.275466,0.404812,0.324111,1.840264,0.119442,AUT,0.0,0.005760,0.070207,0.001650,neutron,pi-,solid
3,8.8,0.091025,0.721288,0.323288,1.079966,0.334558,AUT,0.0,0.002002,0.070207,0.001460,neutron,pi-,solid
4,8.8,0.124235,0.554948,0.324804,1.122928,0.333728,AUT,0.0,0.003918,0.070207,0.001473,neutron,pi-,solid
5,8.8,0.193932,0.464771,0.327914,1.485475,0.278880,AUT,0.0,0.003748,0.070207,0.001547,neutron,pi-,solid
6,8.8,0.099864,0.669176,0.328360,1.082179,0.449477,AUT,0.0,0.001991,0.070207,0.001461,neutron,pi-,solid
7,8.8,0.158596,0.423231,0.330693,1.095650,0.437513,AUT,0.0,0.009773,0.070207,0.001494,neutron,pi-,solid
8,8.8,0.155708,0.587091,0.375264,1.496538,0.137468,AUT,0.0,0.001911,0.070207,0.001493,neutron,pi-,solid
9,8.8,0.208674,0.482994,0.374464,1.655753,0.119384,AUT,0.0,0.002217,0.070207,0.001549,neutron,pi-,solid
10,8.8,0.261592,0.413563,0.373823,1.784115,0.121916,AUT,0.0,0.004045,0.070207,0.001604,neutron,pi-,solid
11,8.8,0.098746,0.680489,0.372967,1.099362,0.345902,AUT,0.0,0.002106,0.070207,0.001447,neutron,pi-,solid
12,8.8,0.154498,0.535618,0.375511,1.360355,0.295503,AUT,0.0,0.002777,0.070207,0.001485,neutron,pi-,solid
13,8.8,0.225309,0.467559,0.376453,1.724453,0.255836,AUT,0.0,0.006897,0.070207,0.001566,neutron,pi-,solid
14,8.8,0.093782,0.714235,0.375167,1.099768,0.480559,AUT,0.0,0.002165,0.070207,0.001446,neutron,pi-,solid
15,8.8,0.138578,0.510129,0.376327,1.138822,0.472618,AUT,0.0,0.002060,0.070207,0.001465,neutron,pi-,solid
16,8.8,0.201026,0.358988,0.378183,1.191175,0.455040,AUT,0.0,0.030959,0.070207,0.001519,neutron,pi-,solid
