  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
51,8.8,0.096065,0.709231,0.424034,1.118972,0.489824,AUT,0.0,0.002254,0.070207,0.001435,neutron,pi-,solid
52,8.8,0.128794,0.598303,0.424010,1.267369,0.490766,AUT,0.0,0.002781,0.070207,0.001449,neutron,pi-,solid
53,8.8,0.172936,0.497324,0.423845,1.413326,0.493453,AUT,0.0,0.002335,0.070207,0.001487,neutron,pi-,solid
54,8.8,0.232175,0.432253,0.423586,1.651353,0.492249,AUT,0.0,0.006015,0.070207,0.001548,neutron,pi-,solid
55,8.8,0.117880,0.641993,0.425247,1.224457,0.674998,AUT,0.0,0.002071,0.070207,0.001446,neutron,pi-,solid
56,8.8,0.194385,0.499036,0.425120,1.590128,0.667848,AUT,0.0,0.008493,0.070207,0.001512,neutron,pi-,solid
57,8.8,0.136980,0.545574,0.473502,1.221840,0.133970,AUT,0.0,0.001826,0.070207,0.001440,neutron,pi-,solid
58,8.8,0.188824,0.468260,0.473771,1.456814,0.121121,AUT,0.0,0.001969,0.070207,0.001485,neutron,pi-,solid
59,8.8,0.245145,0.426058,0.473658,1.720725,0.125001,AUT,0.0,0.003587,0.070207,0.001539,neutron,pi-,solid
60,8.8,0.103802,0.666133,0.473437,1.134371,0.311029,AUT,0.0,0.001803,0.070207,0.001425,neutron,pi-,solid
61,8.8,0.133360,0.581569,0.473848,1.278476,0.297862,AUT,0.0,0.002202,0.070207,0.001438,neutron,pi-,solid
62,8.8,0.166392,0.518314,0.474040,1.420346,0.293413,AUT,0.0,0.003239,0.070207,0.001465,neutron,pi-,solid
63,8.8,0.219754,0.447286,0.474066,1.612676,0.291729,AUT,0.0,0.004149,0.070207,0.001515,neutron,pi-,solid
64,8.8,0.100612,0.691621,0.474102,1.140805,0.491208,AUT,0.0,0.002191,0.070207,0.001426,neutron,pi-,solid
65,8.8,0.143891,0.562842,0.474127,1.328058,0.489974,AUT,0.0,0.003558,0.070207,0.001447,neutron,pi-,solid
66,8.8,0.206777,0.459513,0.473768,1.557948,0.488953,AUT,0.0,0.004204,0.070207,0.001502,neutron,pi-,solid
67,8.8,0.121170,0.628105,0.474491,1.225507,0.684109,AUT,0.0,0.001848,0.070207,0.001435,neutron,pi-,solid
68,8.8,0.196782,0.495726,0.473507,1.604442,0.677952,AUT,0.0,0.006643,0.070207,0.001496,neutron,pi-,solid
69,8.8,0.148637,0.519929,0.523639,1.260683,0.130310,AUT,0.0,0.001828,0.070207,0.001433,neutron,pi-,solid
70,8.8,0.214330,0.448255,0.523670,1.579490,0.124179,AUT,0.0,0.002347,0.070207,0.001487,neutron,pi-,solid
71,8.8,0.111368,0.638331,0.523574,1.163811,0.309772,AUT,0.0,0.001784,0.070207,0.001415,neutron,pi-,solid
72,8.8,0.152372,0.541189,0.523964,1.356909,0.296423,AUT,0.0,0.002433,0.070207,0.001437,neutron,pi-,solid
73,8.8,0.210913,0.456783,0.524088,1.578031,0.291763,AUT,0.0,0.003429,0.070207,0.001484,neutron,pi-,solid
74,8.8,0.105455,0.673965,0.524026,1.162910,0.493001,AUT,0.0,0.002140,0.070207,0.001415,neutron,pi-,solid
75,8.8,0.163771,0.527383,0.524042,1.410253,0.488691,AUT,0.0,0.004174,0.070207,0.001446,neutron,pi-,solid
76,8.8,0.240036,0.436589,0.522876,1.726470,0.479937,AUT,0.0,0.014193,0.070207,0.001510,neutron,pi-,solid
77,8.8,0.129238,0.615657,0.524035,1.272207,0.687729,AUT,0.0,0.002019,0.070207,0.001428,neutron,pi-,solid
78,8.8,0.223995,0.486611,0.522179,1.797259,0.670891,AUT,0.0,0.020489,0.070207,0.001501,neutron,pi-,solid
79,8.8,0.124649,0.646637,0.525477,1.301921,0.884432,AUT,0.0,0.004209,0.070207,0.001426,neutron,pi-,solid
80,8.8,0.163039,0.498779,0.573656,1.323419,0.128758,AUT,0.0,0.001813,0.070207,0.001424,neutron,pi-,solid
81,8.8,0.238788,0.432304,0.573580,1.700103,0.127025,AUT,0.0,0.004279,0.070207,0.001478,neutron,pi-,solid
82,8.8,0.119898,0.611664,0.573614,1.197338,0.308329,AUT,0.0,0.001795,0.070207,0.001402,neutron,pi-,solid
83,8.8,0.179223,0.496697,0.573844,1.458876,0.293728,AUT,0.0,0.002744,0.070207,0.001436,neutron,pi-,solid
84,8.8,0.251852,0.420460,0.572831,1.745739,0.285886,AUT,0.0,0.005976,0.070207,0.001486,neutron,pi-,solid
85,8.8,0.112567,0.650780,0.574012,1.194243,0.494093,AUT,0.0,0.002105,0.070207,0.001402,neutron,pi-,solid
86,8.8,0.179329,0.512057,0.573501,1.502366,0.486481,AUT,0.0,0.006173,0.070207,0.001437,neutron,pi-,solid
87,8.8,0.119680,0.642302,0.574191,1.241408,0.739686,AUT,0.0,0.002057,0.070207,0.001406,neutron,pi-,solid
88,8.8,0.197200,0.533903,0.572523,1.734371,0.699029,AUT,0.0,0.010722,0.070207,0.001454,neutron,pi-,solid
89,8.8,0.124050,0.589754,0.623558,1.194383,0.269040,AUT,0.0,0.001773,0.070207,0.001383,neutron,pi-,solid
90,8.8,0.173632,0.495640,0.623402,1.417599,0.221811,AUT,0.0,0.002047,0.070207,0.001404,neutron,pi-,solid
91,8.8,0.227950,0.453706,0.622064,1.703362,0.205370,AUT,0.0,0.003418,0.070207,0.001438,neutron,pi-,solid
92,8.8,0.122322,0.625156,0.623855,1.239599,0.494201,AUT,0.0,0.002127,0.070207,0.001385,neutron,pi-,solid
93,8.8,0.193592,0.516322,0.622589,1.644623,0.483101,AUT,0.0,0.014343,0.070207,0.001419,neutron,pi-,solid
94,8.8,0.119726,0.654517,0.623675,1.265430,0.751996,AUT,0.0,0.002496,0.070207,0.001387,neutron,pi-,solid
95,8.8,0.135193,0.563751,0.673292,1.241479,0.258006,AUT,0.0,0.001749,0.070207,0.001361,neutron,pi-,solid
96,8.8,0.196451,0.501521,0.671837,1.622401,0.212489,AUT,0.0,0.002897,0.070207,0.001385,neutron,pi-,solid
97,8.8,0.113050,0.652338,0.673673,1.202704,0.569825,AUT,0.0,0.002015,0.070207,0.001360,neutron,pi-,solid
