  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
281,11.0,0.222241,0.517756,0.673643,2.350570,0.130660,AUT,0.0,0.003734,0.070207,0.001482,neutron,pi+,solid
282,11.0,0.290072,0.438206,0.671955,2.619997,0.126362,AUT,0.0,0.007799,0.070207,0.001662,neutron,pi+,solid
283,11.0,0.183194,0.598814,0.673622,2.248266,0.309180,AUT,0.0,0.003510,0.070207,0.001394,neutron,pi+,solid
284,11.0,0.233958,0.508315,0.673798,2.447820,0.296451,AUT,0.0,0.004496,0.070207,0.001511,neutron,pi+,solid
285,11.0,0.284592,0.447672,0.671261,2.625875,0.288035,AUT,0.0,0.006764,0.070207,0.001646,neutron,pi+,solid
286,11.0,0.173332,0.628705,0.673821,2.234602,0.497793,AUT,0.0,0.003603,0.070207,0.001373,neutron,pi+,solid
287,11.0,0.234110,0.525368,0.673164,2.522592,0.487112,AUT,0.0,0.008084,0.070207,0.001512,neutron,pi+,solid
288,11.0,0.195163,0.608039,0.675111,2.414050,0.662457,AUT,0.0,0.006620,0.070207,0.001422,neutron,pi+,solid
289,11.0,0.250414,0.616449,0.323433,3.183213,0.129936,AUT,0.0,0.005546,0.070207,0.001450,neutron,pi+,solid
290,11.0,0.273027,0.587003,0.323662,3.307693,0.124334,AUT,0.0,0.005864,0.070207,0.001500,neutron,pi+,solid
291,11.0,0.288897,0.565286,0.323800,3.370267,0.120604,AUT,0.0,0.006190,0.070207,0.001536,neutron,pi+,solid
292,11.0,0.304785,0.534782,0.323920,3.363618,0.117266,AUT,0.0,0.006504,0.070207,0.001574,neutron,pi+,solid
293,11.0,0.322455,0.505881,0.323892,3.366359,0.115618,AUT,0.0,0.006550,0.070207,0.001617,neutron,pi+,solid
294,11.0,0.342380,0.482230,0.323829,3.407350,0.117372,AUT,0.0,0.006548,0.070207,0.001669,neutron,pi+,solid
295,11.0,0.365349,0.460011,0.323780,3.468100,0.122270,AUT,0.0,0.006463,0.070207,0.001732,neutron,pi+,solid
296,11.0,0.395974,0.430309,0.323446,3.515080,0.131729,AUT,0.0,0.007525,0.070207,0.001822,neutron,pi+,solid
297,11.0,0.434516,0.413044,0.323089,3.704062,0.141138,AUT,0.0,0.019962,0.070207,0.001947,neutron,pi+,solid
298,11.0,0.244665,0.632475,0.324970,3.191778,0.283302,AUT,0.0,0.007636,0.070207,0.001438,neutron,pi+,solid
299,11.0,0.266682,0.609037,0.324799,3.352168,0.284453,AUT,0.0,0.011050,0.070207,0.001486,neutron,pi+,solid
300,11.0,0.283219,0.591025,0.324718,3.454553,0.285220,AUT,0.0,0.013607,0.070207,0.001524,neutron,pi+,solid
301,11.0,0.301034,0.550051,0.324856,3.416255,0.285123,AUT,0.0,0.020218,0.070207,0.001565,neutron,pi+,solid
302,11.0,0.323938,0.505568,0.324883,3.379020,0.285305,AUT,0.0,0.018986,0.070207,0.001622,neutron,pi+,solid
303,11.0,0.350130,0.474203,0.324889,3.425939,0.284902,AUT,0.0,0.014868,0.070207,0.001690,neutron,pi+,solid
304,11.0,0.379539,0.443756,0.325030,3.474689,0.283530,AUT,0.0,0.012902,0.070207,0.001774,neutron,pi+,solid
305,11.0,0.419663,0.415090,0.325003,3.594390,0.282144,AUT,0.0,0.013878,0.070207,0.001898,neutron,pi+,solid
306,11.0,0.467652,0.407879,0.324588,3.937355,0.283940,AUT,0.0,0.136843,0.070207,0.002068,neutron,pi+,solid
307,11.0,0.325000,0.559490,0.337016,3.664660,0.417593,AUT,0.0,0.030232,0.070207,0.001628,neutron,pi+,solid
308,11.0,0.256085,0.607399,0.373428,3.206618,0.128786,AUT,0.0,0.005634,0.070207,0.001477,neutron,pi+,solid
309,11.0,0.283046,0.571952,0.373695,3.340559,0.124326,AUT,0.0,0.005920,0.070207,0.001540,neutron,pi+,solid
310,11.0,0.304682,0.534116,0.373839,3.357615,0.120525,AUT,0.0,0.006196,0.070207,0.001592,neutron,pi+,solid
311,11.0,0.328649,0.497919,0.373812,3.376495,0.119412,AUT,0.0,0.006420,0.070207,0.001654,neutron,pi+,solid
312,11.0,0.357481,0.468433,0.373660,3.454899,0.123314,AUT,0.0,0.006437,0.070207,0.001734,neutron,pi+,solid
313,11.0,0.401865,0.429826,0.373363,3.560571,0.135835,AUT,0.0,0.007967,0.070207,0.001870,neutron,pi+,solid
314,11.0,0.463390,0.408379,0.373048,3.906232,0.151794,AUT,0.0,0.168692,0.070207,0.002091,neutron,pi+,solid
315,11.0,0.247133,0.627337,0.374015,3.197383,0.292379,AUT,0.0,0.006760,0.070207,0.001458,neutron,pi+,solid
316,11.0,0.271171,0.602036,0.374174,3.369321,0.290531,AUT,0.0,0.009425,0.070207,0.001512,neutron,pi+,solid
317,11.0,0.290331,0.574079,0.374132,3.438843,0.290253,AUT,0.0,0.012887,0.070207,0.001558,neutron,pi+,solid
318,11.0,0.313880,0.521514,0.374158,3.376551,0.290274,AUT,0.0,0.017657,0.070207,0.001616,neutron,pi+,solid
319,11.0,0.343063,0.479786,0.374248,3.395779,0.289415,AUT,0.0,0.012018,0.070207,0.001694,neutron,pi+,solid
320,11.0,0.375978,0.445473,0.374253,3.455012,0.287606,AUT,0.0,0.009637,0.070207,0.001789,neutron,pi+,solid
321,11.0,0.418662,0.414635,0.374292,3.581793,0.286924,AUT,0.0,0.011738,0.070207,0.001927,neutron,pi+,solid
322,11.0,0.290548,0.575874,0.378097,3.422505,0.437715,AUT,0.0,0.023888,0.070207,0.001559,neutron,pi+,solid
323,11.0,0.391483,0.445755,0.378025,3.588713,0.438476,AUT,0.0,0.030660,0.070207,0.001839,neutron,pi+,solid
324,11.0,0.262843,0.597471,0.423587,3.236122,0.128102,AUT,0.0,0.005653,0.070207,0.001507,neutron,pi+,solid
325,11.0,0.296043,0.548430,0.423681,3.348856,0.124459,AUT,0.0,0.006077,0.070207,0.001587,neutron,pi+,solid
326,11.0,0.326979,0.500805,0.423806,3.377757,0.122024,AUT,0.0,0.006368,0.070207,0.001669,neutron,pi+,solid
327,11.0,0.367976,0.459330,0.423624,3.484564,0.127327,AUT,0.0,0.006680,0.070207,0.001788,neutron,pi+,solid
328,11.0,0.418710,0.419574,0.423221,3.624569,0.143514,AUT,0.0,0.018037,0.070207,0.001956,neutron,pi+,solid
329,11.0,0.250985,0.621578,0.423895,3.216900,0.295471,AUT,0.0,0.006402,0.070207,0.001479,neutron,pi+,solid
330,11.0,0.278757,0.591835,0.424007,3.404376,0.292381,AUT,0.0,0.008776,0.070207,0.001545,neutron,pi+,solid
331,11.0,0.304545,0.540757,0.424133,3.396041,0.290486,AUT,0.0,0.013873,0.070207,0.001609,neutron,pi+,solid
332,11.0,0.338001,0.485630,0.424188,3.385559,0.289122,AUT,0.0,0.010117,0.070207,0.001700,neutron,pi+,solid
333,11.0,0.376678,0.444583,0.424175,3.453658,0.288582,AUT,0.0,0.008251,0.070207,0.001815,neutron,pi+,solid
334,11.0,0.421575,0.413303,0.424072,3.595610,0.290750,AUT,0.0,0.013361,0.070207,0.001967,neutron,pi+,solid
335,11.0,0.272155,0.601832,0.425800,3.369740,0.464630,AUT,0.0,0.027806,0.070207,0.001529,neutron,pi+,solid
336,11.0,0.352983,0.476929,0.425853,3.454139,0.464598,AUT,0.0,0.016402,0.070207,0.001743,neutron,pi+,solid
337,11.0,0.431444,0.413794,0.425582,3.684336,0.466888,AUT,0.0,0.064948,0.070207,0.002005,neutron,pi+,solid
338,11.0,0.269979,0.587040,0.473578,3.263977,0.128293,AUT,0.0,0.005800,0.070207,0.001538,neutron,pi+,solid
339,11.0,0.313328,0.519857,0.473681,3.357772,0.124833,AUT,0.0,0.006245,0.070207,0.001649,neutron,pi+,solid
340,11.0,0.366769,0.461350,0.473601,3.484198,0.128613,AUT,0.0,0.006715,0.070207,0.001807,neutron,pi+,solid
341,11.0,0.430784,0.416497,0.473126,3.702573,0.149928,AUT,0.0,0.042101,0.070207,0.002032,neutron,pi+,solid
342,11.0,0.255834,0.614624,0.473863,3.241618,0.297654,AUT,0.0,0.006304,0.070207,0.001504,neutron,pi+,solid
343,11.0,0.289089,0.572519,0.473998,3.413282,0.292908,AUT,0.0,0.009174,0.070207,0.001586,neutron,pi+,solid
344,11.0,0.325831,0.502110,0.474128,3.372552,0.289760,AUT,0.0,0.009854,0.070207,0.001684,neutron,pi+,solid
345,11.0,0.372081,0.449379,0.474090,3.446787,0.291098,AUT,0.0,0.007507,0.070207,0.001824,neutron,pi+,solid
346,11.0,0.421642,0.413448,0.473961,3.597453,0.295684,AUT,0.0,0.015004,0.070207,0.001997,neutron,pi+,solid
347,11.0,0.269779,0.602422,0.474764,3.344039,0.482974,AUT,0.0,0.019465,0.070207,0.001538,neutron,pi+,solid
