  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,8.8,0.158404,0.608481,0.327316,1.583434,0.133298,AUT,0.0,0.002437,0.070207,0.001919,neutron,pi+,solid
1,8.8,0.194977,0.531773,0.325607,1.709081,0.119502,AUT,0.0,0.003075,0.070207,0.002017,neutron,pi+,solid
2,8.8,0.236277,0.449714,0.325393,1.748024,0.112858,AUT,0.0,0.003119,0.070207,0.002141,neutron,pi+,solid
3,8.8,0.282332,0.400884,0.324193,1.868300,0.121552,AUT,0.0,0.008514,0.070207,0.002293,neutron,pi+,solid
4,8.8,0.087911,0.737534,0.323073,1.068092,0.334309,AUT,0.0,0.002394,0.070207,0.001776,neutron,pi+,solid
5,8.8,0.105474,0.639800,0.324566,1.110718,0.335957,AUT,0.0,0.004178,0.070207,0.001806,neutron,pi+,solid
6,8.8,0.141245,0.499776,0.325456,1.157705,0.326447,AUT,0.0,0.004025,0.070207,0.001882,neutron,pi+,solid
7,8.8,0.203854,0.462992,0.328514,1.555014,0.270109,AUT,0.0,0.004849,0.070207,0.002046,neutron,pi+,solid
8,8.8,0.093057,0.707255,0.328360,1.078073,0.450956,AUT,0.0,0.002561,0.070207,0.001786,neutron,pi+,solid
9,8.8,0.140832,0.482675,0.330206,1.095016,0.440900,AUT,0.0,0.003901,0.070207,0.001884,neutron,pi+,solid
10,8.8,0.146910,0.606171,0.375640,1.461226,0.141575,AUT,0.0,0.002410,0.070207,0.001905,neutron,pi+,solid
11,8.8,0.183085,0.530198,0.374784,1.600717,0.125617,AUT,0.0,0.002848,0.070207,0.002000,neutron,pi+,solid
12,8.8,0.217720,0.464812,0.374643,1.666856,0.117673,AUT,0.0,0.002998,0.070207,0.002102,neutron,pi+,solid
13,8.8,0.260678,0.414054,0.373886,1.779914,0.121735,AUT,0.0,0.004375,0.070207,0.002241,neutron,pi+,solid
14,8.8,0.093943,0.705128,0.372849,1.088449,0.346058,AUT,0.0,0.002371,0.070207,0.001798,neutron,pi+,solid
15,8.8,0.127023,0.571771,0.374727,1.193605,0.325925,AUT,0.0,0.004263,0.070207,0.001862,neutron,pi+,solid
16,8.8,0.173943,0.517368,0.375930,1.482535,0.279992,AUT,0.0,0.003752,0.070207,0.001977,neutron,pi+,solid
17,8.8,0.235257,0.456780,0.376896,1.760885,0.250912,AUT,0.0,0.008921,0.070207,0.002158,neutron,pi+,solid
18,8.8,0.089534,0.734589,0.374919,1.082639,0.482876,AUT,0.0,0.002622,0.070207,0.001791,neutron,pi+,solid
19,8.8,0.112395,0.618706,0.376210,1.142730,0.474883,AUT,0.0,0.002824,0.070207,0.001832,neutron,pi+,solid
20,8.8,0.157826,0.444915,0.376672,1.140022,0.469659,AUT,0.0,0.003690,0.070207,0.001937,neutron,pi+,solid
21,8.8,0.144263,0.589855,0.424724,1.394566,0.143867,AUT,0.0,0.002410,0.070207,0.001910,neutron,pi+,solid
22,8.8,0.183906,0.511111,0.424410,1.549577,0.126528,AUT,0.0,0.002811,0.070207,0.002016,neutron,pi+,solid
23,8.8,0.224815,0.446771,0.424107,1.653761,0.121189,AUT,0.0,0.002823,0.070207,0.002140,neutron,pi+,solid
24,8.8,0.275352,0.404761,0.423694,1.839347,0.130210,AUT,0.0,0.008366,0.070207,0.002312,neutron,pi+,solid
25,8.8,0.103936,0.662630,0.423183,1.125629,0.342683,AUT,0.0,0.002521,0.070207,0.001825,neutron,pi+,solid
26,8.8,0.148204,0.571605,0.425432,1.396304,0.281880,AUT,0.0,0.002893,0.070207,0.001921,neutron,pi+,solid
27,8.8,0.189772,0.512400,0.425463,1.601097,0.275094,AUT,0.0,0.005501,0.070207,0.002034,neutron,pi+,solid
28,8.8,0.247580,0.432149,0.425761,1.759511,0.265763,AUT,0.0,0.008055,0.070207,0.002215,neutron,pi+,solid
29,8.8,0.091661,0.726187,0.424069,1.095376,0.490530,AUT,0.0,0.002666,0.070207,0.001803,neutron,pi+,solid
30,8.8,0.114593,0.623352,0.424667,1.175022,0.488213,AUT,0.0,0.003798,0.070207,0.001845,neutron,pi+,solid
31,8.8,0.154961,0.462121,0.424694,1.167349,0.491509,AUT,0.0,0.003165,0.070207,0.001940,neutron,pi+,solid
32,8.8,0.203681,0.366457,0.425753,1.231756,0.480640,AUT,0.0,0.020816,0.070207,0.002075,neutron,pi+,solid
33,8.8,0.109228,0.630125,0.429844,1.089759,0.640760,AUT,0.0,0.003374,0.070207,0.001839,neutron,pi+,solid
34,8.8,0.146430,0.568527,0.474261,1.362822,0.143236,AUT,0.0,0.002442,0.070207,0.001927,neutron,pi+,solid
35,8.8,0.192263,0.485703,0.474146,1.538188,0.126440,AUT,0.0,0.002743,0.070207,0.002053,neutron,pi+,solid
36,8.8,0.240039,0.430316,0.473850,1.700828,0.124733,AUT,0.0,0.003557,0.070207,0.002205,neutron,pi+,solid
37,8.8,0.115757,0.641720,0.474095,1.214644,0.312308,AUT,0.0,0.002438,0.070207,0.001857,neutron,pi+,solid
38,8.8,0.158472,0.563240,0.475031,1.470909,0.282791,AUT,0.0,0.003121,0.070207,0.001958,neutron,pi+,solid
39,8.8,0.202398,0.489264,0.474930,1.627067,0.280198,AUT,0.0,0.005817,0.070207,0.002084,neutron,pi+,solid
40,8.8,0.260504,0.414407,0.474793,1.779649,0.283215,AUT,0.0,0.008514,0.070207,0.002277,neutron,pi+,solid
41,8.8,0.094880,0.711637,0.474068,1.109972,0.493093,AUT,0.0,0.002603,0.070207,0.001816,neutron,pi+,solid
42,8.8,0.125568,0.578533,0.474163,1.189246,0.495197,AUT,0.0,0.004948,0.070207,0.001878,neutron,pi+,solid
43,8.8,0.178530,0.425607,0.474577,1.247930,0.490361,AUT,0.0,0.005637,0.070207,0.002013,neutron,pi+,solid
