  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,8.8,0.105343,0.649150,0.322901,1.123545,0.152957,AUT,0.0,0.002378,0.070207,0.001805,neutron,pi+,solid
1,8.8,0.125703,0.579269,0.323461,1.201577,0.137458,AUT,0.0,0.002326,0.070207,0.001844,neutron,pi+,solid
2,8.8,0.140275,0.546663,0.323788,1.265794,0.128608,AUT,0.0,0.002487,0.070207,0.001876,neutron,pi+,solid
3,8.8,0.153730,0.521889,0.323909,1.324474,0.122160,AUT,0.0,0.002690,0.070207,0.001908,neutron,pi+,solid
4,8.8,0.167174,0.501045,0.324017,1.382820,0.117736,AUT,0.0,0.002873,0.070207,0.001942,neutron,pi+,solid
5,8.8,0.181151,0.481096,0.324109,1.438811,0.114659,AUT,0.0,0.002996,0.070207,0.001979,neutron,pi+,solid
6,8.8,0.196960,0.467984,0.324161,1.521769,0.112511,AUT,0.0,0.003139,0.070207,0.002023,neutron,pi+,solid
7,8.8,0.218823,0.447194,0.324179,1.614936,0.110877,AUT,0.0,0.003178,0.070207,0.002087,neutron,pi+,solid
8,8.8,0.256222,0.416865,0.324127,1.760838,0.114943,AUT,0.0,0.003570,0.070207,0.002204,neutron,pi+,solid
9,8.8,0.086201,0.747788,0.323248,1.062699,0.310935,AUT,0.0,0.002288,0.070207,0.001773,neutron,pi+,solid
10,8.8,0.097530,0.695979,0.323690,1.120451,0.301918,AUT,0.0,0.002451,0.070207,0.001791,neutron,pi+,solid
11,8.8,0.106483,0.663007,0.323922,1.165495,0.296149,AUT,0.0,0.002654,0.070207,0.001806,neutron,pi+,solid
12,8.8,0.115027,0.636895,0.324087,1.209517,0.293248,AUT,0.0,0.003029,0.070207,0.001822,neutron,pi+,solid
13,8.8,0.123638,0.613863,0.324113,1.253063,0.292046,AUT,0.0,0.003506,0.070207,0.001839,neutron,pi+,solid
14,8.8,0.132782,0.591494,0.324167,1.296675,0.291204,AUT,0.0,0.004026,0.070207,0.001858,neutron,pi+,solid
15,8.8,0.142810,0.568238,0.324171,1.339734,0.291462,AUT,0.0,0.004545,0.070207,0.001881,neutron,pi+,solid
16,8.8,0.154116,0.542729,0.324194,1.380789,0.291916,AUT,0.0,0.005020,0.070207,0.001909,neutron,pi+,solid
17,8.8,0.167117,0.515767,0.324159,1.422811,0.292497,AUT,0.0,0.005253,0.070207,0.001942,neutron,pi+,solid
18,8.8,0.182073,0.487566,0.324193,1.465381,0.293842,AUT,0.0,0.005114,0.070207,0.001982,neutron,pi+,solid
19,8.8,0.200899,0.464968,0.324150,1.541762,0.294470,AUT,0.0,0.005428,0.070207,0.002034,neutron,pi+,solid
20,8.8,0.233569,0.432414,0.324193,1.665079,0.294053,AUT,0.0,0.006320,0.070207,0.002132,neutron,pi+,solid
21,8.8,0.279286,0.401847,0.324268,1.852454,0.293439,AUT,0.0,0.022549,0.070207,0.002282,neutron,pi+,solid
22,8.8,0.087866,0.743800,0.324688,1.076589,0.482017,AUT,0.0,0.002360,0.070207,0.001776,neutron,pi+,solid
23,8.8,0.104566,0.673336,0.324500,1.161465,0.483915,AUT,0.0,0.002291,0.070207,0.001803,neutron,pi+,solid
24,8.8,0.119595,0.623254,0.324585,1.229982,0.483615,AUT,0.0,0.002444,0.070207,0.001831,neutron,pi+,solid
25,8.8,0.135509,0.581297,0.324690,1.299840,0.482459,AUT,0.0,0.002724,0.070207,0.001865,neutron,pi+,solid
26,8.8,0.153895,0.541537,0.324788,1.375133,0.480592,AUT,0.0,0.003251,0.070207,0.001908,neutron,pi+,solid
27,8.8,0.176163,0.502407,0.324963,1.460199,0.478331,AUT,0.0,0.004072,0.070207,0.001966,neutron,pi+,solid
28,8.8,0.207383,0.462946,0.325007,1.582640,0.478574,AUT,0.0,0.006093,0.070207,0.002053,neutron,pi+,solid
