i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
18,160,0.0495,0.33,0.22,3.83,0.46,AUT,0.0189,0.0036,0,0,proton,h+,compass,z
19,160,0.0507,0.32,0.27,3.85,0.48,AUT,0.01,0.0043,0,0,proton,h+,compass,z
20,160,0.0518,0.32,0.32,3.88,0.5,AUT,0.0154,0.005,0,0,proton,h+,compass,z
21,160,0.0525,0.31,0.37,3.88,0.52,AUT,0.01,0.0058,0,0,proton,h+,compass,z
22,160,0.0531,0.31,0.45,3.87,0.55,AUT,0.0291,0.005,0,0,proton,h+,compass,z
23,160,0.0533,0.3,0.57,3.82,0.59,AUT,0.0363,0.0057,0,0,proton,h+,compass,z
24,160,0.0518,0.3,0.72,3.63,0.6,AUT,0.0434,0.0081,0,0,proton,h+,compass,z
25,160,0.0476,0.29,0.88,3.21,0.52,AUT,0.0303,0.0109,0,0,proton,h+,compass,z
