i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
5,160,0.00906,0.552,0.341,1.44,0.56,AUT,-0.0486,0.0305,0,0,proton,k0,compass,x
6,160,0.0209,0.344,0.361,2.09,0.521,AUT,-0.0474,0.0259,0,0,proton,k0,compass,x
7,160,0.04866,0.29,0.383,4.23,0.494,AUT,0.0378,0.0334,0,0,proton,k0,compass,x
8,160,0.10022,0.29,0.38,8.71,0.496,AUT,0.0468,0.0734,0,0,proton,k0,compass,x
9,160,0.19459,0.311,0.376,18.6,0.524,AUT,0.081,0.0978,0,0,proton,k0,compass,x
