i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
0,27.6,0.03752505,0.643301182255363,0.150202,1.250269,0.1019364,M_Hermes,0.4424125,0.02207802,0,0.151783,deuteron,k+,hermes,NA
1,27.6,0.03752505,0.643301182255363,0.1521749,1.250269,0.2157791,M_Hermes,0.9090955,0.02778067,0,0.4091807,deuteron,k+,hermes,NA
2,27.6,0.03752505,0.643301182255363,0.1522933,1.250269,0.3227291,M_Hermes,0.9321638,0.02727522,0,0.2113537,deuteron,k+,hermes,NA
3,27.6,0.03752505,0.643301182255363,0.1556551,1.250269,0.4371615,M_Hermes,0.8217226,0.02828755,0,0.1336878,deuteron,k+,hermes,NA
4,27.6,0.03752505,0.643301182255363,0.1599346,1.250269,0.5743694,M_Hermes,0.5963618,0.02401037,0,0.04693696,deuteron,k+,hermes,NA
5,27.6,0.03752505,0.643301182255363,0.17092,1.250269,0.807636,M_Hermes,0.2628625,0.02454172,0,0.02026578,deuteron,k+,hermes,NA
6,27.6,0.03752505,0.643301182255363,0.1983256,1.250269,1.187806,M_Hermes,0.03332094,0.02113448,0,0.002593743,deuteron,k+,hermes,NA
7,27.6,0.03752505,0.643301182255363,0.2266198,1.250269,0.09980982,M_Hermes,0.3128942,0.02470473,0,0.02444452,deuteron,k+,hermes,NA
8,27.6,0.03752505,0.643301182255363,0.2301585,1.250269,0.2060025,M_Hermes,0.5686756,0.03050515,0,0.0333172,deuteron,k+,hermes,NA
9,27.6,0.03752505,0.643301182255363,0.2341512,1.250269,0.3121649,M_Hermes,0.600426,0.02915858,0,0.03572515,deuteron,k+,hermes,NA
10,27.6,0.03752505,0.643301182255363,0.2338468,1.250269,0.4143029,M_Hermes,0.503126,0.02311712,0,0.03069189,deuteron,k+,hermes,NA
11,27.6,0.03752505,0.643301182255363,0.2359174,1.250269,0.5476233,M_Hermes,0.363298,0.01620914,0,0.0214174,deuteron,k+,hermes,NA
12,27.6,0.03752505,0.643301182255363,0.2386537,1.250269,0.7285609,M_Hermes,0.1902227,0.01112222,0,0.03608477,deuteron,k+,hermes,NA
13,27.6,0.03752505,0.643301182255363,0.2403588,1.250269,1.01376,M_Hermes,0.06420009,0.007690084,0,0.01217154,deuteron,k+,hermes,NA
14,27.6,0.03752505,0.643301182255363,0.2744497,1.250269,0.1037242,M_Hermes,0.2576008,0.02211805,0,0.1168746,deuteron,k+,hermes,NA
15,27.6,0.03752505,0.643301182255363,0.2771796,1.250269,0.2068321,M_Hermes,0.4572999,0.02789726,0,0.08410191,deuteron,k+,hermes,NA
16,27.6,0.03752505,0.643301182255363,0.2840068,1.250269,0.311913,M_Hermes,0.4725947,0.02661969,0,0.08674056,deuteron,k+,hermes,NA
17,27.6,0.03752505,0.643301182255363,0.2868223,1.250269,0.4151126,M_Hermes,0.3679304,0.02148045,0,0.06767463,deuteron,k+,hermes,NA
18,27.6,0.03752505,0.643301182255363,0.2899104,1.250269,0.551154,M_Hermes,0.3279927,0.01501942,0,0.09871761,deuteron,k+,hermes,NA
19,27.6,0.03752505,0.643301182255363,0.2890327,1.250269,0.7210283,M_Hermes,0.1964214,0.01011869,0,0.008633775,deuteron,k+,hermes,NA
20,27.6,0.03752505,0.643301182255363,0.2993468,1.250269,1.013668,M_Hermes,0.04321861,0.004425369,0,0.002023619,deuteron,k+,hermes,NA
21,27.6,0.03752505,0.643301182255363,0.3353918,1.250269,0.1019666,M_Hermes,0.1810459,0.01421969,0,0.06599015,deuteron,k+,hermes,NA
22,27.6,0.03752505,0.643301182255363,0.3405483,1.250269,0.2074192,M_Hermes,0.3132223,0.01840041,0,0.08943405,deuteron,k+,hermes,NA
23,27.6,0.03752505,0.643301182255363,0.3424263,1.250269,0.3076759,M_Hermes,0.3753735,0.01851713,0,0.1074134,deuteron,k+,hermes,NA
24,27.6,0.03752505,0.643301182255363,0.3429929,1.250269,0.4086269,M_Hermes,0.4306538,0.01926434,0,0.169316,deuteron,k+,hermes,NA
25,27.6,0.03752505,0.643301182255363,0.3487519,1.250269,0.5410553,M_Hermes,0.296292,0.01178184,0,0.1165246,deuteron,k+,hermes,NA
26,27.6,0.03752505,0.643301182255363,0.3453851,1.250269,0.710553,M_Hermes,0.1584083,0.00733662,0,0.04171358,deuteron,k+,hermes,NA
27,27.6,0.03752505,0.643301182255363,0.3552542,1.250269,1.00729,M_Hermes,0.04799079,0.003034139,0,0.0126072,deuteron,k+,hermes,NA
28,27.6,0.03752505,0.643301182255363,0.4284131,1.250269,0.09884389,M_Hermes,0.06971718,0.00857248,0,0.02582531,deuteron,k+,hermes,NA
29,27.6,0.03752505,0.643301182255363,0.4191305,1.250269,0.2036434,M_Hermes,0.1909868,0.01346501,0,0.05393826,deuteron,k+,hermes,NA
30,27.6,0.03752505,0.643301182255363,0.423556,1.250269,0.3026066,M_Hermes,0.1944797,0.01323262,0,0.05492212,deuteron,k+,hermes,NA
31,27.6,0.03752505,0.643301182255363,0.4314508,1.250269,0.4101637,M_Hermes,0.2170102,0.01355136,0,0.01704768,deuteron,k+,hermes,NA
32,27.6,0.03752505,0.643301182255363,0.4282573,1.250269,0.5270042,M_Hermes,0.1995443,0.009461209,0,0.097584,deuteron,k+,hermes,NA
33,27.6,0.03752505,0.643301182255363,0.4329215,1.250269,0.7024573,M_Hermes,0.1370796,0.006047782,0,0.03306199,deuteron,k+,hermes,NA
34,27.6,0.03752505,0.643301182255363,0.4314723,1.250269,0.956035,M_Hermes,0.04555366,0.002325388,0,0.01098682,deuteron,k+,hermes,NA
35,27.6,0.03752505,0.643301182255363,0.524701,1.250269,0.1035386,M_Hermes,0.04055038,0.005641505,0,0.02020977,deuteron,k+,hermes,NA
36,27.6,0.03752505,0.643301182255363,0.5302707,1.250269,0.2020833,M_Hermes,0.08303109,0.008654115,0,0.008011384,deuteron,k+,hermes,NA
37,27.6,0.03752505,0.643301182255363,0.5304062,1.250269,0.3033743,M_Hermes,0.118038,0.00907198,0,0.01130954,deuteron,k+,hermes,NA
38,27.6,0.03752505,0.643301182255363,0.5375947,1.250269,0.4038126,M_Hermes,0.1337614,0.009388306,0,0.01273079,deuteron,k+,hermes,NA
39,27.6,0.03752505,0.643301182255363,0.5436773,1.250269,0.5373716,M_Hermes,0.1377819,0.007382993,0,0.005857857,deuteron,k+,hermes,NA
40,27.6,0.03752505,0.643301182255363,0.5452599,1.250269,0.7103738,M_Hermes,0.1229882,0.005407137,0,0.005245011,deuteron,k+,hermes,NA
41,27.6,0.03752505,0.643301182255363,0.5413988,1.250269,0.9620423,M_Hermes,0.03470781,0.001710609,0,0.001454153,deuteron,k+,hermes,NA
42,27.6,0.03752505,0.643301182255363,0.6870043,1.250269,0.09937384,M_Hermes,0.01655648,0.003240553,0,0.001563494,deuteron,k+,hermes,NA
43,27.6,0.03752505,0.643301182255363,0.6779828,1.250269,0.2049178,M_Hermes,0.03320929,0.005081962,0,0.005783475,deuteron,k+,hermes,NA
44,27.6,0.03752505,0.643301182255363,0.6907183,1.250269,0.3031859,M_Hermes,0.05152713,0.005075539,0,0.00733164,deuteron,k+,hermes,NA
45,27.6,0.03752505,0.643301182255363,0.6875323,1.250269,0.4008691,M_Hermes,0.06675237,0.005134104,0,0.01085736,deuteron,k+,hermes,NA
46,27.6,0.03752505,0.643301182255363,0.6834627,1.250269,0.5245277,M_Hermes,0.06880983,0.004025241,0,0.01117198,deuteron,k+,hermes,NA
47,27.6,0.03752505,0.643301182255363,0.6843887,1.250269,0.6934108,M_Hermes,0.05662756,0.003067173,0,0.004845258,deuteron,k+,hermes,NA
48,27.6,0.03752505,0.643301182255363,0.6877501,1.250269,0.9473112,M_Hermes,0.01984803,0.001239553,0,0.001697671,deuteron,k+,hermes,NA
49,27.6,0.03752366,0.643388301812006,0.8621949,1.250392,0.09052268,M_Hermes,0.003350734,0.0009679583,0,0.000327807,deuteron,k+,hermes,NA
50,27.6,0.03752505,0.643301182255363,0.8710017,1.250269,0.2064343,M_Hermes,0.007775319,0.001739432,0,0.001367958,deuteron,k+,hermes,NA
51,27.6,0.03752505,0.643301182255363,0.8588867,1.250269,0.3046386,M_Hermes,0.01475764,0.003180959,0,0.002114498,deuteron,k+,hermes,NA
52,27.6,0.03752505,0.643301182255363,0.8650545,1.250269,0.3948715,M_Hermes,0.01005762,0.001958469,0,0.001635741,deuteron,k+,hermes,NA
53,27.6,0.03752505,0.643301182255363,0.857317,1.250269,0.5310786,M_Hermes,0.01983574,0.002476201,0,0.003221164,deuteron,k+,hermes,NA
54,27.6,0.03752505,0.643301182255363,0.8680753,1.250269,0.6550281,M_Hermes,0.008010685,0.001010889,0,0.0006914086,deuteron,k+,hermes,NA
55,27.6,0.03752505,0.643301182255363,0.8566343,1.250269,0.9068226,M_Hermes,0.008843173,0.000980958,0,0.0007626343,deuteron,k+,hermes,NA
56,27.6,0.06102772,0.479995291852701,0.1471318,1.517162,0.1016115,M_Hermes,0.4231075,0.01917424,0,0.04059978,deuteron,k+,hermes,NA
57,27.6,0.06102772,0.479995291852701,0.1497116,1.517162,0.2091402,M_Hermes,0.7901212,0.02785505,0,0.1222964,deuteron,k+,hermes,NA
58,27.6,0.06102772,0.479995291852701,0.1495268,1.517162,0.3146287,M_Hermes,0.9893097,0.03058161,0,0.3168738,deuteron,k+,hermes,NA
59,27.6,0.06102772,0.479995291852701,0.1488407,1.517162,0.4147802,M_Hermes,0.8418408,0.03055923,0,0.2312225,deuteron,k+,hermes,NA
60,27.6,0.06102772,0.479995291852701,0.1503946,1.517162,0.5440517,M_Hermes,0.5322296,0.0263331,0,0.127032,deuteron,k+,hermes,NA
61,27.6,0.06102772,0.479995291852701,0.1600321,1.517162,0.7418737,M_Hermes,0.2600713,0.02737283,0,0.08117516,deuteron,k+,hermes,NA
62,27.6,0.06102772,0.479995291852701,0.1512813,1.517162,0.8776806,M_Hermes,0.03128062,0.01532503,0,0.009765148,deuteron,k+,hermes,NA
63,27.6,0.06102772,0.479995291852701,0.224911,1.517162,0.1036215,M_Hermes,0.2768924,0.01443737,0,0.1355828,deuteron,k+,hermes,NA
64,27.6,0.06102772,0.479995291852701,0.2270507,1.517162,0.204768,M_Hermes,0.5675318,0.02516332,0,0.08109515,deuteron,k+,hermes,NA
65,27.6,0.06102772,0.479995291852701,0.2254875,1.517162,0.3011978,M_Hermes,0.6181061,0.02668631,0,0.05289534,deuteron,k+,hermes,NA
66,27.6,0.06102772,0.479995291852701,0.2282697,1.517162,0.403931,M_Hermes,0.515681,0.02285424,0,0.0426648,deuteron,k+,hermes,NA
67,27.6,0.06102772,0.479995291852701,0.2291847,1.517162,0.5312717,M_Hermes,0.3179051,0.0150751,0,0.1420938,deuteron,k+,hermes,NA
68,27.6,0.06102772,0.479995291852701,0.2344734,1.517162,0.7154376,M_Hermes,0.1430274,0.01099398,0,0.05273662,deuteron,k+,hermes,NA
69,27.6,0.06102772,0.479995291852701,0.2668098,1.517162,1.10883,M_Hermes,0.04041342,0.007445347,0,0.01490341,deuteron,k+,hermes,NA
70,27.6,0.06102772,0.479995291852701,0.2731193,1.517162,0.102454,M_Hermes,0.2313782,0.01203601,0,0.08440589,deuteron,k+,hermes,NA
71,27.6,0.06102772,0.479995291852701,0.2760305,1.517162,0.2042515,M_Hermes,0.4324592,0.02141394,0,0.1157206,deuteron,k+,hermes,NA
72,27.6,0.06102772,0.479995291852701,0.2764272,1.517162,0.3009767,M_Hermes,0.5452106,0.02352633,0,0.1491778,deuteron,k+,hermes,NA
