i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
0,11,0.074536,0.709799,0.322639,1.08784,0.131907,AUT,0,0.007096,0.070207,0.008139,proton,pi+,solid,NA
1,11,0.086186,0.64855,0.323604,1.153291,0.126587,AUT,0,0.006038,0.070207,0.008095,proton,pi+,solid,NA
2,11,0.094843,0.621338,0.323868,1.216082,0.127032,AUT,0,0.005682,0.070207,0.008063,proton,pi+,solid,NA
3,11,0.10364,0.602115,0.324005,1.287885,0.128515,AUT,0,0.005612,0.070207,0.008029,proton,pi+,solid,NA
4,11,0.112917,0.588037,0.324096,1.370406,0.130141,AUT,0,0.005882,0.070207,0.007991,proton,pi+,solid,NA
5,11,0.12348,0.575707,0.324188,1.467136,0.130966,AUT,0,0.005962,0.070207,0.007945,proton,pi+,solid,NA
6,11,0.136182,0.561835,0.3243,1.578939,0.131263,AUT,0,0.006284,0.070207,0.007886,proton,pi+,solid,NA
7,11,0.152898,0.52939,0.324417,1.669216,0.132157,AUT,0,0.007132,0.070207,0.007805,proton,pi+,solid,NA
8,11,0.190197,0.454082,0.324637,1.765535,0.135214,AUT,0,0.009251,0.070207,0.007621,proton,pi+,solid,NA
9,11,0.273755,0.334321,0.324289,1.886563,0.152806,AUT,0,0.133651,0.070207,0.00724,proton,pi+,solid,NA
10,11,0.065994,0.803839,0.323307,1.091445,0.30403,AUT,0,0.006319,0.070207,0.008175,proton,pi+,solid,NA
11,11,0.07584,0.732822,0.324003,1.146723,0.29649,AUT,0,0.007426,0.070207,0.008136,proton,pi+,solid,NA
12,11,0.082808,0.699139,0.324134,1.194719,0.294513,AUT,0,0.00642,0.070207,0.00811,proton,pi+,solid,NA
13,11,0.089277,0.673194,0.324159,1.240357,0.29339,AUT,0,0.005701,0.070207,0.008086,proton,pi+,solid,NA
14,11,0.095363,0.652905,0.324143,1.28503,0.292931,AUT,0,0.005256,0.070207,0.008063,proton,pi+,solid,NA
15,11,0.101246,0.635686,0.324143,1.328359,0.292963,AUT,0,0.00482,0.070207,0.00804,proton,pi+,solid,NA
16,11,0.107087,0.617977,0.324171,1.365857,0.292987,AUT,0,0.004714,0.070207,0.008016,proton,pi+,solid,NA
17,11,0.113035,0.600705,0.324189,1.401411,0.29275,AUT,0,0.004602,0.070207,0.00799,proton,pi+,solid,NA
18,11,0.119232,0.58156,0.324248,1.43111,0.292767,AUT,0,0.004584,0.070207,0.007963,proton,pi+,solid,NA
19,11,0.125754,0.562159,0.324329,1.459018,0.292948,AUT,0,0.004574,0.070207,0.007933,proton,pi+,solid,NA
20,11,0.13293,0.541719,0.324385,1.48618,0.293505,AUT,0,0.004624,0.070207,0.007899,proton,pi+,solid,NA
21,11,0.140826,0.520998,0.324372,1.514164,0.294419,AUT,0,0.004876,0.070207,0.007862,proton,pi+,solid,NA
22,11,0.149796,0.495032,0.324399,1.530201,0.296276,AUT,0,0.005111,0.070207,0.007818,proton,pi+,solid,NA
23,11,0.160539,0.467864,0.324427,1.549897,0.298826,AUT,0,0.005706,0.070207,0.007766,proton,pi+,solid,NA
24,11,0.173944,0.439705,0.324404,1.577923,0.302781,AUT,0,0.006427,0.070207,0.0077,proton,pi+,solid,NA
25,11,0.193115,0.405744,0.324362,1.615895,0.307841,AUT,0,0.007741,0.070207,0.007607,proton,pi+,solid,NA
26,11,0.231923,0.359125,0.324312,1.712173,0.31257,AUT,0,0.010475,0.070207,0.007426,proton,pi+,solid,NA
27,11,0.291118,0.317771,0.324161,1.909145,0.310411,AUT,0,0.086596,0.070207,0.007167,proton,pi+,solid,NA
28,11,0.067993,0.805572,0.324827,1.125707,0.485134,AUT,0,0.006143,0.070207,0.008168,proton,pi+,solid,NA
29,11,0.082618,0.722336,0.324832,1.230807,0.485131,AUT,0,0.005784,0.070207,0.008112,proton,pi+,solid,NA
30,11,0.094369,0.680566,0.324714,1.325005,0.485523,AUT,0,0.005156,0.070207,0.008068,proton,pi+,solid,NA
31,11,0.105921,0.647896,0.32473,1.415816,0.485617,AUT,0,0.004879,0.070207,0.008021,proton,pi+,solid,NA
32,11,0.118059,0.603973,0.324698,1.47076,0.48558,AUT,0,0.00475,0.070207,0.007968,proton,pi+,solid,NA
33,11,0.132273,0.551277,0.324737,1.50368,0.485278,AUT,0,0.004588,0.070207,0.007902,proton,pi+,solid,NA
34,11,0.150472,0.490694,0.324684,1.521726,0.484379,AUT,0,0.005103,0.070207,0.007814,proton,pi+,solid,NA
35,11,0.175137,0.424163,0.324705,1.530143,0.482873,AUT,0,0.007167,0.070207,0.007693,proton,pi+,solid,NA
36,11,0.215429,0.366021,0.324802,1.62199,0.481072,AUT,0,0.010369,0.070207,0.007501,proton,pi+,solid,NA
37,11,0.270235,0.326455,0.324916,1.819403,0.481154,AUT,0,0.025608,0.070207,0.007255,proton,pi+,solid,NA
38,11,0.080254,0.737791,0.325113,1.209752,0.680804,AUT,0,0.005846,0.070207,0.00812,proton,pi+,solid,NA
39,11,0.112383,0.617943,0.325007,1.426909,0.679845,AUT,0,0.005552,0.070207,0.007992,proton,pi+,solid,NA
40,11,0.156566,0.478566,0.325158,1.529662,0.676874,AUT,0,0.00675,0.070207,0.007783,proton,pi+,solid,NA
41,11,0.222791,0.375296,0.325603,1.718547,0.663251,AUT,0,0.014945,0.070207,0.007467,proton,pi+,solid,NA
42,11,0.112305,0.629746,0.327479,1.390156,0.858669,AUT,0,0.009607,0.070207,0.007979,proton,pi+,solid,NA
43,11,0.078962,0.672878,0.372959,1.092805,0.131358,AUT,0,0.005901,0.070207,0.008093,proton,pi+,solid,NA
44,11,0.092726,0.61465,0.373666,1.17579,0.127127,AUT,0,0.005521,0.070207,0.008042,proton,pi+,solid,NA
45,11,0.104034,0.586918,0.373909,1.259976,0.127888,AUT,0,0.005421,0.070207,0.007998,proton,pi+,solid,NA
46,11,0.115837,0.569209,0.374013,1.360738,0.129525,AUT,0,0.005607,0.070207,0.007949,proton,pi+,solid,NA
47,11,0.129026,0.556253,0.374124,1.481198,0.130783,AUT,0,0.005963,0.070207,0.00789,proton,pi+,solid,NA
