i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
39,27.6,0.03752505,0.643301182255363,0.5414914,1.250269,0.5311465,M_Hermes,0.5057751,0.01069428,0,0.09526136,deuteron,pi+,hermes,NA
40,27.6,0.03752505,0.643301182255363,0.5415266,1.250269,0.7024082,M_Hermes,0.3378932,0.007121245,0,0.03289643,deuteron,pi+,hermes,NA
41,27.6,0.03752505,0.643301182255363,0.5447605,1.250269,0.9563616,M_Hermes,0.1162167,0.002659306,0,0.01092913,deuteron,pi+,hermes,NA
42,27.6,0.03752505,0.643301182255363,0.69273,1.250269,0.1009989,M_Hermes,0.05456164,0.003886206,0,0.007112834,deuteron,pi+,hermes,NA
43,27.6,0.03752505,0.643301182255363,0.6961966,1.250269,0.2052945,M_Hermes,0.153269,0.00650943,0,0.02734651,deuteron,pi+,hermes,NA
44,27.6,0.03752505,0.643301182255363,0.6909164,1.250269,0.3035252,M_Hermes,0.2138847,0.0067743,0,0.0435698,deuteron,pi+,hermes,NA
45,27.6,0.03752505,0.643301182255363,0.6877514,1.250269,0.4015778,M_Hermes,0.2267411,0.006851237,0,0.04691579,deuteron,pi+,hermes,NA
46,27.6,0.03752505,0.643301182255363,0.6882443,1.250269,0.5260225,M_Hermes,0.1918787,0.004927928,0,0.03471485,deuteron,pi+,hermes,NA
47,27.6,0.03752505,0.643301182255363,0.6838881,1.250269,0.6936255,M_Hermes,0.1524426,0.003913501,0,0.01528789,deuteron,pi+,hermes,NA
48,27.6,0.03752505,0.643301182255363,0.6884675,1.250269,0.9510005,M_Hermes,0.06193996,0.001636963,0,0.006175585,deuteron,pi+,hermes,NA
49,27.6,0.03752505,0.643301182255363,0.874357,1.250269,0.09260683,M_Hermes,0.01530788,0.00108866,0,0.00200161,deuteron,pi+,hermes,NA
50,27.6,0.03752505,0.643301182255363,0.8810219,1.250269,0.1989952,M_Hermes,0.03551669,0.002058421,0,0.006332205,deuteron,pi+,hermes,NA
51,27.6,0.03752505,0.643301182255363,0.8732069,1.250269,0.2986359,M_Hermes,0.02933786,0.001980039,0,0.005967718,deuteron,pi+,hermes,NA
52,27.6,0.03752505,0.643301182255363,0.8661959,1.250269,0.401832,M_Hermes,0.02481357,0.001842193,0,0.005147015,deuteron,pi+,hermes,NA
53,27.6,0.03752505,0.643301182255363,0.8636786,1.250269,0.517069,M_Hermes,0.02085158,0.00162494,0,0.003775386,deuteron,pi+,hermes,NA
54,27.6,0.03752505,0.643301182255363,0.8615321,1.250269,0.6780825,M_Hermes,0.01598938,0.001281851,0,0.001605825,deuteron,pi+,hermes,NA
55,27.6,0.03752505,0.643301182255363,0.8590686,1.250269,0.9588761,M_Hermes,0.008471815,0.0008591861,0,0.0008468602,deuteron,pi+,hermes,NA
56,27.6,0.06102772,0.479995291852701,0.1443742,1.517162,0.104801,M_Hermes,3.856427,0.04322701,0,0.6404616,deuteron,pi+,hermes,NA
57,27.6,0.06102772,0.479995291852701,0.1467474,1.517162,0.2108918,M_Hermes,7.921337,0.06597386,0,0.8702843,deuteron,pi+,hermes,NA
58,27.6,0.06102772,0.479995291852701,0.1488969,1.517162,0.3129125,M_Hermes,8.465892,0.06568872,0,0.6636322,deuteron,pi+,hermes,NA
59,27.6,0.06102772,0.479995291852701,0.1517834,1.517162,0.4190171,M_Hermes,6.494294,0.06272875,0,0.4664906,deuteron,pi+,hermes,NA
60,27.6,0.06102772,0.479995291852701,0.1546776,1.517162,0.5550229,M_Hermes,3.654731,0.05162258,0,0.3720247,deuteron,pi+,hermes,NA
61,27.6,0.06102772,0.479995291852701,0.1584326,1.517162,0.7420438,M_Hermes,1.348925,0.05072907,0,0.2445954,deuteron,pi+,hermes,NA
62,27.6,0.06102866,0.480071104569412,0.1667968,1.517425,0.9803013,M_Hermes,0.204376,0.04473387,0,0.03710858,deuteron,pi+,hermes,NA
63,27.6,0.06102772,0.479995291852701,0.2247847,1.517162,0.1011647,M_Hermes,1.790476,0.03017169,0,0.1519995,deuteron,pi+,hermes,NA
64,27.6,0.06102772,0.479995291852701,0.225657,1.517162,0.2053781,M_Hermes,3.816956,0.05355981,0,0.1499373,deuteron,pi+,hermes,NA
65,27.6,0.06102772,0.479995291852701,0.2275699,1.517162,0.3057087,M_Hermes,4.502077,0.05968682,0,0.1648335,deuteron,pi+,hermes,NA
66,27.6,0.06102772,0.479995291852701,0.2285505,1.517162,0.4073006,M_Hermes,3.916133,0.05300161,0,0.1632115,deuteron,pi+,hermes,NA
67,27.6,0.06102772,0.479995291852701,0.231555,1.517162,0.5321468,M_Hermes,2.525937,0.03488023,0,0.05686017,deuteron,pi+,hermes,NA
