i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
14,27.6,0.072,0.671,0.236,2.361,0.39,AUT,0.0387,0.0255,0,0.0018,proton,pi0,hermes,z
15,27.6,0.081,0.623,0.304,2.414,0.42,AUT,-0.0006,0.0196,0,0.0014,proton,pi0,hermes,z
16,27.6,0.087,0.587,0.374,2.447,0.446,AUT,0.0325,0.0189,0,0.0044,proton,pi0,hermes,z
17,27.6,0.093,0.558,0.448,2.486,0.464,AUT,0.0487,0.018,0,0.0077,proton,pi0,hermes,z
18,27.6,0.098,0.531,0.523,2.531,0.472,AUT,0.0239,0.0208,0,0.0109,proton,pi0,hermes,z
19,27.6,0.102,0.511,0.593,2.552,0.488,AUT,0.0162,0.0231,0,0.0134,proton,pi0,hermes,z
20,27.6,0.106,0.495,0.663,2.583,0.495,AUT,0.1001,0.0264,0,0.017,proton,pi0,hermes,z
