i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
0,27.6,0.03752505,0.643301182255363,0.1519976,1.250269,0.1107234,M_Hermes,3.889816,0.04910913,0,0.5273999,deuteron,pi-,hermes,NA
1,27.6,0.03752505,0.643301182255363,0.1538399,1.250269,0.2216789,M_Hermes,7.74835,0.06094666,0,0.4965339,deuteron,pi-,hermes,NA
2,27.6,0.03752505,0.643301182255363,0.1552639,1.250269,0.3270037,M_Hermes,8.614843,0.05956393,0,0.8337088,deuteron,pi-,hermes,NA
3,27.6,0.03752505,0.643301182255363,0.1579656,1.250269,0.4383999,M_Hermes,7.040695,0.06003686,0,0.8840889,deuteron,pi-,hermes,NA
4,27.6,0.03752505,0.643301182255363,0.1600849,1.250269,0.577428,M_Hermes,4.358895,0.05104697,0,0.5434803,deuteron,pi-,hermes,NA
5,27.6,0.03752505,0.643301182255363,0.165578,1.250269,0.7804701,M_Hermes,1.682686,0.05154773,0,0.1333441,deuteron,pi-,hermes,NA
6,27.6,0.03752505,0.643301182255363,0.170867,1.250269,1.042909,M_Hermes,0.3464875,0.05680621,0,0.02738106,deuteron,pi-,hermes,NA
7,27.6,0.03752505,0.643301182255363,0.2294398,1.250269,0.1046564,M_Hermes,1.607095,0.04650115,0,0.3953339,deuteron,pi-,hermes,NA
8,27.6,0.03752505,0.643301182255363,0.2334364,1.250269,0.213071,M_Hermes,3.595631,0.06425711,0,0.5176352,deuteron,pi-,hermes,NA
9,27.6,0.03752505,0.643301182255363,0.2338915,1.250269,0.3151613,M_Hermes,4.209695,0.06085733,0,0.3469731,deuteron,pi-,hermes,NA
10,27.6,0.03752505,0.643301182255363,0.2369812,1.250269,0.4228169,M_Hermes,3.815388,0.05256066,0,0.2744164,deuteron,pi-,hermes,NA
11,27.6,0.03752505,0.643301182255363,0.2389495,1.250269,0.5544828,M_Hermes,2.680225,0.03606551,0,0.1051149,deuteron,pi-,hermes,NA
12,27.6,0.03752505,0.643301182255363,0.2429691,1.250269,0.7408377,M_Hermes,1.189203,0.02417618,0,0.06813854,deuteron,pi-,hermes,NA
13,27.6,0.03752505,0.643301182255363,0.2567773,1.250269,1.062438,M_Hermes,0.2334719,0.01442555,0,0.01356958,deuteron,pi-,hermes,NA
14,27.6,0.03752505,0.643301182255363,0.2779576,1.250269,0.1028189,M_Hermes,1.025136,0.03856932,0,0.2832283,deuteron,pi-,hermes,NA
15,27.6,0.03752505,0.643301182255363,0.2813551,1.250269,0.2094052,M_Hermes,2.256821,0.05188435,0,0.4289485,deuteron,pi-,hermes,NA
16,27.6,0.03752505,0.643301182255363,0.2854558,1.250269,0.3148921,M_Hermes,2.766574,0.05440011,0,0.3513878,deuteron,pi-,hermes,NA
17,27.6,0.03752505,0.643301182255363,0.2867932,1.250269,0.4183916,M_Hermes,2.656528,0.04769571,0,0.2316405,deuteron,pi-,hermes,NA
18,27.6,0.03752505,0.643301182255363,0.2880971,1.250269,0.5462103,M_Hermes,2.039496,0.03164275,0,0.1762882,deuteron,pi-,hermes,NA
19,27.6,0.03752505,0.643301182255363,0.2927297,1.250269,0.7302418,M_Hermes,0.9891488,0.0193547,0,0.08679153,deuteron,pi-,hermes,NA
20,27.6,0.03752505,0.643301182255363,0.3002335,1.250269,1.017473,M_Hermes,0.2338757,0.008750518,0,0.02067647,deuteron,pi-,hermes,NA
21,27.6,0.03752505,0.643301182255363,0.335001,1.250269,0.09968262,M_Hermes,0.5782864,0.02430481,0,0.02091688,deuteron,pi-,hermes,NA
22,27.6,0.03752505,0.643301182255363,0.3420836,1.250269,0.2091559,M_Hermes,1.322294,0.0335628,0,0.297172,deuteron,pi-,hermes,NA
