i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
0,27.6,0.03758844,0.641937899435683,0.1492554,1.249727,0.1067939,M_Hermes,0.3051428,0.02131771,0,0.02944266,proton,k-,hermes,NA
1,27.6,0.03758844,0.641937899435683,0.1511672,1.249727,0.213508,M_Hermes,0.6212497,0.02676667,0,0.03197122,proton,k-,hermes,NA
2,27.6,0.03758844,0.641937899435683,0.1518241,1.249727,0.3168185,M_Hermes,0.7556105,0.02597213,0,0.03875802,proton,k-,hermes,NA
3,27.6,0.03758844,0.641937899435683,0.151976,1.249727,0.4237499,M_Hermes,0.6751837,0.02674908,0,0.02986723,proton,k-,hermes,NA
4,27.6,0.03758844,0.641937899435683,0.1526828,1.249727,0.5546972,M_Hermes,0.4855115,0.02397416,0,0.02012344,proton,k-,hermes,NA
5,27.6,0.03758844,0.641937899435683,0.155791,1.249727,0.7346679,M_Hermes,0.1755755,0.0231866,0,0.005411024,proton,k-,hermes,NA
6,27.6,0.03758863,0.64208823893154,0.1478494,1.250026,0.8994808,M_Hermes,0.006235925,0.0187349,0,0.0001899785,proton,k-,hermes,NA
7,27.6,0.03758844,0.641937899435683,0.2296836,1.249727,0.1042003,M_Hermes,0.1464346,0.01829461,0,0.005096087,proton,k-,hermes,NA
8,27.6,0.03758844,0.641937899435683,0.2252717,1.249727,0.2044803,M_Hermes,0.4157178,0.0279749,0,0.01530398,proton,k-,hermes,NA
9,27.6,0.03758844,0.641937899435683,0.2328072,1.249727,0.3144368,M_Hermes,0.4338104,0.02633766,0,0.01213569,proton,k-,hermes,NA
10,27.6,0.03758844,0.641937899435683,0.2333894,1.249727,0.4157519,M_Hermes,0.4113761,0.02401234,0,0.008973832,proton,k-,hermes,NA
11,27.6,0.03758844,0.641937899435683,0.2332827,1.249727,0.5441331,M_Hermes,0.2917126,0.0152712,0,0.00850275,proton,k-,hermes,NA
