i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
0,27.6,0.03758844,0.641937899435683,0.1522018,1.249727,0.1105712,M_Hermes,4.398481,0.0575923,0,0.3502936,proton,pi+,hermes,NA
1,27.6,0.03758844,0.641937899435683,0.154622,1.249727,0.2217933,M_Hermes,8.759948,0.07195339,0,0.3143965,proton,pi+,hermes,NA
2,27.6,0.03758844,0.641937899435683,0.1560952,1.249727,0.327693,M_Hermes,9.660459,0.07069932,0,0.5892676,proton,pi+,hermes,NA
3,27.6,0.03758844,0.641937899435683,0.159801,1.249727,0.4409912,M_Hermes,7.843414,0.07098244,0,0.5820321,proton,pi+,hermes,NA
4,27.6,0.03758844,0.641937899435683,0.1624893,1.249727,0.5817642,M_Hermes,4.778433,0.05917073,0,0.3199156,proton,pi+,hermes,NA
5,27.6,0.03758844,0.641937899435683,0.1678483,1.249727,0.792604,M_Hermes,1.816914,0.05938146,0,0.09732278,proton,pi+,hermes,NA
6,27.6,0.03758844,0.641937899435683,0.1928145,1.249727,1.188888,M_Hermes,0.233611,0.05825108,0,0.01268427,proton,pi+,hermes,NA
7,27.6,0.03758844,0.641937899435683,0.2295056,1.249727,0.1030673,M_Hermes,2.244343,0.05731148,0,0.04568058,proton,pi+,hermes,NA
8,27.6,0.03758844,0.641937899435683,0.2340181,1.249727,0.2126745,M_Hermes,4.108003,0.07584694,0,0.2288256,proton,pi+,hermes,NA
9,27.6,0.03758844,0.641937899435683,0.2356541,1.249727,0.3168787,M_Hermes,5.008332,0.07431604,0,0.1559328,proton,pi+,hermes,NA
10,27.6,0.03758844,0.641937899435683,0.2376523,1.249727,0.4233895,M_Hermes,4.733753,0.06526297,0,0.07204921,proton,pi+,hermes,NA
11,27.6,0.03758844,0.641937899435683,0.241739,1.249727,0.559272,M_Hermes,3.224837,0.04425583,0,0.0625259,proton,pi+,hermes,NA
12,27.6,0.03758844,0.641937899435683,0.2479694,1.249727,0.7537638,M_Hermes,1.324373,0.02904978,0,0.05430494,proton,pi+,hermes,NA
13,27.6,0.03758844,0.641937899435683,0.2632606,1.249727,1.082,M_Hermes,0.2659796,0.01738906,0,0.01206328,proton,pi+,hermes,NA
14,27.6,0.03758844,0.641937899435683,0.277677,1.249727,0.1029642,M_Hermes,1.235922,0.04732051,0,0.04861841,proton,pi+,hermes,NA
15,27.6,0.03758844,0.641937899435683,0.2836573,1.249727,0.2109934,M_Hermes,2.711537,0.06425884,0,0.1027097,proton,pi+,hermes,NA
16,27.6,0.03758844,0.641937899435683,0.284629,1.249727,0.3130165,M_Hermes,3.219059,0.06512536,0,0.1263213,proton,pi+,hermes,NA
17,27.6,0.03758844,0.641937899435683,0.2877546,1.249727,0.4189956,M_Hermes,3.281044,0.05862157,0,0.1200799,proton,pi+,hermes,NA
18,27.6,0.03758844,0.641937899435683,0.2907836,1.249727,0.550485,M_Hermes,2.465992,0.03846587,0,0.06599792,proton,pi+,hermes,NA
19,27.6,0.03758844,0.641937899435683,0.2974947,1.249727,0.7397019,M_Hermes,1.09478,0.0232244,0,0.04578264,proton,pi+,hermes,NA
20,27.6,0.03758844,0.641937899435683,0.3072802,1.249727,1.037783,M_Hermes,0.2272818,0.009951389,0,0.01047607,proton,pi+,hermes,NA
21,27.6,0.03758844,0.641937899435683,0.3362224,1.249727,0.1042253,M_Hermes,0.7750976,0.03141158,0,0.05641663,proton,pi+,hermes,NA
22,27.6,0.03758844,0.641937899435683,0.3423433,1.249727,0.2076161,M_Hermes,1.650349,0.040979,0,0.09840671,proton,pi+,hermes,NA
23,27.6,0.03758844,0.641937899435683,0.3437677,1.249727,0.3105868,M_Hermes,1.983833,0.04108793,0,0.1211118,proton,pi+,hermes,NA
24,27.6,0.03758844,0.641937899435683,0.3460258,1.249727,0.4137805,M_Hermes,2.152717,0.04121599,0,0.1206081,proton,pi+,hermes,NA
25,27.6,0.03758844,0.641937899435683,0.3496685,1.249727,0.5444205,M_Hermes,1.687232,0.02598778,0,0.0810132,proton,pi+,hermes,NA
26,27.6,0.03758844,0.641937899435683,0.3548945,1.249727,0.723579,M_Hermes,0.904126,0.01601695,0,0.05212905,proton,pi+,hermes,NA
27,27.6,0.03758844,0.641937899435683,0.360385,1.249727,0.9972845,M_Hermes,0.2078226,0.005986739,0,0.01215522,proton,pi+,hermes,NA
28,27.6,0.03758844,0.641937899435683,0.4218557,1.249727,0.09982441,M_Hermes,0.3853336,0.01861634,0,0.03709504,proton,pi+,hermes,NA
29,27.6,0.03758844,0.641937899435683,0.4256206,1.249727,0.2067432,M_Hermes,0.8370742,0.02631391,0,0.06965969,proton,pi+,hermes,NA
30,27.6,0.03758844,0.641937899435683,0.4297563,1.249727,0.3092288,M_Hermes,1.102652,0.02646648,0,0.09026769,proton,pi+,hermes,NA
31,27.6,0.03758844,0.641937899435683,0.4297738,1.249727,0.4094817,M_Hermes,1.148115,0.02595521,0,0.09442826,proton,pi+,hermes,NA
32,27.6,0.03758844,0.641937899435683,0.4325416,1.249727,0.5355523,M_Hermes,1.041669,0.01873286,0,0.07013874,proton,pi+,hermes,NA
33,27.6,0.03758844,0.641937899435683,0.4359502,1.249727,0.7101796,M_Hermes,0.6300927,0.01117427,0,0.05322527,proton,pi+,hermes,NA
34,27.6,0.03758844,0.641937899435683,0.4414493,1.249727,0.9746915,M_Hermes,0.1773205,0.004192903,0,0.01503451,proton,pi+,hermes,NA
35,27.6,0.03758844,0.641937899435683,0.5334359,1.249727,0.1030419,M_Hermes,0.1864647,0.0114619,0,0.0173026,proton,pi+,hermes,NA
36,27.6,0.03758844,0.641937899435683,0.5370032,1.249727,0.2055688,M_Hermes,0.4160929,0.01709015,0,0.05790516,proton,pi+,hermes,NA
37,27.6,0.03758844,0.641937899435683,0.5377358,1.249727,0.3056045,M_Hermes,0.5467943,0.0166188,0,0.05340309,proton,pi+,hermes,NA
38,27.6,0.03758844,0.641937899435683,0.5421495,1.249727,0.4083209,M_Hermes,0.5739435,0.01650444,0,0.05412963,proton,pi+,hermes,NA
39,27.6,0.03758844,0.641937899435683,0.5419208,1.249727,0.5321106,M_Hermes,0.5183662,0.01157805,0,0.0432701,proton,pi+,hermes,NA
40,27.6,0.03758844,0.641937899435683,0.5442552,1.249727,0.7035105,M_Hermes,0.3815261,0.008463532,0,0.03142291,proton,pi+,hermes,NA
41,27.6,0.03758844,0.641937899435683,0.5456988,1.249727,0.9611047,M_Hermes,0.1247706,0.002969468,0,0.00988091,proton,pi+,hermes,NA
42,27.6,0.03758844,0.641937899435683,0.6918871,1.249727,0.10028,M_Hermes,0.06791228,0.004461012,0,0.005860907,proton,pi+,hermes,NA
43,27.6,0.03758844,0.641937899435683,0.6945797,1.249727,0.2037743,M_Hermes,0.151455,0.007098093,0,0.01634061,proton,pi+,hermes,NA
44,27.6,0.03758844,0.641937899435683,0.6895546,1.249727,0.3006263,M_Hermes,0.2163805,0.007618241,0,0.01795227,proton,pi+,hermes,NA
45,27.6,0.03758844,0.641937899435683,0.6884266,1.249727,0.4009616,M_Hermes,0.2630001,0.008126062,0,0.02443072,proton,pi+,hermes,NA
46,27.6,0.03758844,0.641937899435683,0.6875906,1.249727,0.5234161,M_Hermes,0.2207993,0.005743167,0,0.01748933,proton,pi+,hermes,NA
47,27.6,0.03758844,0.641937899435683,0.6888948,1.249727,0.6944425,M_Hermes,0.1541157,0.004178244,0,0.01432282,proton,pi+,hermes,NA
48,27.6,0.03758844,0.641937899435683,0.6915313,1.249727,0.9509999,M_Hermes,0.0719919,0.001905074,0,0.006714713,proton,pi+,hermes,NA
49,27.6,0.03758844,0.641937899435683,0.8865441,1.249727,0.09783861,M_Hermes,0.01690712,0.001243486,0,0.001473954,proton,pi+,hermes,NA
50,27.6,0.03758844,0.641937899435683,0.8832255,1.249727,0.1995942,M_Hermes,0.03948312,0.002364752,0,0.004299907,proton,pi+,hermes,NA
