x	xu	dxu	xd	dxd	xub	dxub	xdb	dxdb
1.009253E-04	-3.628976E-04	6.164837E-04	2.708184E-03	4.118725E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.018591E-04	-3.646030E-04	6.156426E-04	2.713868E-03	4.112237E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.028016E-04	-3.663167E-04	6.148040E-04	2.719566E-03	4.105756E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.037528E-04	-3.680389E-04	6.139678E-04	2.725278E-03	4.099283E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.047129E-04	-3.697696E-04	6.131341E-04	2.731003E-03	4.092818E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.056818E-04	-3.715090E-04	6.123029E-04	2.736743E-03	4.086362E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.066596E-04	-3.732570E-04	6.114742E-04	2.742497E-03	4.079913E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.076465E-04	-3.750137E-04	6.106482E-04	2.748266E-03	4.073474E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.086426E-04	-3.767793E-04	6.098249E-04	2.754050E-03	4.067044E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.096478E-04	-3.785538E-04	6.090042E-04	2.759849E-03	4.060623E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.106624E-04	-3.803373E-04	6.081864E-04	2.765664E-03	4.054212E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.116863E-04	-3.821298E-04	6.073713E-04	2.771495E-03	4.047812E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.127197E-04	-3.839314E-04	6.065590E-04	2.777341E-03	4.041421E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.137627E-04	-3.857422E-04	6.057495E-04	2.783203E-03	4.035039E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.148154E-04	-3.875621E-04	6.049427E-04	2.789081E-03	4.028667E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.158777E-04	-3.893912E-04	6.041386E-04	2.794974E-03	4.022304E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.169499E-04	-3.912295E-04	6.033371E-04	2.800882E-03	4.015949E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.180321E-04	-3.930771E-04	6.025382E-04	2.806805E-03	4.009603E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.191242E-04	-3.949338E-04	6.017418E-04	2.812743E-03	4.003265E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.202264E-04	-3.967999E-04	6.009480E-04	2.818696E-03	3.996934E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.213389E-04	-3.986752E-04	6.001566E-04	2.824663E-03	3.990610E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.224616E-04	-4.005598E-04	5.993676E-04	2.830645E-03	3.984294E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.235947E-04	-4.024538E-04	5.985810E-04	2.836641E-03	3.977984E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.247384E-04	-4.043571E-04	5.977967E-04	2.842651E-03	3.971680E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.258925E-04	-4.062698E-04	5.970148E-04	2.848675E-03	3.965382E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.270574E-04	-4.081918E-04	5.962351E-04	2.854712E-03	3.959090E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.282331E-04	-4.101233E-04	5.954575E-04	2.860763E-03	3.952804E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.294196E-04	-4.120642E-04	5.946822E-04	2.866828E-03	3.946522E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.306171E-04	-4.140145E-04	5.939090E-04	2.872905E-03	3.940245E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.318257E-04	-4.159742E-04	5.931378E-04	2.878996E-03	3.933972E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.330454E-04	-4.179435E-04	5.923687E-04	2.885099E-03	3.927704E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.342765E-04	-4.199222E-04	5.916016E-04	2.891214E-03	3.921439E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.355189E-04	-4.219104E-04	5.908365E-04	2.897342E-03	3.915177E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.367729E-04	-4.239081E-04	5.900732E-04	2.903482E-03	3.908919E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.380384E-04	-4.259154E-04	5.893118E-04	2.909634E-03	3.902663E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.393157E-04	-4.279322E-04	5.885523E-04	2.915798E-03	3.896410E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.406048E-04	-4.299586E-04	5.877945E-04	2.921973E-03	3.890159E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.419058E-04	-4.319945E-04	5.870385E-04	2.928159E-03	3.883909E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.432188E-04	-4.340403E-04	5.862846E-04	2.934359E-03	3.877664E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.445440E-04	-4.360963E-04	5.855331E-04	2.940573E-03	3.871425E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.458814E-04	-4.381624E-04	5.847840E-04	2.946802E-03	3.865192E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.472313E-04	-4.402388E-04	5.840372E-04	2.953045E-03	3.858964E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.485936E-04	-4.423254E-04	5.832927E-04	2.959302E-03	3.852742E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.499685E-04	-4.444222E-04	5.825505E-04	2.965574E-03	3.846526E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.513561E-04	-4.465293E-04	5.818105E-04	2.971859E-03	3.840314E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.527566E-04	-4.486468E-04	5.810727E-04	2.978159E-03	3.834107E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.541700E-04	-4.507745E-04	5.803371E-04	2.984472E-03	3.827904E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.555966E-04	-4.529127E-04	5.796037E-04	2.990799E-03	3.821706E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.570363E-04	-4.550612E-04	5.788724E-04	2.997139E-03	3.815511E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.584893E-04	-4.572202E-04	5.781431E-04	3.003493E-03	3.809321E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.599558E-04	-4.593896E-04	5.774159E-04	3.009859E-03	3.803134E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.614359E-04	-4.615695E-04	5.766908E-04	3.016239E-03	3.796950E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.629296E-04	-4.637599E-04	5.759676E-04	3.022632E-03	3.790769E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.644372E-04	-4.659608E-04	5.752464E-04	3.029037E-03	3.784591E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.659587E-04	-4.681722E-04	5.745272E-04	3.035455E-03	3.778415E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.674943E-04	-4.703943E-04	5.738098E-04	3.041885E-03	3.772242E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.690441E-04	-4.726269E-04	5.730943E-04	3.048328E-03	3.766071E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.706082E-04	-4.748701E-04	5.723807E-04	3.054782E-03	3.759902E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.721869E-04	-4.771240E-04	5.716689E-04	3.061249E-03	3.753734E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.737801E-04	-4.793885E-04	5.709588E-04	3.067727E-03	3.747568E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.753881E-04	-4.816637E-04	5.702505E-04	3.074216E-03	3.741403E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.770109E-04	-4.839496E-04	5.695439E-04	3.080717E-03	3.735238E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.786488E-04	-4.862463E-04	5.688390E-04	3.087230E-03	3.729075E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.803018E-04	-4.885536E-04	5.681357E-04	3.093753E-03	3.722911E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.819701E-04	-4.908718E-04	5.674340E-04	3.100287E-03	3.716748E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.836538E-04	-4.932009E-04	5.667342E-04	3.106833E-03	3.710586E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.853532E-04	-4.955412E-04	5.660363E-04	3.113391E-03	3.704427E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.870682E-04	-4.978926E-04	5.653404E-04	3.119961E-03	3.698269E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.887991E-04	-5.002553E-04	5.646463E-04	3.126544E-03	3.692112E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.905461E-04	-5.026292E-04	5.639542E-04	3.133140E-03	3.685958E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.923092E-04	-5.050145E-04	5.632641E-04	3.139747E-03	3.679806E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.940886E-04	-5.074112E-04	5.625758E-04	3.146368E-03	3.673656E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.958845E-04	-5.098193E-04	5.618895E-04	3.153000E-03	3.667507E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.976970E-04	-5.122390E-04	5.612052E-04	3.159646E-03	3.661361E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.995262E-04	-5.146702E-04	5.605228E-04	3.166304E-03	3.655217E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.013724E-04	-5.171130E-04	5.598423E-04	3.172975E-03	3.649075E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.032357E-04	-5.195675E-04	5.591639E-04	3.179658E-03	3.642935E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.051162E-04	-5.220337E-04	5.584873E-04	3.186354E-03	3.636797E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.070141E-04	-5.245117E-04	5.578128E-04	3.193064E-03	3.630661E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.089296E-04	-5.270016E-04	5.571402E-04	3.199786E-03	3.624527E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.108628E-04	-5.295034E-04	5.564695E-04	3.206521E-03	3.618395E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.128139E-04	-5.320171E-04	5.558009E-04	3.213269E-03	3.612265E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.147830E-04	-5.345429E-04	5.551342E-04	3.220030E-03	3.606138E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.167704E-04	-5.370807E-04	5.544695E-04	3.226804E-03	3.600013E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.187762E-04	-5.396307E-04	5.538068E-04	3.233591E-03	3.593890E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.208005E-04	-5.421929E-04	5.531461E-04	3.240391E-03	3.587769E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.228435E-04	-5.447674E-04	5.524873E-04	3.247205E-03	3.581650E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.249055E-04	-5.473541E-04	5.518306E-04	3.254032E-03	3.575534E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.269865E-04	-5.499533E-04	5.511758E-04	3.260872E-03	3.569420E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.290868E-04	-5.525649E-04	5.505231E-04	3.267726E-03	3.563308E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.312065E-04	-5.551890E-04	5.498723E-04	3.274593E-03	3.557199E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.333458E-04	-5.578254E-04	5.492234E-04	3.281472E-03	3.551090E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.355049E-04	-5.604720E-04	5.485740E-04	3.288348E-03	3.544965E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.376840E-04	-5.631284E-04	5.479239E-04	3.295218E-03	3.538823E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.398833E-04	-5.657952E-04	5.472735E-04	3.302086E-03	3.532666E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.421029E-04	-5.684725E-04	5.466231E-04	3.308954E-03	3.526496E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.443431E-04	-5.711610E-04	5.459732E-04	3.315823E-03	3.520317E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.466039E-04	-5.738609E-04	5.453240E-04	3.322696E-03	3.514131E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.488857E-04	-5.765727E-04	5.446759E-04	3.329576E-03	3.507940E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.511886E-04	-5.792968E-04	5.440294E-04	3.336465E-03	3.501747E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.535129E-04	-5.820337E-04	5.433846E-04	3.343366E-03	3.495555E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.558586E-04	-5.847837E-04	5.427421E-04	3.350280E-03	3.489366E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.582260E-04	-5.875474E-04	5.421022E-04	3.357211E-03	3.483184E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.606154E-04	-5.903253E-04	5.414651E-04	3.364162E-03	3.477009E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.630268E-04	-5.931177E-04	5.408314E-04	3.371134E-03	3.470846E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.654606E-04	-5.959252E-04	5.402013E-04	3.378130E-03	3.464696E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.679168E-04	-5.987482E-04	5.395753E-04	3.385154E-03	3.458563E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.703958E-04	-6.015873E-04	5.389536E-04	3.392207E-03	3.452448E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.728978E-04	-6.044430E-04	5.383367E-04	3.399293E-03	3.446355E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.754229E-04	-6.073159E-04	5.377249E-04	3.406415E-03	3.440286E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.779713E-04	-6.102063E-04	5.371185E-04	3.413575E-03	3.434243E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.805434E-04	-6.131150E-04	5.365180E-04	3.420776E-03	3.428229E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.831392E-04	-6.160425E-04	5.359237E-04	3.428021E-03	3.422248E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.857591E-04	-6.189893E-04	5.353359E-04	3.435314E-03	3.416300E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.884032E-04	-6.219560E-04	5.347551E-04	3.442656E-03	3.410390E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.910717E-04	-6.249432E-04	5.341816E-04	3.450052E-03	3.404519E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2.937650E-04	-6.279516E-04	5.336157E-04	3.457504E-03	3.398689E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
