# Q2	x	y	z	pT	obs	target	hadron	value	stat	syst
2.3610E+00	7.2000E-02	6.7100E-01	2.3600E-01	3.9000E-01	AUTcollins	proton	pi0	-3.6000E-02	2.0700E-02	1.3900E-02
2.4140E+00	8.1000E-02	6.2300E-01	3.0400E-01	4.2000E-01	AUTcollins	proton	pi0	1.8500E-02	1.7400E-02	1.7000E-02
2.4470E+00	8.7000E-02	5.8700E-01	3.7400E-01	4.4600E-01	AUTcollins	proton	pi0	-8.0000E-04	1.8000E-02	2.0200E-02
2.4860E+00	9.3000E-02	5.5800E-01	4.4800E-01	4.6400E-01	AUTcollins	proton	pi0	-2.8200E-02	1.7900E-02	2.3600E-02
2.5310E+00	9.8000E-02	5.3100E-01	5.2300E-01	4.7200E-01	AUTcollins	proton	pi0	-1.1100E-02	2.1800E-02	2.7000E-02
2.5520E+00	1.0200E-01	5.1100E-01	5.9300E-01	4.8800E-01	AUTcollins	proton	pi0	-1.6600E-02	2.4700E-02	3.0300E-02
2.5830E+00	1.0600E-01	4.9500E-01	6.6300E-01	4.9500E-01	AUTcollins	proton	pi0	-5.4100E-02	2.8700E-02	3.3400E-02
