# Q2	x	y	z	pT	obs	target	hadron	value	stat	syst
2.4540E+00	1.0600E-01	4.6200E-01	3.3700E-01	1.1000E-01	AUTcollins	proton	pi-	-1.3400E-02	8.4000E-03	1.3800E-02
2.4450E+00	1.0200E-01	4.9300E-01	3.4600E-01	2.1100E-01	AUTcollins	proton	pi-	-1.9200E-02	9.6000E-03	1.2100E-02
2.3930E+00	9.6000E-02	5.2500E-01	3.5000E-01	2.9000E-01	AUTcollins	proton	pi-	-2.4600E-02	9.5000E-03	1.0700E-02
2.3140E+00	8.9000E-02	5.5600E-01	3.4800E-01	3.6900E-01	AUTcollins	proton	pi-	-8.3000E-03	8.8000E-03	9.3000E-03
2.2690E+00	8.3000E-02	5.8600E-01	3.4900E-01	4.8800E-01	AUTcollins	proton	pi-	-2.3600E-02	6.3000E-03	7.2000E-03
2.2650E+00	7.9000E-02	6.1900E-01	3.7100E-01	6.7000E-01	AUTcollins	proton	pi-	-3.5400E-02	8.1000E-03	3.9000E-03
2.2240E+00	7.2000E-02	6.5800E-01	4.3300E-01	9.5100E-01	AUTcollins	proton	pi-	-3.6400E-02	1.3200E-02	8.0000E-04
