# Q2	x	y	z	pT	obs	target	hadron	value	stat	syst
1.2780E+00	3.5000E-02	7.0800E-01	3.3000E-01	4.8400E-01	AUTcollins	proton	pi-	7.0000E-04	7.7000E-03	5.3000E-03
1.6290E+00	5.5000E-02	5.7000E-01	3.5000E-01	4.0300E-01	AUTcollins	proton	pi-	-2.3400E-02	7.4000E-03	5.0000E-03
2.0110E+00	7.6000E-02	5.1200E-01	3.6000E-01	3.6700E-01	AUTcollins	proton	pi-	-3.4000E-03	8.9000E-03	4.8000E-03
2.4510E+00	9.8000E-02	4.8100E-01	3.6700E-01	3.5200E-01	AUTcollins	proton	pi-	-2.3200E-02	8.5000E-03	4.6000E-03
3.1920E+00	1.3300E-01	4.6200E-01	3.6900E-01	3.4400E-01	AUTcollins	proton	pi-	-1.2700E-02	8.4000E-03	4.2000E-03
4.2910E+00	1.8600E-01	4.4700E-01	3.6700E-01	3.4000E-01	AUTcollins	proton	pi-	-5.3100E-02	1.1500E-02	3.7000E-03
6.1250E+00	2.7500E-01	4.3000E-01	3.6300E-01	3.5400E-01	AUTcollins	proton	pi-	-7.5200E-02	1.6000E-02	2.7000E-03
