Q2	x	y	z	pT	obs	target	hadron	value	error
2.393	0.081	0.617	0.234	0.366	AUTsivers	proton	k-	-0.0004	0.022734335266288302
2.38	0.086	0.58	0.303	0.401	AUTsivers	proton	k-	0.0166	0.024957764322951683
2.385	0.091	0.553	0.373	0.429	AUTsivers	proton	k-	0.0192	0.028629530209208814
2.32	0.091	0.536	0.448	0.45	AUTsivers	proton	k-	0.0621	0.032163644072150784
2.294	0.091	0.534	0.523	0.463	AUTsivers	proton	k-	0.084	0.04167109309821378
2.325	0.092	0.53	0.591	0.479	AUTsivers	proton	k-	0.0128	0.05078936896634964
2.329	0.094	0.513	0.662	0.493	AUTsivers	proton	k-	0.0817	0.06891922808621699
