# Q2	x	y	z	pT	obs	target	hadron	value	stat	syst
2.5330E+00	1.0900E-01	4.6000E-01	3.4100E-01	1.1000E-01	AUTcollins	proton	pi+	1.4000E-02	7.1000E-03	5.0000E-03
2.5300E+00	1.0600E-01	4.9000E-01	3.5000E-01	2.1100E-01	AUTcollins	proton	pi+	1.8500E-02	8.0000E-03	4.2000E-03
2.4860E+00	1.0000E-01	5.1900E-01	3.5500E-01	2.9000E-01	AUTcollins	proton	pi+	1.3200E-02	8.0000E-03	3.6000E-03
2.4150E+00	9.3000E-02	5.4900E-01	3.5500E-01	3.7000E-01	AUTcollins	proton	pi+	1.0000E-02	7.5000E-03	3.0000E-03
2.3420E+00	8.6000E-02	5.8000E-01	3.6000E-01	4.8800E-01	AUTcollins	proton	pi+	1.0700E-02	5.5000E-03	2.2000E-03
2.3030E+00	8.0000E-02	6.1600E-01	3.8800E-01	6.6900E-01	AUTcollins	proton	pi+	1.4200E-02	6.9000E-03	1.2000E-03
2.2620E+00	7.3000E-02	6.5800E-01	4.5300E-01	9.5400E-01	AUTcollins	proton	pi+	2.1400E-02	1.1000E-02	1.9000E-03
