Q2	x	y	z	pT	obs	target	hadron	value	error
2.533	0.109	0.46	0.341	0.11	AUTsivers	proton	pi+	0.0039	0.00876184911990614
2.53	0.106	0.49	0.35	0.211	AUTsivers	proton	pi+	0.0233	0.007783315488916019
2.486	0.1	0.519	0.355	0.29	AUTsivers	proton	pi+	0.0334	0.0073334848469196415
2.415	0.093	0.549	0.355	0.37	AUTsivers	proton	pi+	0.0594	0.007495331880577404
2.342	0.086	0.58	0.36	0.488	AUTsivers	proton	pi+	0.0602	0.007516648189186455
2.303	0.08	0.616	0.388	0.669	AUTsivers	proton	pi+	0.063	0.012140016474453402
2.262	0.073	0.658	0.453	0.954	AUTsivers	proton	pi+	0.0632	0.02052997808084558
