# Q2	x	y	z	pT	obs	target	hadron	value	stat	syst
2.4230E+00	8.6000E-02	5.9200E-01	2.3400E-01	3.4600E-01	AUTcollins	proton	pi+	6.0000E-03	4.8000E-03	8.8000E-03
2.4280E+00	9.4000E-02	5.5100E-01	3.0300E-01	3.7700E-01	AUTcollins	proton	pi+	6.7000E-03	5.7000E-03	8.5000E-03
2.4250E+00	9.7000E-02	5.2800E-01	3.7300E-01	4.0300E-01	AUTcollins	proton	pi+	1.8200E-02	6.8000E-03	8.2000E-03
2.4180E+00	9.9000E-02	5.1400E-01	4.4700E-01	4.2900E-01	AUTcollins	proton	pi+	1.0600E-02	7.8000E-03	7.9000E-03
2.4110E+00	1.0000E-01	5.0400E-01	5.2300E-01	4.5300E-01	AUTcollins	proton	pi+	1.4400E-02	1.0000E-02	7.6000E-03
2.4000E+00	1.0100E-01	4.9400E-01	5.9300E-01	4.6500E-01	AUTcollins	proton	pi+	3.6200E-02	1.1900E-02	7.3000E-03
2.3850E+00	1.0300E-01	4.7800E-01	6.6300E-01	4.6500E-01	AUTcollins	proton	pi+	3.4900E-02	1.4000E-02	7.1000E-03
