i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
0,27.6,0.037525,0.643301,0.347080,1.250269,0.414066,M_Hermes,1.943873,0.035407,0.000000,0.293931,deuteron,pi+,hermes,NA
1,27.6,0.037525,0.643301,0.425202,1.250269,0.104036,M_Hermes,0.374976,0.017709,0.000000,0.043296,deuteron,pi+,hermes,NA
2,27.6,0.037525,0.643301,0.425189,1.250269,0.205678,M_Hermes,0.778755,0.023882,0.000000,0.126397,deuteron,pi+,hermes,NA
3,27.6,0.037525,0.643301,0.429880,1.250269,0.410015,M_Hermes,1.120654,0.023560,0.000000,0.212310,deuteron,pi+,hermes,NA
4,27.6,0.037525,0.643301,0.431242,1.250269,0.533489,M_Hermes,0.928535,0.016244,0.000000,0.150520,deuteron,pi+,hermes,NA
5,27.6,0.037525,0.643301,0.534110,1.250269,0.102891,M_Hermes,0.136168,0.009121,0.000000,0.019195,deuteron,pi+,hermes,NA
6,27.6,0.037525,0.643301,0.534863,1.250269,0.206493,M_Hermes,0.369908,0.014722,0.000000,0.069829,deuteron,pi+,hermes,NA
7,27.6,0.037525,0.643301,0.536975,1.250269,0.304885,M_Hermes,0.493521,0.014559,0.000000,0.093251,deuteron,pi+,hermes,NA
8,27.6,0.037525,0.643301,0.541491,1.250269,0.531146,M_Hermes,0.505775,0.010694,0.000000,0.095261,deuteron,pi+,hermes,NA
9,27.6,0.037525,0.643301,0.541527,1.250269,0.702408,M_Hermes,0.337893,0.007121,0.000000,0.032896,deuteron,pi+,hermes,NA
10,27.6,0.037525,0.643301,0.692730,1.250269,0.100999,M_Hermes,0.054562,0.003886,0.000000,0.007113,deuteron,pi+,hermes,NA
11,27.6,0.037525,0.643301,0.696197,1.250269,0.205294,M_Hermes,0.153269,0.006509,0.000000,0.027347,deuteron,pi+,hermes,NA
12,27.6,0.037525,0.643301,0.690916,1.250269,0.303525,M_Hermes,0.213885,0.006774,0.000000,0.043570,deuteron,pi+,hermes,NA
