i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
0,27.6,0.095738,0.367180,0.873366,1.820673,0.203708,M_Hermes,0.017692,0.001464,0.000000,0.000637,proton,k+,hermes,NA
1,27.6,0.095738,0.367180,0.873748,1.820673,0.298843,M_Hermes,0.019207,0.001681,0.000000,0.008316,proton,k+,hermes,NA
2,27.6,0.095738,0.367180,0.875038,1.820673,0.400620,M_Hermes,0.020176,0.001768,0.000000,0.004980,proton,k+,hermes,NA
3,27.6,0.152207,0.364756,0.687918,2.875440,0.101330,M_Hermes,0.027238,0.002427,0.000000,0.008213,proton,k+,hermes,NA
4,27.6,0.152207,0.364756,0.686365,2.875440,0.202779,M_Hermes,0.047192,0.004314,0.000000,0.014248,proton,k+,hermes,NA
5,27.6,0.152207,0.364756,0.686313,2.875440,0.300816,M_Hermes,0.074043,0.005246,0.000000,0.027104,proton,k+,hermes,NA
6,27.6,0.152207,0.364756,0.685256,2.875440,0.400946,M_Hermes,0.083525,0.005821,0.000000,0.015762,proton,k+,hermes,NA
7,27.6,0.152207,0.364756,0.683518,2.875440,0.521224,M_Hermes,0.078625,0.004396,0.000000,0.003591,proton,k+,hermes,NA
8,27.6,0.152207,0.364756,0.883366,2.875440,0.099870,M_Hermes,0.007986,0.001007,0.000000,0.000270,proton,k+,hermes,NA
9,27.6,0.152207,0.364756,0.881545,2.875440,0.205983,M_Hermes,0.019524,0.002103,0.000000,0.000684,proton,k+,hermes,NA
10,27.6,0.152207,0.364756,0.872350,2.875440,0.299515,M_Hermes,0.020966,0.002459,0.000000,0.007663,proton,k+,hermes,NA
11,27.6,0.152207,0.364756,0.873957,2.875440,0.399359,M_Hermes,0.022177,0.002297,0.000000,0.004175,proton,k+,hermes,NA
12,27.6,0.253881,0.398601,0.421451,5.241270,0.100876,M_Hermes,0.094080,0.008131,0.000000,0.014799,proton,k+,hermes,NA
13,27.6,0.253881,0.398601,0.418051,5.241270,0.204607,M_Hermes,0.228422,0.016444,0.000000,0.029938,proton,k+,hermes,NA
14,27.6,0.253881,0.398601,0.422058,5.241270,0.300548,M_Hermes,0.254735,0.019701,0.000000,0.085336,proton,k+,hermes,NA
15,27.6,0.253881,0.398601,0.533277,5.241270,0.099859,M_Hermes,0.057982,0.006364,0.000000,0.025713,proton,k+,hermes,NA
16,27.6,0.253881,0.398601,0.532999,5.241270,0.204506,M_Hermes,0.145885,0.012799,0.000000,0.023785,proton,k+,hermes,NA
17,27.6,0.253881,0.398601,0.533886,5.241270,0.299169,M_Hermes,0.163625,0.015040,0.000000,0.009135,proton,k+,hermes,NA
18,27.6,0.253881,0.398601,0.533723,5.241270,0.402085,M_Hermes,0.163848,0.015210,0.000000,0.036552,proton,k+,hermes,NA
19,27.6,0.253881,0.398601,0.535205,5.241270,0.525715,M_Hermes,0.138234,0.011471,0.000000,0.049727,proton,k+,hermes,NA
20,27.6,0.253881,0.398601,0.537266,5.241270,0.691692,M_Hermes,0.110320,0.009492,0.000000,0.046968,proton,k+,hermes,NA
21,27.6,0.253881,0.398601,0.690941,5.241270,0.103655,M_Hermes,0.028726,0.004351,0.000000,0.012221,proton,k+,hermes,NA
22,27.6,0.253881,0.398601,0.686991,5.241270,0.202875,M_Hermes,0.058540,0.008005,0.000000,0.024929,proton,k+,hermes,NA
23,27.6,0.253881,0.398601,0.686418,5.241270,0.300337,M_Hermes,0.088620,0.009630,0.000000,0.037788,proton,k+,hermes,NA
24,27.6,0.253881,0.398601,0.685207,5.241270,0.400903,M_Hermes,0.081768,0.010249,0.000000,0.034865,proton,k+,hermes,NA
25,27.6,0.253881,0.398601,0.685593,5.241270,0.524753,M_Hermes,0.067867,0.006537,0.000000,0.033835,proton,k+,hermes,NA
26,27.6,0.253881,0.398601,0.687567,5.241270,0.687972,M_Hermes,0.052712,0.004752,0.000000,0.023115,proton,k+,hermes,NA
27,27.6,0.253881,0.398601,0.693756,5.241270,0.941348,M_Hermes,0.019277,0.002269,0.000000,0.008453,proton,k+,hermes,NA
28,27.6,0.253881,0.398601,0.878475,5.241270,0.101611,M_Hermes,0.007468,0.001622,0.000000,0.003268,proton,k+,hermes,NA
29,27.6,0.253881,0.398601,0.877275,5.241270,0.200775,M_Hermes,0.016209,0.003300,0.000000,0.007096,proton,k+,hermes,NA
30,27.6,0.253881,0.398601,0.869776,5.241270,0.304395,M_Hermes,0.021755,0.003661,0.000000,0.009535,proton,k+,hermes,NA
31,27.6,0.410056,0.433812,0.331518,9.213259,0.104719,M_Hermes,0.139010,0.042501,0.000000,0.019650,proton,k+,hermes,NA
32,27.6,0.410056,0.433812,0.335937,9.213259,0.203887,M_Hermes,0.426315,0.084243,0.000000,0.061116,proton,k+,hermes,NA
