i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
0,27.6,0.037588,0.641938,0.346026,1.249727,0.413780,M_Hermes,2.152717,0.041216,0.000000,0.120608,proton,pi+,hermes,NA
1,27.6,0.037588,0.641938,0.421856,1.249727,0.099824,M_Hermes,0.385334,0.018616,0.000000,0.037095,proton,pi+,hermes,NA
2,27.6,0.037588,0.641938,0.425621,1.249727,0.206743,M_Hermes,0.837074,0.026314,0.000000,0.069660,proton,pi+,hermes,NA
3,27.6,0.037588,0.641938,0.429774,1.249727,0.409482,M_Hermes,1.148115,0.025955,0.000000,0.094428,proton,pi+,hermes,NA
4,27.6,0.037588,0.641938,0.432542,1.249727,0.535552,M_Hermes,1.041669,0.018733,0.000000,0.070139,proton,pi+,hermes,NA
5,27.6,0.037588,0.641938,0.533436,1.249727,0.103042,M_Hermes,0.186465,0.011462,0.000000,0.017303,proton,pi+,hermes,NA
6,27.6,0.037588,0.641938,0.537003,1.249727,0.205569,M_Hermes,0.416093,0.017090,0.000000,0.057905,proton,pi+,hermes,NA
7,27.6,0.037588,0.641938,0.537736,1.249727,0.305605,M_Hermes,0.546794,0.016619,0.000000,0.053403,proton,pi+,hermes,NA
8,27.6,0.037588,0.641938,0.541921,1.249727,0.532111,M_Hermes,0.518366,0.011578,0.000000,0.043270,proton,pi+,hermes,NA
9,27.6,0.037588,0.641938,0.544255,1.249727,0.703511,M_Hermes,0.381526,0.008464,0.000000,0.031423,proton,pi+,hermes,NA
10,27.6,0.037588,0.641938,0.691887,1.249727,0.100280,M_Hermes,0.067912,0.004461,0.000000,0.005861,proton,pi+,hermes,NA
11,27.6,0.037588,0.641938,0.694580,1.249727,0.203774,M_Hermes,0.151455,0.007098,0.000000,0.016341,proton,pi+,hermes,NA
12,27.6,0.037588,0.641938,0.689555,1.249727,0.300626,M_Hermes,0.216381,0.007618,0.000000,0.017952,proton,pi+,hermes,NA
13,27.6,0.037588,0.641938,0.688427,1.249727,0.400962,M_Hermes,0.263000,0.008126,0.000000,0.024431,proton,pi+,hermes,NA
14,27.6,0.037588,0.641938,0.688895,1.249727,0.694442,M_Hermes,0.154116,0.004178,0.000000,0.014323,proton,pi+,hermes,NA
15,27.6,0.037588,0.641938,0.691531,1.249727,0.951000,M_Hermes,0.071992,0.001905,0.000000,0.006715,proton,pi+,hermes,NA
16,27.6,0.037588,0.641938,0.886544,1.249727,0.097839,M_Hermes,0.016907,0.001243,0.000000,0.001474,proton,pi+,hermes,NA
17,27.6,0.037588,0.641938,0.883225,1.249727,0.199594,M_Hermes,0.039483,0.002365,0.000000,0.004300,proton,pi+,hermes,NA
18,27.6,0.037588,0.641938,0.875423,1.249727,0.301923,M_Hermes,0.037851,0.002549,0.000000,0.003175,proton,pi+,hermes,NA
19,27.6,0.037588,0.641938,0.869965,1.249727,0.396269,M_Hermes,0.032534,0.002476,0.000000,0.003035,proton,pi+,hermes,NA
20,27.6,0.037588,0.641938,0.865588,1.249727,0.520925,M_Hermes,0.029001,0.001901,0.000000,0.002262,proton,pi+,hermes,NA
21,27.6,0.037588,0.641938,0.860055,1.249727,0.696021,M_Hermes,0.027486,0.001990,0.000000,0.002639,proton,pi+,hermes,NA
22,27.6,0.037588,0.641938,0.872479,1.249727,0.937592,M_Hermes,0.009875,0.000868,0.000000,0.000948,proton,pi+,hermes,NA
23,27.6,0.061098,0.477175,0.333928,1.509975,0.101678,M_Hermes,0.856606,0.016530,0.000000,0.062325,proton,pi+,hermes,NA
24,27.6,0.061098,0.477175,0.336059,1.509975,0.203648,M_Hermes,1.609826,0.027783,0.000000,0.073902,proton,pi+,hermes,NA
25,27.6,0.061098,0.477175,0.420689,1.509975,0.100095,M_Hermes,0.415196,0.009427,0.000000,0.041328,proton,pi+,hermes,NA
26,27.6,0.061098,0.477175,0.421588,1.509975,0.204056,M_Hermes,0.860730,0.016820,0.000000,0.061007,proton,pi+,hermes,NA
