i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
0,27.6,0.095738,0.367180,0.856553,1.820673,0.292680,M_Hermes,0.000999,0.000488,0.000000,0.000413,proton,k-,hermes,NA
1,27.6,0.152207,0.364756,0.675377,2.875440,0.103990,M_Hermes,0.004963,0.000875,0.000000,0.002051,proton,k-,hermes,NA
2,27.6,0.152207,0.364756,0.672559,2.875440,0.205842,M_Hermes,0.008758,0.001710,0.000000,0.003620,proton,k-,hermes,NA
3,27.6,0.152207,0.364756,0.678727,2.875440,0.298867,M_Hermes,0.010989,0.001880,0.000000,0.004538,proton,k-,hermes,NA
4,27.6,0.152207,0.364756,0.676745,2.875440,0.398569,M_Hermes,0.015231,0.002312,0.000000,0.006293,proton,k-,hermes,NA
5,27.6,0.152207,0.364756,0.667861,2.875440,0.524189,M_Hermes,0.012138,0.001585,0.000000,0.005011,proton,k-,hermes,NA
6,27.6,0.152209,0.364189,0.848967,2.871010,0.084398,M_Hermes,0.000955,0.000500,0.000000,0.000394,proton,k-,hermes,NA
7,27.6,0.152243,0.365581,0.848703,2.882619,0.238707,M_Hermes,0.000336,0.000602,0.000000,0.000140,proton,k-,hermes,NA
8,27.6,0.152227,0.364948,0.841537,2.877344,0.316188,M_Hermes,0.002548,0.000732,0.000000,0.001053,proton,k-,hermes,NA
9,27.6,0.152207,0.364756,0.839339,2.875440,0.526352,M_Hermes,0.000554,0.000305,0.000000,0.000229,proton,k-,hermes,NA
10,27.6,0.152205,0.365137,0.809704,2.878411,0.671010,M_Hermes,0.000300,0.000274,0.000000,0.000124,proton,k-,hermes,NA
11,27.6,0.253919,0.398622,0.415793,5.242325,0.101857,M_Hermes,0.020750,0.003773,0.000000,0.008565,proton,k-,hermes,NA
12,27.6,0.253881,0.398601,0.421657,5.241270,0.200159,M_Hermes,0.059010,0.007499,0.000000,0.024362,proton,k-,hermes,NA
13,27.6,0.253881,0.398601,0.418742,5.241270,0.302702,M_Hermes,0.086632,0.010240,0.000000,0.035762,proton,k-,hermes,NA
14,27.6,0.253881,0.398601,0.528454,5.241270,0.090093,M_Hermes,0.009215,0.002104,0.000000,0.003804,proton,k-,hermes,NA
15,27.6,0.253881,0.398601,0.533438,5.241270,0.207690,M_Hermes,0.027446,0.004532,0.000000,0.011333,proton,k-,hermes,NA
16,27.6,0.253881,0.398601,0.530299,5.241270,0.308883,M_Hermes,0.019886,0.004942,0.000000,0.008206,proton,k-,hermes,NA
17,27.6,0.253881,0.398601,0.532391,5.241270,0.400769,M_Hermes,0.040488,0.006551,0.000000,0.016717,proton,k-,hermes,NA
18,27.6,0.253881,0.398601,0.528622,5.241270,0.520314,M_Hermes,0.039950,0.005212,0.000000,0.016512,proton,k-,hermes,NA
19,27.6,0.253881,0.398601,0.702704,5.241270,0.106780,M_Hermes,0.002491,0.001166,0.000000,0.001029,proton,k-,hermes,NA
20,27.6,0.253919,0.398622,0.683901,5.242325,0.204465,M_Hermes,0.002925,0.002260,0.000000,0.001241,proton,k-,hermes,NA
21,27.6,0.253881,0.398601,0.678222,5.241270,0.301886,M_Hermes,0.014115,0.003416,0.000000,0.005830,proton,k-,hermes,NA
22,27.6,0.253881,0.398601,0.661478,5.241270,0.396930,M_Hermes,0.008206,0.003113,0.000000,0.003393,proton,k-,hermes,NA
23,27.6,0.253881,0.398601,0.652654,5.241270,0.516482,M_Hermes,0.009904,0.002206,0.000000,0.004092,proton,k-,hermes,NA
24,27.6,0.253881,0.398601,0.685809,5.241270,0.669996,M_Hermes,0.007488,0.001636,0.000000,0.003091,proton,k-,hermes,NA
25,27.6,0.253881,0.398601,0.660626,5.241270,0.940493,M_Hermes,0.000974,0.000595,0.000000,0.000402,proton,k-,hermes,NA
26,27.6,0.253812,0.398299,0.854187,5.235876,0.196734,M_Hermes,0.001879,0.001626,0.000000,0.000798,proton,k-,hermes,NA
27,27.6,0.253881,0.398601,0.864262,5.241270,0.300914,M_Hermes,0.001620,0.001040,0.000000,0.000670,proton,k-,hermes,NA
28,27.6,0.253812,0.398299,0.838026,5.235876,0.697877,M_Hermes,0.000573,0.000454,0.000000,0.000237,proton,k-,hermes,NA
29,27.6,0.410056,0.433812,0.342262,9.213259,0.101139,M_Hermes,0.053477,0.023214,0.000000,0.022090,proton,k-,hermes,NA
30,27.6,0.410056,0.433812,0.332461,9.213259,0.194282,M_Hermes,0.263402,0.058609,0.000000,0.108825,proton,k-,hermes,NA
31,27.6,0.410544,0.433479,0.341050,9.217118,0.313843,M_Hermes,0.376501,0.236283,0.000000,0.155552,proton,k-,hermes,NA
32,27.6,0.409992,0.433856,0.344093,9.212750,0.406283,M_Hermes,0.074775,0.053963,0.000000,0.032610,proton,k-,hermes,NA
33,27.6,0.410056,0.433812,0.416007,9.213259,0.103102,M_Hermes,0.016698,0.011724,0.000000,0.006901,proton,k-,hermes,NA
34,27.6,0.410082,0.433565,0.400761,9.208596,0.206502,M_Hermes,0.070485,0.037587,0.000000,0.029129,proton,k-,hermes,NA
35,27.6,0.410056,0.433812,0.430999,9.213259,0.312217,M_Hermes,0.108026,0.037953,0.000000,0.046941,proton,k-,hermes,NA
36,27.6,0.410056,0.433812,0.405902,9.213259,0.403647,M_Hermes,0.067110,0.034473,0.000000,0.027714,proton,k-,hermes,NA
