# Q2	x	y	z	pT	obs	target	hadron	value	stat	syst
1.2810E+00	3.6000E-02	7.0700E-01	3.3600E-01	4.8900E-01	AUTcollins	proton	pi+	3.8000E-03	7.1000E-03	2.8000E-03
1.6310E+00	5.6000E-02	5.6900E-01	3.5600E-01	4.0900E-01	AUTcollins	proton	pi+	3.3000E-03	6.6000E-03	2.3000E-03
2.0170E+00	7.6000E-02	5.1300E-01	3.6700E-01	3.7200E-01	AUTcollins	proton	pi+	3.6000E-03	7.8000E-03	1.9000E-03
2.4670E+00	9.8000E-02	4.8400E-01	3.7600E-01	3.5600E-01	AUTcollins	proton	pi+	7.1000E-03	7.3000E-03	1.7000E-03
3.2030E+00	1.3300E-01	4.6400E-01	3.7900E-01	3.4400E-01	AUTcollins	proton	pi+	2.7900E-02	7.0000E-03	1.8000E-03
4.3210E+00	1.8600E-01	4.4900E-01	3.7900E-01	3.3900E-01	AUTcollins	proton	pi+	2.8900E-02	9.1000E-03	2.7000E-03
6.1790E+00	2.7500E-01	4.3400E-01	3.7500E-01	3.4400E-01	AUTcollins	proton	pi+	1.5000E-02	1.2300E-02	4.2000E-03
