# Q2	x	y	z	pT	obs	target	hadron	value	stat	systrel	systabs
2.7650E+00	1.9108E-01	7.0186E-01	3.3733E-01	3.0206E-01	AUT	proton	pi-	0.0000E+00	2.1194E-02	7.0207E-02	8.6710E-03
2.2178E+00	1.5400E-01	7.0200E-01	3.7517E-01	2.3894E-01	AUT	proton	pi-	0.0000E+00	9.0800E-03	7.0207E-02	8.8630E-03
2.6441E+00	1.9811E-01	6.4755E-01	3.7852E-01	2.2803E-01	AUT	proton	pi-	0.0000E+00	9.1030E-03	7.0207E-02	8.7180E-03
2.3871E+00	1.6712E-01	7.0080E-01	3.7640E-01	5.4447E-01	AUT	proton	pi-	0.0000E+00	8.5240E-03	7.0207E-02	8.8150E-03
2.9175E+00	2.3309E-01	6.0657E-01	3.8763E-01	5.4751E-01	AUT	proton	pi-	0.0000E+00	5.0379E-02	7.0207E-02	8.6140E-03
2.2009E+00	1.5941E-01	6.7352E-01	4.2364E-01	2.4021E-01	AUT	proton	pi-	0.0000E+00	9.1900E-03	7.0207E-02	8.9140E-03
2.4735E+00	1.9733E-01	6.0750E-01	4.2599E-01	2.2518E-01	AUT	proton	pi-	0.0000E+00	9.1680E-03	7.0207E-02	8.8010E-03
2.7776E+00	2.3490E-01	5.7369E-01	4.2869E-01	2.1944E-01	AUT	proton	pi-	0.0000E+00	1.5281E-02	7.0207E-02	8.6830E-03
2.3035E+00	1.6714E-01	6.7658E-01	4.2491E-01	5.5111E-01	AUT	proton	pi-	0.0000E+00	9.0550E-03	7.0207E-02	8.8860E-03
2.7237E+00	2.2293E-01	5.9320E-01	4.2755E-01	5.5025E-01	AUT	proton	pi-	0.0000E+00	1.3689E-02	7.0207E-02	8.7170E-03
2.2240E+00	1.6767E-01	6.4756E-01	4.7361E-01	2.4266E-01	AUT	proton	pi-	0.0000E+00	9.0620E-03	7.0207E-02	8.9600E-03
2.4652E+00	2.1086E-01	5.6717E-01	4.7496E-01	2.2571E-01	AUT	proton	pi-	0.0000E+00	9.3240E-03	7.0207E-02	8.8410E-03
2.7344E+00	2.5630E-01	5.1777E-01	4.7762E-01	2.2222E-01	AUT	proton	pi-	0.0000E+00	1.6137E-02	7.0207E-02	8.7160E-03
2.3093E+00	1.7348E-01	6.5488E-01	4.7446E-01	5.5422E-01	AUT	proton	pi-	0.0000E+00	9.3520E-03	7.0207E-02	8.9390E-03
2.6453E+00	2.3702E-01	5.4271E-01	4.7678E-01	5.5130E-01	AUT	proton	pi-	0.0000E+00	1.2543E-02	7.0207E-02	8.7670E-03
2.3864E+00	1.8771E-01	6.3119E-01	4.7587E-01	9.1013E-01	AUT	proton	pi-	0.0000E+00	1.7049E-02	7.0207E-02	8.9000E-03
2.2567E+00	1.7670E-01	6.2411E-01	5.2362E-01	2.4262E-01	AUT	proton	pi-	0.0000E+00	9.1470E-03	7.0207E-02	9.0190E-03
2.5103E+00	2.3477E-01	5.2050E-01	5.2476E-01	2.2833E-01	AUT	proton	pi-	0.0000E+00	9.3050E-03	7.0207E-02	8.8760E-03
2.8514E+00	3.0439E-01	4.5414E-01	5.2857E-01	2.4082E-01	AUT	proton	pi-	0.0000E+00	3.4866E-02	7.0207E-02	8.7310E-03
2.3305E+00	1.8143E-01	6.3371E-01	5.2429E-01	5.5590E-01	AUT	proton	pi-	0.0000E+00	9.6580E-03	7.0207E-02	9.0020E-03
2.6138E+00	2.5772E-01	4.9324E-01	5.2623E-01	5.5077E-01	AUT	proton	pi-	0.0000E+00	1.3233E-02	7.0207E-02	8.8230E-03
2.3726E+00	1.8942E-01	6.2366E-01	5.2472E-01	9.2083E-01	AUT	proton	pi-	0.0000E+00	1.5757E-02	7.0207E-02	8.9810E-03
2.2974E+00	1.8753E-01	5.9981E-01	5.7369E-01	2.4251E-01	AUT	proton	pi-	0.0000E+00	9.3850E-03	7.0207E-02	9.0990E-03
2.5351E+00	2.5837E-01	4.7846E-01	5.7460E-01	2.3542E-01	AUT	proton	pi-	0.0000E+00	1.0977E-02	7.0207E-02	8.9540E-03
2.3504E+00	1.9185E-01	6.0762E-01	5.7426E-01	5.5770E-01	AUT	proton	pi-	0.0000E+00	9.8020E-03	7.0207E-02	9.0860E-03
