# Q2	x	y	z	pT	obs	target	hadron	value	stat	syst
2.7310E+00	1.1100E-01	4.7500E-01	3.9100E-01	1.1300E-01	AUTcollins	proton	pi0	1.2000E-03	2.7600E-02	3.5500E-02
2.6490E+00	1.0300E-01	5.1700E-01	3.8400E-01	2.1200E-01	AUTcollins	proton	pi0	-4.2700E-02	3.1100E-02	3.0500E-02
2.5530E+00	9.5000E-02	5.5300E-01	3.8100E-01	2.9000E-01	AUTcollins	proton	pi0	-6.4600E-02	3.1200E-02	2.6500E-02
2.4560E+00	8.7000E-02	5.8700E-01	3.8100E-01	3.6900E-01	AUTcollins	proton	pi0	-4.3000E-02	2.8400E-02	2.2600E-02
2.3670E+00	8.0000E-02	6.2300E-01	3.8200E-01	4.9000E-01	AUTcollins	proton	pi0	-1.2800E-02	1.6000E-02	1.6600E-02
2.2800E+00	7.3000E-02	6.5500E-01	4.0400E-01	6.7300E-01	AUTcollins	proton	pi0	-4.4000E-03	1.6100E-02	7.5000E-03
2.2630E+00	7.0000E-02	6.7700E-01	4.6300E-01	9.5900E-01	AUTcollins	proton	pi0	-2.4800E-02	2.1100E-02	6.2000E-03
