Q2	x	y	z	pT	obs	target	hadron	value	error
1.38	0.206	0.326	0.647	0.232	AUTsivers	proton	pi+	0	0.014
1.429	0.188	0.369	0.623	0.785	AUTsivers	proton	pi+	0	0.091
1.487	0.182	0.397	0.606	0.905	AUTsivers	proton	pi+	0	1.721
1.657	0.11	0.734	0.345	0.111	AUTsivers	proton	pi+	0	0.021
1.676	0.107	0.763	0.347	0.521	AUTsivers	proton	pi+	0	0.009
1.677	0.107	0.763	0.347	0.669	AUTsivers	proton	pi+	0	0.011
1.679	0.107	0.765	0.347	0.819	AUTsivers	proton	pi+	0	0.014
1.681	0.106	0.768	0.347	0.968	AUTsivers	proton	pi+	0	0.018
1.684	0.106	0.772	0.348	1.116	AUTsivers	proton	pi+	0	0.025
1.686	0.106	0.773	0.35	1.263	AUTsivers	proton	pi+	0	0.039
1.682	0.105	0.775	0.353	1.41	AUTsivers	proton	pi+	0	0.068
1.729	0.149	0.567	0.347	0.102	AUTsivers	proton	pi+	0	0.01
1.74	0.147	0.583	0.347	0.52	AUTsivers	proton	pi+	0	0.007
1.744	0.146	0.587	0.348	0.668	AUTsivers	proton	pi+	0	0.009
1.747	0.145	0.59	0.347	0.817	AUTsivers	proton	pi+	0	0.012
1.753	0.144	0.596	0.348	0.966	AUTsivers	proton	pi+	0	0.016
1.769	0.142	0.61	0.35	1.112	AUTsivers	proton	pi+	0	0.025
1.793	0.135	0.645	0.354	1.256	AUTsivers	proton	pi+	0	0.047
1.849	0.129	0.694	0.36	1.398	AUTsivers	proton	pi+	0	0.116
1.732	0.209	0.405	0.347	0.103	AUTsivers	proton	pi+	0	0.012
1.736	0.208	0.407	0.349	0.519	AUTsivers	proton	pi+	0	0.009
1.738	0.208	0.408	0.348	0.668	AUTsivers	proton	pi+	0	0.012
1.749	0.206	0.414	0.348	0.812	AUTsivers	proton	pi+	0	0.017
1.804	0.197	0.445	0.351	0.951	AUTsivers	proton	pi+	0	0.035
1.904	0.188	0.491	0.358	1.086	AUTsivers	proton	pi+	0	0.125
1.733	0.269	0.313	0.347	0.1	AUTsivers	proton	pi+	0	0.013
1.747	0.267	0.318	0.348	0.517	AUTsivers	proton	pi+	0	0.011
1.776	0.263	0.328	0.347	0.66	AUTsivers	proton	pi+	0	0.017
1.869	0.252	0.359	0.352	0.79	AUTsivers	proton	pi+	0	0.045
1.968	0.243	0.393	0.372	0.908	AUTsivers	proton	pi+	0	0.77
1.643	0.111	0.72	0.445	0.109	AUTsivers	proton	pi+	0	0.029
1.668	0.108	0.751	0.446	0.233	AUTsivers	proton	pi+	0	0.013
1.677	0.107	0.763	0.447	0.669	AUTsivers	proton	pi+	0	0.013
1.679	0.107	0.765	0.447	0.818	AUTsivers	proton	pi+	0	0.016
1.682	0.106	0.768	0.446	0.967	AUTsivers	proton	pi+	0	0.022
1.685	0.106	0.771	0.446	1.115	AUTsivers	proton	pi+	0	0.03
1.682	0.106	0.77	0.446	1.264	AUTsivers	proton	pi+	0	0.044
1.68	0.106	0.77	0.446	1.411	AUTsivers	proton	pi+	0	0.069
1.726	0.15	0.566	0.447	0.101	AUTsivers	proton	pi+	0	0.013
1.728	0.15	0.566	0.447	0.228	AUTsivers	proton	pi+	0	0.008
1.739	0.147	0.582	0.448	0.668	AUTsivers	proton	pi+	0	0.01
1.743	0.146	0.586	0.448	0.816	AUTsivers	proton	pi+	0	0.013
1.749	0.146	0.591	0.447	0.966	AUTsivers	proton	pi+	0	0.019
1.761	0.143	0.602	0.447	1.114	AUTsivers	proton	pi+	0	0.029
1.784	0.138	0.63	0.447	1.26	AUTsivers	proton	pi+	0	0.048
1.822	0.131	0.673	0.447	1.403	AUTsivers	proton	pi+	0	0.095
1.731	0.209	0.404	0.448	0.103	AUTsivers	proton	pi+	0	0.014
1.729	0.209	0.403	0.449	0.23	AUTsivers	proton	pi+	0	0.008
1.737	0.208	0.407	0.449	0.667	AUTsivers	proton	pi+	0	0.012
1.749	0.206	0.413	0.449	0.813	AUTsivers	proton	pi+	0	0.018
1.793	0.199	0.438	0.449	0.953	AUTsivers	proton	pi+	0	0.035
1.882	0.189	0.482	0.449	1.095	AUTsivers	proton	pi+	0	0.104
1.982	0.183	0.526	0.436	1.22	AUTsivers	proton	pi+	0	1.217
1.737	0.268	0.315	0.448	0.103	AUTsivers	proton	pi+	0	0.015
1.741	0.268	0.316	0.448	0.23	AUTsivers	proton	pi+	0	0.009
1.784	0.262	0.33	0.449	0.659	AUTsivers	proton	pi+	0	0.018
1.863	0.252	0.358	0.448	0.795	AUTsivers	proton	pi+	0	0.048
1.961	0.244	0.39	0.442	0.916	AUTsivers	proton	pi+	0	0.398
1.633	0.112	0.709	0.545	0.106	AUTsivers	proton	pi+	0	0.038
1.665	0.108	0.746	0.546	0.236	AUTsivers	proton	pi+	0	0.018
1.677	0.107	0.765	0.546	0.818	AUTsivers	proton	pi+	0	0.02
1.678	0.107	0.766	0.547	0.967	AUTsivers	proton	pi+	0	0.027
1.678	0.106	0.768	0.546	1.115	AUTsivers	proton	pi+	0	0.038
1.68	0.106	0.769	0.547	1.265	AUTsivers	proton	pi+	0	0.056
1.685	0.107	0.769	0.546	1.415	AUTsivers	proton	pi+	0	0.085
1.723	0.15	0.562	0.547	0.099	AUTsivers	proton	pi+	0	0.015
1.722	0.151	0.561	0.547	0.23	AUTsivers	proton	pi+	0	0.009
1.728	0.15	0.567	0.547	0.374	AUTsivers	proton	pi+	0	0.009
1.738	0.147	0.579	0.548	0.817	AUTsivers	proton	pi+	0	0.015
1.742	0.147	0.584	0.549	0.965	AUTsivers	proton	pi+	0	0.022
1.757	0.144	0.599	0.547	1.113	AUTsivers	proton	pi+	0	0.034
1.783	0.137	0.633	0.546	1.259	AUTsivers	proton	pi+	0	0.059
1.818	0.13	0.681	0.544	1.406	AUTsivers	proton	pi+	0	0.126
1.73	0.209	0.403	0.548	0.101	AUTsivers	proton	pi+	0	0.016
1.726	0.21	0.401	0.548	0.232	AUTsivers	proton	pi+	0	0.009
1.728	0.21	0.401	0.549	0.371	AUTsivers	proton	pi+	0	0.009
1.754	0.205	0.416	0.548	0.811	AUTsivers	proton	pi+	0	0.02
1.805	0.197	0.445	0.545	0.951	AUTsivers	proton	pi+	0	0.041
1.893	0.187	0.49	0.541	1.088	AUTsivers	proton	pi+	0	0.141
1.999	0.184	0.528	0.553	1.202	AUTsivers	proton	pi+	0	2.981
1.746	0.267	0.318	0.548	0.103	AUTsivers	proton	pi+	0	0.018
1.743	0.267	0.317	0.547	0.231	AUTsivers	proton	pi+	0	0.01
1.746	0.267	0.318	0.549	0.371	AUTsivers	proton	pi+	0	0.01
1.965	0.242	0.393	0.519	0.912	AUTsivers	proton	pi+	0	0.943
1.622	0.113	0.697	0.622	0.103	AUTsivers	proton	pi+	0	0.071
1.654	0.11	0.729	0.619	0.236	AUTsivers	proton	pi+	0	0.036
1.66	0.109	0.737	0.618	0.376	AUTsivers	proton	pi+	0	0.029
1.673	0.108	0.75	0.618	0.966	AUTsivers	proton	pi+	0	0.053
1.669	0.108	0.752	0.617	1.113	AUTsivers	proton	pi+	0	0.077
1.669	0.107	0.755	0.617	1.265	AUTsivers	proton	pi+	0	0.117
1.681	0.108	0.757	0.617	1.415	AUTsivers	proton	pi+	0	0.183
1.708	0.154	0.544	0.641	0.099	AUTsivers	proton	pi+	0	0.019
1.708	0.154	0.543	0.641	0.231	AUTsivers	proton	pi+	0	0.012
1.71	0.154	0.544	0.641	0.373	AUTsivers	proton	pi+	0	0.011
1.737	0.15	0.569	0.638	0.963	AUTsivers	proton	pi+	0	0.028
1.763	0.143	0.601	0.632	1.109	AUTsivers	proton	pi+	0	0.05
1.786	0.134	0.647	0.627	1.252	AUTsivers	proton	pi+	0	0.101
1.857	0.128	0.702	0.622	1.394	AUTsivers	proton	pi+	0	0.269
1.732	0.209	0.404	0.648	0.099	AUTsivers	proton	pi+	0	0.018
1.728	0.21	0.402	0.647	0.232	AUTsivers	proton	pi+	0	0.011
1.728	0.21	0.402	0.648	0.373	AUTsivers	proton	pi+	0	0.01
1.933	0.185	0.507	0.618	1.072	AUTsivers	proton	pi+	0	0.388
1.749	0.267	0.318	0.647	0.1	AUTsivers	proton	pi+	0	0.021
1.748	0.267	0.318	0.646	0.231	AUTsivers	proton	pi+	0	0.012
1.763	0.265	0.323	0.644	0.371	AUTsivers	proton	pi+	0	0.012
2.035	0.118	0.835	0.341	0.126	AUTsivers	proton	pi+	0	0.186
2.035	0.118	0.836	0.344	0.233	AUTsivers	proton	pi+	0	0.073
2.035	0.118	0.836	0.348	0.671	AUTsivers	proton	pi+	0	0.071
2.036	0.118	0.836	0.347	0.82	AUTsivers	proton	pi+	0	0.088
2.034	0.118	0.836	0.349	0.967	AUTsivers	proton	pi+	0	0.113
2.032	0.118	0.836	0.349	1.115	AUTsivers	proton	pi+	0	0.154
2.032	0.118	0.836	0.347	1.261	AUTsivers	proton	pi+	0	0.238
2.027	0.118	0.833	0.342	1.42	AUTsivers	proton	pi+	0	0.385
2.301	0.158	0.707	0.346	0.103	AUTsivers	proton	pi+	0	0.013
