  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
42,11.0,0.101699,0.705987,0.327276,1.430350,0.869541,AUT,0.0,0.013067,0.070207,0.009006,proton,pi-,solid
43,11.0,0.077403,0.730463,0.372389,1.159078,0.134053,AUT,0.0,0.009506,0.070207,0.009122,proton,pi-,solid
44,11.0,0.097116,0.643111,0.372884,1.287773,0.129931,AUT,0.0,0.010205,0.070207,0.009118,proton,pi-,solid
45,11.0,0.112927,0.594383,0.373173,1.384158,0.128620,AUT,0.0,0.008730,0.070207,0.009091,proton,pi-,solid
46,11.0,0.128457,0.542458,0.373343,1.437003,0.127909,AUT,0.0,0.008243,0.070207,0.009051,proton,pi-,solid
47,11.0,0.145656,0.487440,0.373503,1.463677,0.128345,AUT,0.0,0.007334,0.070207,0.008997,proton,pi-,solid
48,11.0,0.167442,0.425836,0.373599,1.469002,0.129676,AUT,0.0,0.006088,0.070207,0.008920,proton,pi-,solid
49,11.0,0.199643,0.369162,0.373690,1.518187,0.132058,AUT,0.0,0.005473,0.070207,0.008793,proton,pi-,solid
50,11.0,0.249641,0.333833,0.373831,1.716959,0.134040,AUT,0.0,0.008136,0.070207,0.008601,proton,pi-,solid
51,11.0,0.069307,0.780894,0.373361,1.111910,0.302986,AUT,0.0,0.007860,0.070207,0.009118,proton,pi-,solid
52,11.0,0.081935,0.699118,0.373543,1.181645,0.301980,AUT,0.0,0.007702,0.070207,0.009128,proton,pi-,solid
53,11.0,0.090803,0.660204,0.373654,1.236977,0.301244,AUT,0.0,0.006968,0.070207,0.009127,proton,pi-,solid
54,11.0,0.098974,0.630836,0.373691,1.288463,0.300754,AUT,0.0,0.006701,0.070207,0.009119,proton,pi-,solid
55,11.0,0.106838,0.604460,0.373754,1.332681,0.300707,AUT,0.0,0.006519,0.070207,0.009108,proton,pi-,solid
56,11.0,0.114678,0.576657,0.373844,1.364680,0.300224,AUT,0.0,0.006577,0.070207,0.009092,proton,pi-,solid
57,11.0,0.122913,0.546620,0.373870,1.386406,0.300071,AUT,0.0,0.006305,0.070207,0.009073,proton,pi-,solid
58,11.0,0.131886,0.517119,0.373944,1.407356,0.300313,AUT,0.0,0.006288,0.070207,0.009047,proton,pi-,solid
59,11.0,0.141766,0.489193,0.373969,1.431007,0.299973,AUT,0.0,0.006203,0.070207,0.009014,proton,pi-,solid
60,11.0,0.152308,0.460916,0.374020,1.448572,0.299193,AUT,0.0,0.006627,0.070207,0.008977,proton,pi-,solid
61,11.0,0.163740,0.434452,0.374051,1.467873,0.298388,AUT,0.0,0.006682,0.070207,0.008934,proton,pi-,solid
62,11.0,0.177416,0.406190,0.374096,1.486757,0.296991,AUT,0.0,0.006767,0.070207,0.008881,proton,pi-,solid
63,11.0,0.194432,0.380939,0.374104,1.528168,0.295175,AUT,0.0,0.006801,0.070207,0.008811,proton,pi-,solid
64,11.0,0.220151,0.357407,0.374069,1.622522,0.293697,AUT,0.0,0.006429,0.070207,0.008706,proton,pi-,solid
65,11.0,0.260164,0.330624,0.373986,1.773110,0.292899,AUT,0.0,0.007973,0.070207,0.008563,proton,pi-,solid
66,11.0,0.071779,0.763885,0.374819,1.124134,0.484288,AUT,0.0,0.008801,0.070207,0.009122,proton,pi-,solid
67,11.0,0.087900,0.663127,0.374778,1.201880,0.486037,AUT,0.0,0.006694,0.070207,0.009131,proton,pi-,solid
68,11.0,0.100504,0.616195,0.374791,1.277549,0.485262,AUT,0.0,0.006527,0.070207,0.009121,proton,pi-,solid
69,11.0,0.113139,0.576798,0.374768,1.346198,0.483888,AUT,0.0,0.006393,0.070207,0.009097,proton,pi-,solid
70,11.0,0.126975,0.539961,0.374835,1.414374,0.482298,AUT,0.0,0.006094,0.070207,0.009059,proton,pi-,solid
71,11.0,0.143397,0.504685,0.374874,1.492342,0.480839,AUT,0.0,0.005749,0.070207,0.009000,proton,pi-,solid
72,11.0,0.166157,0.452278,0.375018,1.548733,0.477901,AUT,0.0,0.005280,0.070207,0.008913,proton,pi-,solid
73,11.0,0.211658,0.380600,0.375181,1.650038,0.476185,AUT,0.0,0.004935,0.070207,0.008735,proton,pi-,solid
74,11.0,0.285175,0.320461,0.375255,1.885722,0.475559,AUT,0.0,0.031151,0.070207,0.008485,proton,pi-,solid
