Nu	au	bu	cu	Nd	ad	bd	cd	Nub	Ndb	kt2	chi2
-0.042931087110715804	0.6713423084700534	3.5508232536337165	-0.5989901619424955	0.03859626594110055	0.29064722214083527	4.2830605936628965	3.6902709092061805	0.0	0.0	0.15017361328570752	1546.428486166942
-0.0413349514368766	0.6283717814174936	3.4520627315928394	-0.5852903029244625	0.041624090055190965	0.2233621140736216	2.9998463028622973	1.559719409906414	0.0	0.0	0.1672026250198191	1587.945280443735
-0.027740439055317423	0.5721903940638444	5.171304500498267	3.2953710495271733	0.0568390832367518	0.4229048963494889	2.73138515036848	-0.7972004270903467	0.0	0.0	0.17881022388027773	1644.7872075854361
-0.02800585259225863	0.5988654959516069	5.445795677889943	3.158009373334428	0.03123655184246399	0.15943136236084277	4.473200593644633	8.340909034510561	0.0	0.0	0.15996567149503368	1508.5538614288953
-0.04312134373890064	0.6906717517518732	3.9405126404220447	-0.5736079912037382	0.0484973601738361	0.34244059485277206	3.2513394764922166	0.47991850342700565	0.0	0.0	0.15324384398551602	1507.0712390135923
-0.04016032461880448	0.7174209885313855	4.332854440607477	-0.1382832852482462	0.05387637560850078	0.5083785984666989	4.04715706838972	0.14047364774404647	0.0	0.0	0.1444245546277801	1506.2109519589621
-0.030235386343970938	0.5671985380902839	4.669860932239552	1.8527711384411263	0.05871112645824095	0.34676245538811384	1.720234046689506	-1.1455786781560295	0.0	0.0	0.17713165521612242	1428.313269388953
-0.04183717915280338	0.6540213720219624	3.4626999951846393	-0.6374088561557023	0.0401772635690365	0.2751076614568163	3.770051880495169	2.199073369933238	0.0	0.0	0.15293139402918993	1457.1558627048128
-0.04133162900738274	0.6321085319881363	3.47652565855436	-0.5851285392782974	0.043435535967013106	0.3022261446764988	3.797767644432865	1.898875076485975	0.0	0.0	0.16944850969959507	1558.2792403499448
-0.03258321754657789	0.5972433356083193	4.487888628887421	1.21175538411605	0.03452961294288959	0.154108976964014	3.8398602724094966	5.281797626127088	0.0	0.0	0.1734186119573765	1558.313350254793
-0.03545081295150054	0.613447689574725	4.095647208768549	0.6008801876082905	0.05425560365578441	0.36423717402592004	2.385296496182607	-0.6635570979612633	0.0	0.0	0.16417168469227383	1416.0108649919396
