Nu	au	bu	cu	Nd	ad	bd	cd	Nub	Ndb	kt2	chi2
-0.07161794387697418	0.9435903559815317	4.4578818006822205	-0.6154186315534209	0.06557787481201438	1.4717773850180051	9.305624845258283	0.16753522567149165	-0.00711366512515843	0.03808012118847515	0.1549380005945924	1753.1287136224028
-0.06454828149201108	1.2323435888554921	6.068046282632946	-0.6347516949271204	0.07251941772537474	1.7533477046434442	9.999408006482481	-0.6583761639087264	-0.014201562584391425	0.04091717957478891	0.15819360198862065	1773.5278519842082
-0.06751018736387915	1.106860491329327	5.625143979689245	-0.5829598619151253	0.07572394707873142	1.7008803278706843	9.999850623325335	-0.6767902058080155	-0.010519613217144785	0.03765295874243613	0.15334128487690468	1874.4448272668571
-0.06677809392107159	1.166788098063281	5.928420556534961	-0.5630154630695869	0.06868012463155582	1.5795512605100508	9.999984202565306	0.2761221357990429	-0.010928000952621031	0.03477900661885269	0.16093991404785338	1797.3654718156126
-0.06737876571247348	1.0916203089929384	5.424554068322706	-0.5015088786367806	0.07475914218363844	1.6770963063167632	9.999259986519684	-0.6520922323073726	-0.010450083355094786	0.038113547116500834	0.1544500966012365	1819.1274888320202
-0.06569640891784057	0.897886802920762	4.917113636408329	0.06418953462037366	0.08855807282012895	1.9789484205613783	9.944549742435154	-1.9317604589515334	-0.0050438289661238755	0.044875672564597124	0.1605541641488246	1796.1008162711096
-0.0648063092017993	0.8341893810066524	4.825861955338058	0.5546212388202738	0.06660098141972415	1.5831236141116505	9.999949585244416	0.2177020846166896	-0.000661265525145116	0.0368378144324375	0.15884125175441843	1751.300460005433
-0.06772975560554395	0.6640305044452774	4.547626632668638	1.3908649206913164	0.0795487498390699	1.4443856592498125	8.578818700740632	-0.5446175335051856	0.008949002565257214	0.033203895037586584	0.16005875382515283	1827.0794381982244
-0.07056245110841342	0.7413410659717118	4.408988283812903	0.49374300576045516	0.07248524348934127	1.5176157264016104	9.505036802459951	-0.0089218165881912	0.005030352641287372	0.03339714817037187	0.15956133945579815	1869.816352053961
-0.07705671629374977	0.91277296026541	4.347306083902498	-0.6002642436895835	0.0700692820060409	1.3274686943910492	9.0934219898974	1.0251160492118567	-0.0023403578680610826	0.02649596948502886	0.15680232269401206	1777.8832129316763
-0.08205395893998912	0.7306330580535689	3.4872374130971746	-0.5805983143900169	0.07339240080936849	1.4696217869069388	9.248895870076144	0.022787145894871068	0.0041298666283242635	0.03222445308689026	0.15506716795004882	1821.2715357663074
-0.0848018997469977	0.8323787307223074	3.7774071747515725	-0.9371016573976269	0.05355100653175682	1.3209274884252344	9.999784662107537	2.6510045917919385	0.0004750845870096221	0.03366646130830575	0.15868367630731584	1756.9473605690177
-0.06559326296164292	1.077402589104552	5.306011035513723	-0.5955747121297689	0.07200109448809955	1.6531598335539828	9.905141593685297	-0.564820218342598	-0.011632144747799833	0.03919437421134209	0.15520904938066601	1782.2790237525987
-0.051370351756784505	0.9863371103409292	6.347418707972059	1.451989831796325	0.07464486072569732	1.752098415475113	9.999999986561868	-0.9760562479472863	-0.008858734515253541	0.0416814611893781	0.1577247147538492	1777.0074392912238
-0.06938963050750258	1.0392953952302797	5.011909078953197	-0.5663450002861808	0.06778474770774712	1.6042534874122358	9.999972655921015	0.22897137118548905	-0.00872487412483458	0.03677926038552126	0.1573559055845509	1787.205700702869
-0.0739421491488147	0.8891826379119228	4.357484491517665	-0.596999119050901	0.0662140530346833	1.551567507542786	9.899715423189454	-0.02282572492205504	-0.004241271101744659	0.038412218190784886	0.153517019914695	1789.9371731053134
-0.062964519873416	1.364281678333659	6.683357796833633	-0.7564656014517244	0.07476073830887242	1.712942162413642	9.7795762807128	-0.8468223974048252	-0.016568863381772214	0.0400990719486789	0.16305919656670131	1864.7246154049476
-0.06899719777065083	1.1198135950057277	5.1725714901089574	-0.7317707367813714	0.07197501841418386	1.6612783825308663	9.724765607198755	-0.5499290815480299	-0.011785343839240126	0.03948167973770289	0.1570320044223743	1766.0264691696095
-0.08296268726802558	0.6653202322609177	3.363167634694478	-0.23104505585988713	0.07830781108087215	1.4771332258065204	8.692740294009024	-0.5547972365774163	0.008963940261344838	0.03394891000418099	0.15918703757324926	1778.4255079021673
-0.06536873955124567	1.105372069728093	5.59986658704029	-0.5858640658911177	0.07445549086998238	1.5564250372457764	9.26544305192172	-0.5352176410287764	-0.01197763609616953	0.037199640667091805	0.16181548591364864	1797.0053329606471
-0.05913353821722156	0.9290127555205312	5.766382457882151	0.8983278588558301	0.06843217909853383	1.608149820103873	9.999969008345827	0.03240879821516068	-0.00441868189067629	0.03722965205100004	0.15316878004050463	1735.007232556899
-0.07270997164768156	0.8838511869838078	4.160605871998539	-0.593982287155334	0.04898759976804801	1.1037722005016384	9.206420698112606	4.28705588348578	-0.005736534675203853	0.030407521672285	0.15756993572213843	1810.1874206238442
-0.07714234508233209	0.9410529362571867	4.302249503367335	-0.7303001978806168	0.0880870921942114	1.2255357141749152	7.070693233289464	-0.4751455431274861	-0.004536805488880802	0.02422610550422899	0.16135631312910775	1722.6793337727545
-0.07659870300952643	0.8203933307932398	3.797063227646647	-0.5604960022844455	0.07033101665659225	1.6436031798672674	9.599728528659826	-0.570923783155026	-0.0023314908386092847	0.04169921267375365	0.1622124104895713	1849.0151082276807
-0.060720664173802286	0.8371999273577139	5.324113485820287	1.2118346055576426	0.06842316070189347	1.492636139108172	9.99999935768087	0.8284503921644192	3.742303658293977e-05	0.030648567587959752	0.15918739588947298	1778.5014613451115
-0.07649797512608669	0.7672218928319108	3.7468047363176247	-0.5397678339601629	0.08911671891742068	1.7232404276340365	8.50261931422177	-2.0722470982770753	-8.364137871152977e-05	0.04402649397912928	0.15652258515284984	1765.8040643068725
-0.06424901540579575	0.7793001495822143	4.772332447993888	0.7716774533011563	0.05254847044618094	1.1019375295258935	8.94577135939262	3.7982444439306824	0.0005637828032103442	0.028345807632687237	0.15917500124904788	1741.6774012060318
-0.06298131594872503	0.825518009887872	5.110338398052493	0.9062064078784713	0.07223618377667074	1.5982719375030923	9.657456784408257	-0.3703680743888865	-0.000263613813505148	0.03745209291643725	0.1589158485540258	1764.7705913868504
-0.0647135624502102	0.9230748163889844	4.697822800174344	-0.1236933006199724	0.07504577358759401	1.8276172823863073	9.742475443179902	-1.329467733251494	-0.007700846004638495	0.045726949142090634	0.16296448981090308	1724.4556922053903
-0.06702826306890008	1.1003664225397713	5.600198218194814	-0.5856145632978255	0.07841928164939405	1.762962381761981	9.999992315148416	-1.0289056563646128	-0.010822040924176934	0.04007243138319949	0.16148309459404475	1689.318237592869
