Nu	au	bu	cu	Nd	ad	bd	cd	Nub	Ndb	kt2	chi2
-0.0781097874658907	0.6178947569683687	2.98287457942235	0.0	0.08953245143238853	1.4810993961558503	9.952281034133772	0.0	0.008610766032668637	0.025447627625916125	0.16000000000000308	789.9244969774384
-0.07817789543193898	0.5712860966500084	3.0724460397620224	0.0	0.797182718290159	0.04796323743848108	0.3538305026447808	0.0	0.012781673676007577	-0.7112364255283037	0.16000011016484708	697.2563334029255
-0.06325810750672733	0.8147561196998327	4.369582859601117	0.0	0.972900181829081	0.04662444647008529	0.43032049798607586	0.0	-0.0030039020571360764	-0.8911415731477782	0.16000004546354665	833.7393564291688
-0.0594204977396513	0.8480295690105536	4.540433052038596	0.0	0.8048229211076778	0.0434824384251955	0.310848095129298	0.0	-0.010181517105072757	-0.7160119023999714	0.16000000012459828	798.8865072770994
-0.06219050281991678	1.2016445485878409	7.095851400404921	0.0	0.07693490126669156	1.6669206326902515	9.999588784406477	0.0	-0.010583225795788853	0.041484112311024335	0.16000001261313612	860.5605750244446
-0.08263349524528685	0.6613643818141307	2.963255401365199	0.0	0.09012890337656843	1.9053612589555755	9.999999231260317	0.0	0.008350859624293161	0.034756759940007154	0.16000000262610967	774.8710723473663
-0.07028031707980742	0.8265047738671022	4.5354287527088575	0.0	0.11057349402678707	0.9021401284667347	5.250250733853	0.0	-0.0009925689709512353	0.0006980710900397202	0.16000000001519657	678.7992090477571
-0.06377078749854759	1.150425277188798	7.02873707572669	0.0	0.08095442951271314	2.415692447496745	9.999999524568233	0.0	-0.006323047890681832	0.051238774437255774	0.16000000513305082	877.7353023249497
-0.07636551377728296	0.848711128604151	4.35139677287413	0.0	0.15469336460137617	0.37153698262409085	2.3800052957509665	0.0	-0.0017501428133531727	-0.04863964992281877	0.16000000000356346	804.7548406037095
-0.056010554530402934	0.981358575990829	4.962368672678354	0.0	0.07949693437637384	0.48602675353187397	3.142190468948077	0.0	-0.013645543424958939	0.0075387730585239066	0.1600000056122762	827.0183828719884
-0.08770155493261722	0.5951342252186034	3.1240404046557724	0.0	0.09718949114547204	1.073924584420349	8.3163265123052	0.0	0.018666484407602768	0.0059961187071080335	0.16000000038227907	867.702002834239
-0.25357024004904427	0.15312389244030933	0.71137125380415	0.0	0.17235272501749344	0.44122268267408704	1.4517226670943195	0.0	0.17935641709257566	-0.038652957404675226	0.16000000114773263	849.9729003791011
-0.32412825090491315	0.09679170457316022	0.5300612956905859	0.0	0.16031417122401592	0.16351073354715456	2.1011072614728747	0.0	0.2581828916610951	-0.08763122032274995	0.16000130824877454	772.5820707102407
-0.12260375183449934	0.3854233087869837	2.0760892022479753	0.0	0.8255486017169409	0.07769388781889136	0.7620730807313425	0.0	0.05206011705201452	-0.7334872269295984	0.16000001206267117	856.7380000219877
-0.05439615482363991	1.1844357117554487	7.173676847868622	0.0	0.06841681244691333	1.578850344203774	9.9999815001615	0.0	-0.015058200463238802	0.0422773218133059	0.16000000042356158	845.922399884642
-0.09809594486462836	0.4396695017485669	2.009183603204923	0.0	0.08016277231650837	0.8881143408227344	5.366696811225379	0.0	0.02800206643139047	0.024033183855305396	0.16521407628064472	821.954959610365
-0.08925005893234117	0.4965957249573577	2.807359983348705	0.0	0.04714398949980292	1.6696078929678593	9.999975295406385	0.0	0.023782393298275695	0.04504538542676384	0.1600000066826965	795.4697417027965
-0.054269253712096344	1.0229479617274846	6.689077519769823	0.0	0.09662983660808644	0.6525007379133838	6.512925356331561	0.0	-0.009083903172904306	-0.015936022971810737	0.16000000862863045	760.0066903275973
-0.0797359702941246	0.6745714250149051	3.800138872409402	0.0	0.8262873154256987	0.06203571760646498	0.5349667839657557	0.0	0.009360370098089765	-0.7339886060497227	0.16000000167548292	812.5729730690332
-0.1352090567101819	0.30581144009452266	1.4414644466666038	0.0	0.5363086494103313	0.09470453311075916	0.6134953835314666	0.0	0.06626545416357477	-0.4404870109459711	0.16000107174959632	846.7792434799555
-0.058581483571378046	0.873396695379226	4.964415024676443	0.0	0.04548353691473861	1.5793204184407834	9.999999923079498	0.0	-0.008164322737998941	0.047709665467779105	0.16000000022505206	741.0486311161426
-0.07313793291600867	1.035915232348326	5.640148662528096	0.0	0.07286387196756228	1.3493107298079254	9.999919967445534	0.0	0.0015855801339499376	0.014235688721178308	0.16000000138448028	773.5282122917599
-0.06595918581533322	0.9741387838878266	4.808174607328599	0.0	0.07589847096032742	1.3677811519921277	9.999761063311304	0.0	-0.006949401622142859	0.026347239378715637	0.1600000128719001	709.8028138395335
-0.07374006449276771	0.9153508020955041	5.841358843890231	0.0	0.09635152739275887	1.3534720160672504	9.999996844099918	0.0	0.002775140267149201	0.011108852066318953	0.16000000014936613	899.6518143305947
-0.07848862835562043	0.6877515791730838	3.813694029900519	0.0	0.13538461629593712	0.4430077637586012	2.690571920833727	0.0	0.009602566322157058	-0.043779137454471595	0.1600000001932243	870.7915369466364
-0.09548575261173708	0.6365648250131496	3.4166739294960102	0.0	0.10338588615241551	1.129153380555529	8.719653814358576	0.0	0.02359175095109145	-0.0045450786612108995	0.16000000000005288	806.2271844769838
-0.06881709308329187	0.980872683669458	5.507790280323551	0.0	0.07384390130960461	1.6077688791798213	9.999880703272588	0.0	-0.004927204798016449	0.037552568825709454	0.16000000350797036	837.0806413046882
-0.07448414668944758	0.7829693828771433	3.8790858324516475	0.0	0.9172393084349952	0.042461649556644165	0.22658724885460613	0.0	0.004089085035294371	-0.8280585556553304	0.16000000036840004	787.0555156253502
-0.07154929754608941	0.8922079013104746	4.403618946273019	0.0	0.07111379448356736	1.547272451467217	9.874780815301156	0.0	-0.0005777872701545617	0.034015957708389166	0.16000000001434236	807.9154952920645
-0.10793990672990317	0.48906572789263886	2.6517783268398434	0.0	0.0787092407584209	1.4329644507974952	9.999454248737038	0.0	0.03784987210875923	0.022439945072081136	0.16000000389968475	784.7013525403144
-0.0888266493968598	0.4928592544968978	2.538604714970767	0.0	0.9173347742704072	0.04012374017247994	0.26535350267741176	0.0	0.021040403890604686	-0.8304269630443751	0.16000003508725133	776.5056936878889
-0.06342082560130413	0.9158088807868286	5.100822103133396	0.0	0.0726748973600222	1.7835642030968266	9.999919539974776	0.0	-0.005768753487345846	0.03797600857952976	0.16000000948511792	797.7330971240926
-0.06867712601650588	0.8141022317110853	4.85854896087685	0.0	0.055176575046795406	2.070742287494784	9.999988209759957	0.0	0.0007979231618311378	0.05205031931071691	0.16000001072087727	842.6524825544851
-0.05751916051569106	0.9606004839931876	4.975040165136189	0.0	0.054886131420532225	2.2942602902887086	9.999999991395608	0.0	-0.01128841042180484	0.05001539144203204	0.16000000000000006	823.1365123709011
-0.06867277372976588	0.8414748622959856	5.430599167688081	0.0	0.06652992785020362	1.463586472112008	9.999984504981246	0.0	0.0006680045040439175	0.030983334815278596	0.16000000991823904	841.637674195047
-0.06104059142858009	1.3936828764423628	8.017690728800059	0.0	0.09873693071426293	1.896904389656424	9.999872122638054	0.0	-0.01423948760144178	0.03663739254101439	0.1600000002896191	747.2894187718557
-0.08094791850416605	0.8096283454396689	5.142245009665171	0.0	0.10233497086249055	1.2117721986954393	9.999996620388224	0.0	0.009084843399913778	-0.0013196844196353696	0.16000000000062065	774.5423150587421
-0.053720075330178974	1.1577829617734685	6.733740630447594	0.0	0.05615945916519194	2.210113263352624	9.999666875306854	0.0	-0.011621818371693182	0.04657673213898561	0.16000009427391113	773.6079276859404
-0.0713092885801101	0.8949826261613193	4.415291215625211	0.0	0.07472107775961945	1.5911284517347557	9.999999976037309	0.0	0.00016016881936442573	0.032798360679205274	0.1600000002512456	776.3098458737702
-0.08341309749498149	0.932279293980861	4.0696810655136035	0.0	0.11656267682871291	2.1723235008567547	9.046606066907504	0.0	0.00014982119196926824	0.04339971450838953	0.16000000000452264	849.1897143516882
-0.0725432146021242	0.790557032412741	4.848591155766969	0.0	0.07965026096359384	1.6154637415893573	8.643448639918123	0.0	0.0034651678603803138	0.03421559743720359	0.16000000164024875	822.4179670693259
-0.09347930067037835	0.5078805167496521	2.6008065682474117	0.0	0.8025478877678189	0.044472988222509835	0.27342759827426566	0.0	0.02622150659993716	-0.7205135692810247	0.1600000298931416	796.7492825075228
-0.06756297948473788	0.9834173652248827	6.214130703798739	0.0	0.07607647713053045	1.6040586178633278	9.999687027746058	0.0	-0.002509635690144396	0.035191974498929524	0.1600000112177248	787.0252944792867
-0.06937172918663914	1.0571807684135544	6.174666441244945	0.0	0.08190707180414902	1.6925198532892884	9.99974948245412	0.0	-0.0052535764123824436	0.03991527337442302	0.16000000102596018	751.9302117417221
-0.06529609847919093	0.8777400494063662	4.943552118985387	0.0	0.06780126394910568	1.91405848554738	9.999519766433519	0.0	-0.007211315042990996	0.05216758231868668	0.1600000000682429	835.4333758915726
-0.150095155189941	0.30248734422292234	1.124756451517076	0.0	0.4035106113340461	0.08882920866461652	0.19171511974445887	0.0	0.07295307736827183	-0.29635317169276965	0.16000000000000075	819.4185459027475
-0.0699250416918974	1.222713661026658	6.076220786800189	0.0	0.11304727000282444	1.9200920348303239	9.99945557028703	0.0	-0.010568283039860349	0.036048919141707936	0.1600000199095788	835.8654418550736
