i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
49,11.0,0.139604,0.559590,0.374354,1.609377,0.488714,AUT,0.0,0.005777,0.070207,0.007958,proton,pi+,solid
50,11.0,0.179691,0.456964,0.374596,1.677678,0.489913,AUT,0.0,0.006020,0.070207,0.007731,proton,pi+,solid
51,11.0,0.252362,0.352351,0.377126,1.830393,0.492821,AUT,0.0,0.028386,0.070207,0.007394,proton,pi+,solid
52,11.0,0.080180,0.741874,0.374600,1.218650,0.680025,AUT,0.0,0.005983,0.070207,0.008335,proton,pi+,solid
53,11.0,0.114431,0.633704,0.374844,1.488853,0.679139,AUT,0.0,0.005803,0.070207,0.008115,proton,pi+,solid
54,11.0,0.171681,0.472885,0.375114,1.640334,0.678673,AUT,0.0,0.007408,0.070207,0.007778,proton,pi+,solid
55,11.0,0.110928,0.651660,0.377182,1.421216,0.866784,AUT,0.0,0.010332,0.070207,0.008136,proton,pi+,solid
56,11.0,0.098562,0.591474,0.423422,1.193495,0.132675,AUT,0.0,0.007736,0.070207,0.008201,proton,pi+,solid
57,11.0,0.128865,0.524185,0.423861,1.392826,0.127514,AUT,0.0,0.008808,0.070207,0.008008,proton,pi+,solid
58,11.0,0.156242,0.486167,0.423990,1.565490,0.126724,AUT,0.0,0.009259,0.070207,0.007841,proton,pi+,solid
59,11.0,0.196764,0.418796,0.424102,1.692235,0.126550,AUT,0.0,0.010154,0.070207,0.007620,proton,pi+,solid
60,11.0,0.256985,0.343368,0.424081,1.815673,0.125637,AUT,0.0,0.019961,0.070207,0.007354,proton,pi+,solid
61,11.0,0.080693,0.682707,0.423125,1.132180,0.311683,AUT,0.0,0.008943,0.070207,0.008318,proton,pi+,solid
62,11.0,0.099165,0.617855,0.423810,1.263643,0.303647,AUT,0.0,0.009747,0.070207,0.008198,proton,pi+,solid
63,11.0,0.114634,0.586486,0.424003,1.387012,0.300346,AUT,0.0,0.009966,0.070207,0.008098,proton,pi+,solid
64,11.0,0.130410,0.558372,0.424099,1.502201,0.297544,AUT,0.0,0.009175,0.070207,0.007997,proton,pi+,solid
65,11.0,0.147816,0.521043,0.424171,1.588337,0.294038,AUT,0.0,0.008349,0.070207,0.007889,proton,pi+,solid
66,11.0,0.171301,0.464794,0.424351,1.640091,0.290010,AUT,0.0,0.007048,0.070207,0.007753,proton,pi+,solid
67,11.0,0.216522,0.385363,0.424648,1.709710,0.287019,AUT,0.0,0.006765,0.070207,0.007526,proton,pi+,solid
68,11.0,0.281377,0.322517,0.424764,1.872147,0.289937,AUT,0.0,0.024979,0.070207,0.007262,proton,pi+,solid
69,11.0,0.078055,0.711111,0.422713,1.141324,0.494504,AUT,0.0,0.007836,0.070207,0.008336,proton,pi+,solid
70,11.0,0.098634,0.649821,0.423763,1.321600,0.492053,AUT,0.0,0.007375,0.070207,0.008201,proton,pi+,solid
71,11.0,0.118324,0.611852,0.424070,1.492946,0.491040,AUT,0.0,0.006942,0.070207,0.008073,proton,pi+,solid
72,11.0,0.142472,0.549777,0.424341,1.612510,0.488599,AUT,0.0,0.006715,0.070207,0.007921,proton,pi+,solid
73,11.0,0.196232,0.422840,0.424604,1.679193,0.487742,AUT,0.0,0.006619,0.070207,0.007628,proton,pi+,solid
74,11.0,0.087073,0.696016,0.423337,1.241783,0.683937,AUT,0.0,0.006146,0.070207,0.008276,proton,pi+,solid
75,11.0,0.130522,0.579137,0.424412,1.544468,0.684126,AUT,0.0,0.005455,0.070207,0.007995,proton,pi+,solid
76,11.0,0.194758,0.422291,0.424220,1.679687,0.681681,AUT,0.0,0.009946,0.070207,0.007633,proton,pi+,solid
77,11.0,0.116114,0.618910,0.425561,1.422383,0.882935,AUT,0.0,0.008304,0.070207,0.008087,proton,pi+,solid
78,11.0,0.107354,0.561395,0.473386,1.232695,0.131072,AUT,0.0,0.007436,0.070207,0.008130,proton,pi+,solid
79,11.0,0.145608,0.496023,0.473894,1.488065,0.127650,AUT,0.0,0.008437,0.070207,0.007887,proton,pi+,solid
80,11.0,0.191866,0.425123,0.473999,1.672266,0.127498,AUT,0.0,0.009850,0.070207,0.007626,proton,pi+,solid
81,11.0,0.257166,0.341945,0.473871,1.810047,0.128155,AUT,0.0,0.023586,0.070207,0.007332,proton,pi+,solid
82,11.0,0.089269,0.632919,0.472488,1.160761,0.307293,AUT,0.0,0.008300,0.070207,0.008249,proton,pi+,solid
83,11.0,0.112462,0.576637,0.473687,1.337400,0.300979,AUT,0.0,0.009913,0.070207,0.008097,proton,pi+,solid
84,11.0,0.132559,0.545666,0.473947,1.492020,0.298075,AUT,0.0,0.009315,0.070207,0.007966,proton,pi+,solid
85,11.0,0.154652,0.500715,0.474189,1.595928,0.294431,AUT,0.0,0.008299,0.070207,0.007830,proton,pi+,solid
86,11.0,0.189086,0.427057,0.474317,1.659614,0.290092,AUT,0.0,0.006926,0.070207,0.007638,proton,pi+,solid
